Representative	USeq	Kingdom	Phylum	Class	Order	Family	Genus	PhylaColor	NLabels
2636416172	Sequence_33	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq33 Bacillus
2574179748	Sequence_21	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq21 Bacillus
2636416083	Sequence_27	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq27 Bacillus
2636416173	Sequence_43	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq43 Bacillus
2522125078	Sequence_17	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq17 Bacillus
2522125150	Sequence_57	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq57 Bacillus
2522125133	Sequence_56	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq56 Bacillus
2643221487	Sequence_89	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq89 Bacillus
2639762621	Sequence_26	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq26 Bacillus
2563366514	Sequence_77	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	#B856D7	USeq77 Bacillus
2593339197	Sequence_44	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq44 Paenibacillus
2563366509	Sequence_70	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq70 Paenibacillus
2593339198	Sequence_95	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq95 Paenibacillus
2636416068	Sequence_28	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq28 Paenibacillus
2563366516	Sequence_6	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq6 Paenibacillus
2636416070	Sequence_5	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq5 Paenibacillus
2636416069	Sequence_62	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq62 Paenibacillus
2643221535	Sequence_58	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq58 Paenibacillus
2639762524	Sequence_38	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	#B856D7	USeq38 Paenibacillus
2643221533	Sequence_3	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	#FFFF00	USeq3 Chryseobacterium
2563366720	Sequence_84	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	#FFFF00	USeq84 Flavobacterium
2565956511	Sequence_48	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	#FF8000	USeq48 Sphingomonas
2643221532	Sequence_4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	#FF8000	USeq4 Sphingomonas
2643221505	Sequence_80	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	#FF8000	USeq80 Brevundimonas
2590828858	Sequence_83	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	#FF8000	USeq83 Caulobacter
2517572231	Sequence_64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	#FF8000	USeq64 Rhizobium
2228664006	Sequence_55	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	#FF8000	USeq55 Rhizobium
2643221483	Sequence_69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	#FF8000	USeq69 Rhizobium
2561511224	Sequence_97	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	#FF8000	USeq97 Agrobacterium
2643221509	Sequence_39	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	#FF8000	USeq39 Agrobacterium
2565956514	Sequence_42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	#FF8000	USeq42 Ochrobactrum
2643221486	Sequence_53	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	#FF8000	USeq53 Phyllobacterium
2579779168	Sequence_35	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	#FF8000	USeq35 Bosea
2590828856	Sequence_12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	#FF8000	USeq12 Methylobacterium
2606217775	Sequence_71	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	#FF8000	USeq71 Methylobacterium
2643221508	Sequence_81	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	#FF8000	USeq81 Variovorax
2519899633	Sequence_61	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	#FF8000	USeq61 Variovorax
2643221492	Sequence_1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	#FF8000	USeq1 Variovorax
