UId,Pot,Plot,Plant,Genotype,PiSoil,Pi_micromolar_miligram,Weight,NormWeight,TotalLength_cm,TotalProjArea_cm2,TotalSurfArea_cm2
Col-0_high_Plot15_3,41,Plot15,3,Col-0,high,0.07163769429,0.5176,0.172533333,5491472.888,3794.76,3627.12
Col-0_high_Plot18_3,42,Plot18,3,Col-0,high,0.06175060975,0.6227,0.207566667,3111303.4548,2286,2621.28
Col-0_high_Plot3_3,37,Plot3,3,Col-0,high,0.07202881543,0.3382,0.112733333,3011077.8488,2369.82,2766.06
Col-0_high_Plot6_2,38,Plot6,2,Col-0,high,0.03417603777,0.0589,0.02945,850527.3312,1097.28,1234.44
Col-0_high_Plot9_3,39,Plot9,3,Col-0,high,0.06041029014,0.3653,0.121766667,3951205.0008,3474.72,3329.94
Col-0_low_Plot1_2,1,Plot1,2,Col-0,low,0.02528268489,0.2041,0.10205,2961381.174,2484.12,2270.76
Col-0_low_Plot10_3,4,Plot10,3,Col-0,low,0.06433940165,0.2666,0.088866667,1103842.9536,1432.56,1242.06
Col-0_low_Plot13_2,5,Plot13,2,Col-0,low,0.03606899609,0.2725,0.13625,5645195.1612,3627.12,3878.58
Col-0_low_Plot4_3,2,Plot4,3,Col-0,low,0.05484368189,0.4351,0.145033333,2887484.5476,2423.16,2385.06
Col-0_low+Pi_Plot1_3,55,Plot1,3,Col-0,low+Pi,0.05912501922,0.3066,0.1022,3021452.0216,2727.96,2727.96
Col-0_low+Pi_Plot13_3,59,Plot13,3,Col-0,low+Pi,0.05374751936,0.4347,0.1449,1323771.546,1501.14,1676.4
Col-0_low+Pi_Plot4_3,56,Plot4,3,Col-0,low+Pi,0.0636677449,0.4628,0.154266667,2277511.574,2407.92,2011.68
Col-0_low+Pi_Plot7_3,57,Plot7,3,Col-0,low+Pi,0.07212846024,0.5658,0.1886,1918912.2912,2263.14,2407.92
Col-0_medium_Plot11_3,22,Plot11,3,Col-0,medium,0.07005043203,0.5338,0.177933333,4021946.7948,3314.7,2941.32
Col-0_medium_Plot14_3,23,Plot14,3,Col-0,medium,0.05703659259,0.3516,0.1172,3416973.8112,2362.2,2857.5
Col-0_medium_Plot2_3,19,Plot2,3,Col-0,medium,0.04708535312,0.2384,0.079466667,1157126.718,1348.74,1356.36
Col-0_medium_Plot5_3,20,Plot5,3,Col-0,medium,0.03906543504,0.1524,0.0508,2036260.4436,2316.48,2095.5
