Gene,pvalue,padj,Significance,Cluster,PSR_Regulon
AT4G33720,2.69409672478695e-15,1.6425907731026e-11,Significant,Cluster1,No
AT4G37520,1.34423139473374e-13,6.14683411026869e-10,Significant,Cluster1,No
AT1G12010,1.07838440604271e-12,3.94494583418543e-09,Significant,Cluster1,No
AT3G44300,1.66425676250906e-12,4.34870292043618e-09,Significant,Cluster1,No
AT2G23150,6.32500881987843e-12,1.44613420405495e-08,Significant,Cluster1,No
AT3G04070,4.84239178342273e-11,9.84135423450946e-08,Significant,Cluster1,No
AT1G17170,1.60380045746371e-10,2.93351141674688e-07,Significant,Cluster1,No
AT4G01870,9.37954097901135e-10,1.55964712770088e-06,Significant,Cluster1,No
AT3G13100,2.82337769525481e-09,4.30353345199214e-06,Significant,Cluster1,No
AT3G16150,2.45555475574719e-08,3.4549655413363e-05,Significant,Cluster1,No
AT3G21720,3.44904530356642e-08,4.20576584316889e-05,Significant,Cluster1,No
AT1G23190,4.51874432055997e-08,5.16577202296015e-05,Significant,Cluster1,No
AT3G63380,6.82410689244063e-08,7.34233759821362e-05,Significant,Cluster1,No
AT5G24930,7.40929458568964e-08,7.52907818149162e-05,Significant,Cluster1,No
AT5G23010,1.25897289580659e-07,0.000115139366185991,Significant,Cluster1,No
AT2G27880,2.41265023626076e-07,0.000210141835578312,Significant,Cluster1,No
AT1G14870,5.47870357322935e-07,0.0004555043957179,Significant,Cluster1,No
AT5G41610,6.5669380714831e-07,0.000522242888110858,Significant,Cluster1,No
AT4G13180,1.15487474596677e-06,0.000812454383787621,Significant,Cluster1,No
AT2G04070,1.23724409372626e-06,0.000838164137716559,Significant,Cluster1,No
AT5G64810,1.40549622781608e-06,0.000918140410820852,Significant,Cluster1,No
AT1G71695,1.77514982741812e-06,0.00108230884977683,Significant,Cluster1,No
AT4G36880,1.76509536422926e-06,0.00108230884977683,Significant,Cluster1,No
AT3G14680,1.94934699014442e-06,0.00111423455614786,Significant,Cluster1,No
AT5G40010,2.09864959275687e-06,0.00116322423336715,Significant,Cluster1,No
AT1G08630,2.64939704819964e-06,0.0013605612633419,Significant,Cluster1,No
AT1G17180,2.67025793707477e-06,0.0013605612633419,Significant,Cluster1,No
AT1G62480,2.80302455259565e-06,0.0013605612633419,Significant,Cluster1,No
AT3G53150,2.82659931151891e-06,0.0013605612633419,Significant,Cluster1,No
AT5G38540,3.72936691353553e-06,0.00174907308244816,Significant,Cluster1,No
AT3G60160,3.9417120211663e-06,0.00180244636447882,Significant,Cluster1,No
AT3G25250,4.33699718668511e-06,0.00190707481738686,Significant,Cluster1,No
AT1G19020,5.26249342464202e-06,0.00214028846196974,Significant,Cluster1,No
AT3G01420,5.26559405109826e-06,0.00214028846196974,Significant,Cluster1,No
AT1G69490,5.6590150647194e-06,0.00224699362742309,Significant,Cluster1,No
