Plate	Well	row	column	Sample	Soil	Genotype	Plot	Fraction	OTU_Header	DADA2_Header	Phosphate	Pot	Depth	LDepth	Shannon	Richness
Plate1	A1	a	1	R16	low-4	phf1	Plot10	Root	P4Plate1	Plate1_A1	low	Pot16	76013	11.2386596572722	4.89782799903514	393
Plate1	A2	a	2	R7	low-1	phr1/phl1	Plot1	Root	P16Plate1	Plate1_A2	low	Pot7	78348	11.2689157209746	5.5381263780331	638
Plate1	A3	a	3	S66	low+Pi-6	phr1/phl1	Plot16	Soil	P87Plate1	Plate1_A3	low+Pi	Pot66	49896	10.817696118206	6.32581612986205	911
Plate1	A4	a	4	R22	medium-4	Col-0	Plot11	Root	P60Plate1	Plate1_A4	medium	Pot22	59734	10.9976566515069	5.82596394320879	865
Plate1	A6	a	6	S59	low+Pi-5	Col-0	Plot13	Soil	P9Plate1	Plate1_A6	low+Pi	Pot59	33716	10.4257277811174	6.13720367894263	770
Plate1	A7	a	7	L38	high-2	Col-0	Plot6	Shoot	P84Plate1	Plate1_A7	high	Pot38	61723	11.0304119119063	5.65112553377901	780
Plate1	A8	a	8	R41	high-5	Col-0	Plot15	Root	P89Plate1	Plate1_A8	high	Pot41	59685	10.9968360115291	5.25178179855522	562
Plate1	A9	a	9	R30	medium-6	phr1/phl1	Plot17	Root	P65Plate1	Plate1_A9	medium	Pot30	66745	11.1086346670898	6.52699327687111	1120
Plate1	B1	b	1	R37	high-1	Col-0	Plot3	Root	P75Plate1	Plate1_B1	high	Pot37	120856	11.7023550332236	5.68667458783219	680
Plate1	B12	b	12	R49	high-1	phf1	Plot3	Root	P51Plate1	Plate1_B12	high	Pot49	58191	10.9714859825864	5.16478843360759	526
Plate1	B2	b	2	R4	low-4	Col-0	Plot10	Root	P31Plate1	Plate1_B2	low	Pot4	73242	11.2015243058979	5.06942315499116	564
Plate1	B3	b	3	R53	high-5	phf1	Plot15	Root	P8Plate1	Plate1_B3	high	Pot53	48315	10.7854973504334	5.50023609256607	585
Plate1	B4	b	4	R38	high-2	Col-0	Plot6	Root	P17Plate1	Plate1_B4	high	Pot38	53661	10.8904417596614	4.52651394716213	357
Plate1	B5	b	5	L14	low-2	phf1	Plot4	Shoot	P40Plate1	Plate1_B5	low	Pot14	50063	10.8210374912764	5.146832501445	537
Plate1	B6	b	6	R24	medium-6	Col-0	Plot17	Root	P5Plate1	Plate1_B6	medium	Pot24	49108	10.8017772333007	5.90630726249909	776
Plate1	B7	b	7	S62	low+Pi-2	phr1/phl1	Plot4	Soil	P92Plate1	Plate1_B7	low+Pi	Pot62	56592	10.9436229114453	4.33200643301728	333
Plate1	B8	b	8	R11	low-5	phr1/phl1	Plot13	Root	P36Plate1	Plate1_B8	low	Pot11	25865	10.1606459824376	5.38590869572238	506
Plate1	B9	b	9	R14	low-2	phf1	Plot4	Root	P7Plate1	Plate1_B9	low	Pot14	68841	11.1395547766581	4.48807524459214	379
Plate1	C1	c	1	S62	low+Pi-2	phr1/phl1	Plot4	Soil	P38Plate1	Plate1_C1	low+Pi	Pot62	70801	11.1676284038758	6.39764794041598	966
Plate1	C10	c	10	R42	high-6	Col-0	Plot18	Root	P74Plate1	Plate1_C10	high	Pot42	72425	11.1903068226376	5.5287725975873	698
Plate1	C11	c	11	R44	high-2	phr1/phl1	Plot6	Root	P43Plate1	Plate1_C11	high	Pot44	48252	10.7841925566853	5.83371293948119	822
Plate1	C12	c	12	R19	medium-1	Col-0	Plot2	Root	P14Plate1	Plate1_C12	medium	Pot19	61669	11.0295366525144	4.79150215356725	411
Plate1	C2	c	2	R29	medium-5	phr1/phl1	Plot14	Root	P23Plate1	Plate1_C2	medium	Pot29	59857	10.9997136632113	6.28000271482442	976
Plate1	C3	c	3	R1	low-1	Col-0	Plot1	Root	P32Plate1	Plate1_C3	low	Pot1	62549	11.043705528557	4.87504202480385	462
Plate1	C4	c	4	R36	medium-6	phf1	Plot17	Root	P30Plate1	Plate1_C4	medium	Pot36	67136	11.114475691756	5.59792478789237	604
Plate1	C8	c	8	S89	high-5	No_Plant	Plot15	BulkSoil	P57Plate1	Plate1_C8	high	Pot89	56675	10.9450884753757	6.55870478117104	1105
Plate1	C9	c	9	R2	low-2	Col-0	Plot4	Root	P39Plate1	Plate1_C9	low	Pot2	63808	11.0636338533215	5.21271793968672	619
