Useq,Freezer_Id,taxon_oid,Genome_Name,Genome_Classification
USeq1,MF160_2,2643221485,Variovorax sp. 160MFSha2.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq1,MF278,2643221492,Variovorax sp. 278MFTsu5.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq1,MF375,2643221501,Variovorax sp. 375MFSha3.1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
USeq2,MF496,2593339199,Paenibacillus sp. UNC496MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq3,MF312A,2643221533,Chryseobacterium sp. 312AMFChir4.1,k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium
USeq3,MF8,2529292577,Chryseobacterium sp. UNC8MFCol,k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium
USeq4,MF220A,2643221532,Sphingomonas sp. 220AMFTsu3.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
USeq5,CL141A,2636416070,Paenibacillus sp. CL141A,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq6,MF217,2563366516,Paenibacillus sp. UNC217MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
USeq7,MF273,2522125155,Terracoccus sp. 273MFTsu3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Terracoccus
USeq8,MF348,2521172629,Nocardia sp. 348MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia
USeq8,MF348_27F,2521172629,Nocardia sp. 348MFTsu5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia
USeq9,MF135,2517572123,Arthrobacter sp. 135MFCol5.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
USeq10,MF323,NA,NA,NA
USeq10,MF323_27f,NA,NA,NA
USeq10,MF327,2522572130,Promicromonospora sukumoe 327MFSha3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Promicromonospora
USeq11,MF455_27f,2639762525,Mycobacterium sp. 455MF,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
USeq12,MF174,2590828856,Methylobacterium sp. 174MFSha1.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium
USeq13,MF314,2521172612,Curtobacterium sp. 314Chir4.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium
USeq14,MF332_27f,NA,NA,NA
USeq15,CL71,2558860101,Acinetobacter sp. UNC436CL71CviS28,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
USeq16,MF6,2546825542,Burkholderia cenocepacia6,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF6_2,2546825542,Burkholderia cenocepacia6,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF6_3,2546825542,Burkholderia cenocepacia6,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF7,2546825540,Burkholderia cenocepacia7,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF7_2,2546825540,Burkholderia cenocepacia7,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF7_3,2546825540,Burkholderia cenocepacia7,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF7_4,2546825540,Burkholderia cenocepacia7,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF7_5,2546825540,Burkholderia cenocepacia7,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq16,MF7_6,2546825540,Burkholderia cenocepacia7,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
USeq17,MF105,2517572206,Bacillus sp. 105MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq17,MF107_27f,2522125078,Bacillus sp. 278922_107,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq17,MF140_27f,2563366508,Streptomyces sp. 140Col2.1E,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
USeq17,MF196,2639762634,Bacillus sp. 196MF,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq17,MF259_27F,2643221491,Rhodococcus maanshanensis 259MFSha1.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
USeq17,MF28_27f,2643221483,Rhizobium sp. 28MFCol1.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
USeq17,MF331_27f,2593339239,Luteibacter sp. UNCMF331Sha3.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
USeq17,MF5,2636416171,Bacillus sp. 5MFCol3.1,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
USeq17,MF72_27f,2510065092,Rhizobium sp. IBUN,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
USeq18,CL10,2579779165,Microbacterium sp. UNCCL10,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq18,MF380,2639762635,Hymenobacter sp. UNC380MFSha3.1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
USeq19,MF231,2523533508,Arthrobacter nicotinovorans 231Sha2.1M6,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
USeq20,MF92,2639762581,Stenotrophomonas sp. 92MFCol6.1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
USeq21,MF322,2574179748,Bacillus sp. UNC322MFChir4.1,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
