experiment,typebyTissue,condition,Rep,position,OTU_Header,ID_Matrix,Shannon,Richness
Pi,Inoculum,Inoculum,Rep1,h7,P37Plate1Phosphate,Plate1PhosphateH7,3.62406600193922,99
Pi,Inoculum,Inoculum,Rep1,h8,P2Plate1Phosphate,Plate1PhosphateH8,3.62181509086386,96
Pi,Inoculum,Inoculum,Rep1,h9,P13Plate1Phosphate,Plate1PhosphateH9,3.56980048641698,102
Pi,Inoculum,Inoculum,Rep2,c12,P14Plate2Phosphate,Plate2PhosphateC12,3.56572759952678,87
Pi,Inoculum,Inoculum,Rep2,d12,P73Plate2Phosphate,Plate2PhosphateD12,3.50680084545525,82
Pi,Inoculum,Inoculum,Rep2,e12,P28Plate2Phosphate,Plate2PhosphateE12,3.51358642473786,80
Pi,AgarNoPlant,0 micromolar Pi,Rep2,a8,P89Plate1Phosphate,Plate1PhosphateA8,1.96272872394456,66
Pi,AgarNoPlant,0 micromolar Pi,Rep2,h2,P77Plate1Phosphate,Plate1PhosphateH2,2.46127549540272,69
Pi,AgarNoPlant,0 micromolar Pi,Rep1,a5,P42Plate2Phosphate,Plate2PhosphateA5,2.30966229198438,58
Pi,AgarNoPlant,0 micromolar Pi,Rep1,a8,P89Plate2Phosphate,Plate2PhosphateA8,2.33744663460833,56
Pi,AgarNoPlant,0 micromolar Pi,Rep2,c10,P74Plate2Phosphate,Plate2PhosphateC10,2.46587475658401,78
Pi,AgarNoPlant,0 micromolar Pi,Rep2,c7,P27Plate2Phosphate,Plate2PhosphateC7,2.56713198621532,52
Pi,AgarNoPlant,0 micromolar Pi,Rep1,e11,P71Plate2Phosphate,Plate2PhosphateE11,2.2232044077384,56
Pi,AgarNoPlant,0 micromolar Pi,Rep1,d2,P25Plate3Phosphate,Plate3PhosphateD2,2.72541405868246,77
Pi,AgarNoPlant,0 micromolar Pi,Rep2,g2,P33Plate3Phosphate,Plate3PhosphateG2,2.49550352347249,64
Pi,AgarPlant,0 micromolar Pi,Rep1,b4,P17Plate1Phosphate,Plate1PhosphateB4,2.41405313540489,66
Pi,AgarPlant,0 micromolar Pi,Rep2,a1,P4Plate2Phosphate,Plate2PhosphateA1,2.58212537011924,63
Pi,AgarPlant,0 micromolar Pi,Rep1,c11,P43Plate2Phosphate,Plate2PhosphateC11,2.22207483111029,55
Pi,AgarPlant,0 micromolar Pi,Rep1,c4,P30Plate2Phosphate,Plate2PhosphateC4,2.09806224898963,53
Pi,AgarPlant,0 micromolar Pi,Rep2,d3,P85Plate2Phosphate,Plate2PhosphateD3,2.58571245392921,56
Pi,AgarPlant,0 micromolar Pi,Rep2,e2,P69Plate3Phosphate,Plate3PhosphateE2,2.69201971588564,61
Pi,Root,0 micromolar Pi,Rep1,e4,P56Plate1Phosphate,Plate1PhosphateE4,2.59526453201227,83
Pi,Root,0 micromolar Pi,Rep1,e5,P93Plate1Phosphate,Plate1PhosphateE5,2.55641173289143,73
Pi,Root,0 micromolar Pi,Rep1,g8,P95Plate1Phosphate,Plate1PhosphateG8,2.47302810997985,71
Pi,Root,0 micromolar Pi,Rep2,c6,P41Plate2Phosphate,Plate2PhosphateC6,2.4590191974169,64
Pi,Root,0 micromolar Pi,Rep2,g5,P53Plate2Phosphate,Plate2PhosphateG5,2.70450038979141,62
Pi,Shoot,0 micromolar Pi,Rep2,b6,P5Plate1Phosphate,Plate1PhosphateB6,2.37147261282278,78
Pi,Shoot,0 micromolar Pi,Rep1,e11,P71Plate1Phosphate,Plate1PhosphateE11,2.8564933284471,94
Pi,Shoot,0 micromolar Pi,Rep1,f3,P64Plate1Phosphate,Plate1PhosphateF3,2.5933981147116,79
Pi,Shoot,0 micromolar Pi,Rep2,a3,P87Plate2Phosphate,Plate2PhosphateA3,2.38588368444816,61
Pi,Shoot,0 micromolar Pi,Rep2,d1,P61Plate2Phosphate,Plate2PhosphateD1,2.87865479860281,86
Pi,Shoot,0 micromolar Pi,Rep1,a1,P4Plate3Phosphate,Plate3PhosphateA1,2.81764686001065,86
Pi,AgarNoPlant,10 micromolar Pi,Rep2,e12,P28Plate1Phosphate,Plate1PhosphateE12,2.42102262822217,83
Pi,AgarNoPlant,10 micromolar Pi,Rep2,e9,P68Plate1Phosphate,Plate1PhosphateE9,2.4219899231279,71
Pi,AgarNoPlant,10 micromolar Pi,Rep1,a10,P83Plate2Phosphate,Plate2PhosphateA10,2.04405848785866,55
Pi,AgarNoPlant,10 micromolar Pi,Rep2,b6,P5Plate2Phosphate,Plate2PhosphateB6,2.35366004393025,55
Pi,AgarNoPlant,10 micromolar Pi,Rep1,d2,P25Plate2Phosphate,Plate2PhosphateD2,1.98928045038258,58
Pi,AgarNoPlant,10 micromolar Pi,Rep1,h2,P77Plate2Phosphate,Plate2PhosphateH2,2.22186646225353,52
Pi,AgarNoPlant,10 micromolar Pi,Rep2,c4,P30Plate3Phosphate,Plate3PhosphateC4,2.55036604996405,76
Pi,AgarPlant,10 micromolar Pi,Rep1,a4,P60Plate1Phosphate,Plate1PhosphateA4,2.36653089103648,66
Pi,AgarPlant,10 micromolar Pi,Rep1,b11,P76Plate2Phosphate,Plate2PhosphateB11,1.95759206756696,57
Pi,AgarPlant,10 micromolar Pi,Rep2,a3,P87Plate3Phosphate,Plate3PhosphateA3,2.57312246778748,61
Pi,AgarPlant,10 micromolar Pi,Rep2,c3,P32Plate3Phosphate,Plate3PhosphateC3,2.58382525429179,61
Pi,AgarPlant,10 micromolar Pi,Rep1,f3,P64Plate3Phosphate,Plate3PhosphateF3,2.33772870388302,61
Pi,AgarPlant,10 micromolar Pi,Rep2,h3,P26Plate3Phosphate,Plate3PhosphateH3,2.65567110373843,68
