Gene,group,value,Cluster,Genotype,Phosphate
AT1G01480,phf1_low,-0.122245096602279,Cluster1,phf1,low
AT1G01480,phr1_phl1_low_Pi,-0.225634839394542,Cluster1,phr1_phl1,low_Pi
AT1G01480,phf1_low_Pi,-0.496740061214772,Cluster1,phf1,low_Pi
AT1G01480,Col_0_low_Pi,-0.185081011727867,Cluster1,Col_0,low_Pi
AT1G01480,phr1_phl1_low,-0.879170552622712,Cluster1,phr1_phl1,low
AT1G01480,Col_0_low,1.13778749547632,Cluster1,Col_0,low
AT1G01720,phf1_low,-0.177852371887552,Cluster1,phf1,low
AT1G01720,phr1_phl1_low,-0.279492211774537,Cluster1,phr1_phl1,low
AT1G01720,phf1_low_Pi,-1.14326064830894,Cluster1,phf1,low_Pi
AT1G01720,Col_0_low,1.41814326729312,Cluster1,Col_0,low
AT1G01720,phr1_phl1_low_Pi,-0.835120020345591,Cluster1,phr1_phl1,low_Pi
AT1G01720,Col_0_low_Pi,-0.0201234728520761,Cluster1,Col_0,low_Pi
AT1G08630,phf1_low,-0.432108141984655,Cluster1,phf1,low
AT1G08630,phr1_phl1_low_Pi,-0.288251673745533,Cluster1,phr1_phl1,low_Pi
AT1G08630,phr1_phl1_low,-0.881137199733779,Cluster1,phr1_phl1,low
AT1G08630,phf1_low_Pi,0.0462672392386567,Cluster1,phf1,low_Pi
AT1G08630,Col_0_low,1.4123846384539,Cluster1,Col_0,low
AT1G08630,Col_0_low_Pi,-0.506257001877704,Cluster1,Col_0,low_Pi
AT1G12010,Col_0_low,1.53858046507361,Cluster1,Col_0,low
AT1G12010,Col_0_low_Pi,-0.972804587963323,Cluster1,Col_0,low_Pi
AT1G12010,phr1_phl1_low,-0.710733472441946,Cluster1,phr1_phl1,low
AT1G12010,phf1_low,-0.374294498012536,Cluster1,phf1,low
AT1G12010,phr1_phl1_low_Pi,-0.313516597471976,Cluster1,phr1_phl1,low_Pi
AT1G12010,phf1_low_Pi,0.0938674085496471,Cluster1,phf1,low_Pi
AT1G12110,Col_0_low,1.01205346068745,Cluster1,Col_0,low
AT1G12110,phr1_phl1_low_Pi,-0.643407805686124,Cluster1,phr1_phl1,low_Pi
AT1G12110,phf1_low,0.00863091670537275,Cluster1,phf1,low
AT1G12110,Col_0_low_Pi,-0.248838520174967,Cluster1,Col_0,low_Pi
AT1G12110,phr1_phl1_low,-0.522350216861307,Cluster1,phr1_phl1,low
AT1G12110,phf1_low_Pi,-0.596109136498295,Cluster1,phf1,low_Pi
AT1G14870,phf1_low,-0.130122452810778,Cluster1,phf1,low
AT1G14870,phf1_low_Pi,-0.111206329080209,Cluster1,phf1,low_Pi
