Phosphate,variable,value
low,Regulon,-0.682605122257886
low,Regulon,-0.316227766016839
low,Regulon,0.111541472488735
low,Regulon,0.832554739570894
low,Regulon,0.285591154691793
low,Regulon,-0.537242410477247
low,Regulon,0.385458247835935
low,Regulon,0.266147598795544
low,Regulon,0.307399687424778
low,Regulon,-0.0364459628404133
low,Regulon,-0.493139284571718
low,Regulon,-0.630617859821063
low,Regulon,-0.0269840811925297
low,Regulon,-0.0697140067662147
low,Regulon,0.0707989715517502
low,Regulon,-0.333234870908511
low,Regulon,0.66403092254071
low,Regulon,0.856528482646354
low,Regulon,-0.318349171304762
low,Regulon,0.442003656917398
low,Regulon,-0.239733360001841
low,Regulon,0.319331808463287
low,Regulon,0.0154283864209801
low,Regulon,-0.493689317340537
low,Regulon,0.351789303536574
low,Regulon,0.28192713322491
low,Regulon,-0.0344320728794971
low,Regulon,-0.376141896578636
low,Regulon,-0.609366899070804
low,Regulon,-0.93662336472324
low,Regulon,-0.782878926964907
low,Regulon,-0.222445015912142
low,Regulon,0.840705051862896
low,Regulon,1.01646830260896
low,Regulon,-0.521002837613792
low,Regulon,-0.0183373407802028
low,Regulon,0.287485173168805
low,Regulon,0.311120741294964
low,Regulon,0.16346850478663
low,Regulon,-0.229321685769581
low,Regulon,0.462258110869663
low,Regulon,0.228343603145631
low,Regulon,1.16270473735703
low,Regulon,0.495989919846258
low,Regulon,-0.184735519346051
low,Regulon,0.220788933774592
low,Regulon,0.337866699073212
low,Regulon,0.608557185042106
low,Regulon,0.545347186738813
low,Regulon,1.24662100814491
low,Regulon,-0.0673122353226085
low,Regulon,-0.405113754112756
low,Regulon,0.600911800541306
low,Regulon,1.11470091623826
low,Regulon,0.283152145328952
low,Regulon,0.838337753988538
low,Regulon,-0.64521336988783
low,Regulon,0.323441248178593
low,Regulon,-0.242792378253461
low,Regulon,-0.351827579177775
low,Regulon,0.628077492302615
low,Regulon,0.501390594435702
low,Regulon,0.692205916305883
low,Regulon,0.162489991957906
low,Regulon,0.769211527781489
low,Regulon,0.355439306419208
low,Regulon,0.265069442776367
low,Regulon,0.634960180869829
low,Regulon,-0.665705145868572
low,Regulon,0.291072491764221
low,Regulon,-0.4266906183832
low,Regulon,0.266284132742413
low,Regulon,-0.401056740440504
low,Regulon,0.988868067873108
low,Regulon,-0.69896484795529
low,Regulon,0.490702317759776
low,Regulon,0.665013916573048
low,Regulon,-0.45645120273873
low,Regulon,-0.699962641872014
low,Regulon,-0.426427844486574
low,Regulon,-0.0891893351211871
low,Regulon,0.0477982075745883
low,Regulon,0.946748552031319
low,Regulon,0.654071152840691
low,Regulon,-0.389419037607103
low,Regulon,-0.155850617146195
low,Regulon,-0.336937237042554
low,Regulon,0.384676502273096
low,Regulon,0.507307402188734
low,Regulon,0.794119363917303
low,Regulon,1.18540679999006
low,Regulon,0.623242639928644
low,Regulon,0.365199620772213
low,Regulon,0.834316091157029
low,Regulon,0.25749277430257
low,Regulon,-0.144322034787571
low,Regulon,0.970339127894765
low,Regulon,0.470469044197208
low,Regulon,0.637897117579221
low,Regulon,0.732077658837156
low,Regulon,0.379696457154167
low,Regulon,0.271198545604056
low,Regulon,0.111336667435695
low,Regulon,-0.884465464687014
low,Regulon,0.552402292662019
low,Regulon,0.922903346747487
low,Regulon,0.382961020954414
low,Regulon,-0.729342235553614
low,Regulon,0.392851556395982
low,Regulon,0.814717530115398
low,Regulon,-0.713674458595332
low,Regulon,0.215454856047099
low,Regulon,0.658505473356522
low,Regulon,0.832581736949628
