Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Cluster1,GO:0009636,response to toxic substance,16/103,430/20876,3.47222959392055e-10,2.12500451147937e-07,1.4290966012873e-07,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G12580/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT4G12400/AT5G14730/AT5G42980/AT5G51440/AT5G52640/AT5G58940/AT5G62480,16
Cluster1,GO:0006979,response to oxidative stress,16/103,486/20876,2.03538164771853e-09,6.22826784201869e-07,4.18860118030497e-07,AT1G14870/AT1G15520/AT1G19020/AT1G62380/AT1G72520/AT2G21640/AT3G01420/AT3G08040/AT3G12580/AT3G13610/AT3G25250/AT4G12400/AT5G42980/AT5G51440/AT5G52640/AT5G58940,16
Cluster1,GO:0010583,response to cyclopentenone,9/103,148/20876,5.0457350007162e-08,8.60909076731609e-06,5.78973940492018e-06,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G47780/AT4G01870/AT5G14730/AT5G62480,9
Cluster1,GO:0000302,response to reactive oxygen species,12/103,318/20876,5.62685671066411e-08,8.60909076731609e-06,5.78973940492018e-06,AT1G15520/AT1G62380/AT1G72520/AT3G01420/AT3G08040/AT3G12580/AT3G13610/AT4G12400/AT5G42980/AT5G51440/AT5G52640/AT5G58940,12
Cluster1,GO:0009407,toxin catabolic process,10/103,211/20876,9.36013644876361e-08,1.14568070132867e-05,7.70487021361384e-06,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT5G14730/AT5G62480,10
Cluster1,GO:0009404,toxin metabolic process,10/103,223/20876,1.56837263111826e-07,1.55252116287977e-05,1.04409317971447e-05,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT5G14730/AT5G62480,10
Cluster1,GO:0098754,detoxification,10/103,226/20876,1.77575950002588e-07,1.55252116287977e-05,1.04409317971447e-05,AT1G17170/AT1G17180/AT2G34500/AT2G41380/AT3G13610/AT3G19710/AT3G47780/AT4G01870/AT5G14730/AT5G62480,10
Cluster1,GO:0009627,systemic acquired resistance,13/103,446/20876,3.03384377784608e-07,2.32089049005225e-05,1.56083278570765e-05,AT1G15520/AT1G19020/AT1G19250/AT2G26560/AT3G01420/AT3G07720/AT3G13100/AT3G26210/AT3G28510/AT5G06860/AT5G24930/AT5G40010/AT5G58940,13
Cluster1,GO:0035690,cellular response to drug,11/103,390/20876,3.60129407918639e-06,0.000244887997384674,0.000164690758475073,AT1G15520/AT1G19020/AT1G62380/AT2G26560/AT3G01420/AT3G08040/AT3G13610/AT3G28510/AT5G06860/AT5G24930/AT5G40010,11
Cluster1,GO:0055080,cation homeostasis,10/103,319/20876,4.0529254219375e-06,0.000248039035822575,0.000166809877892375,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0050801,ion homeostasis,10/103,343/20876,7.66965763733745e-06,0.00042671186127732,0.000286969965186502,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0030003,cellular cation homeostasis,9/103,282/20876,1.0918405742631e-05,0.00055683869287418,0.000374482161874448,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0006873,cellular ion homeostasis,9/103,291/20876,1.40227935100591e-05,0.000660149971396628,0.000443960507079603,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0055082,cellular chemical homeostasis,9/103,300/20876,1.78510765873958e-05,0.000780347062249016,0.000524794807945244,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0016999,antibiotic metabolic process,11/103,470/20876,2.07506721868656e-05,0.000783627107375102,0.000527000686246413,AT1G15520/AT1G66200/AT2G26560/AT3G07720/AT3G09940/AT3G13100/AT3G14940/AT3G28510/AT5G24930/AT5G40010/AT5G58940,11
Cluster1,GO:0046686,response to cadmium ion,11/103,470/20876,2.07506721868656e-05,0.000783627107375102,0.000527000686246413,AT1G23190/AT1G62380/AT1G62480/AT1G66200/AT2G26560/AT2G41380/AT3G12580/AT3G44300/AT4G21680/AT4G34870/AT5G65140,11
Cluster1,GO:0048878,chemical homeostasis,10/103,387/20876,2.17674196493084e-05,0.000783627107375102,0.000527000686246413,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0019725,cellular homeostasis,9/103,317/20876,2.75412812953529e-05,0.000936403564041998,0.000629745086928829,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930,9
Cluster1,GO:0098771,inorganic ion homeostasis,8/103,248/20876,3.18825388129199e-05,0.00102695335544774,0.000690641145476548,AT1G18970/AT1G23190/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G41610,8
Cluster1,GO:0009611,response to wounding,9/103,335/20876,4.23470699282098e-05,0.00129582033980322,0.000871458123259475,AT1G01720/AT1G19020/AT1G62380/AT1G72520/AT3G09940/AT3G13610/AT3G19710/AT3G25250/AT4G12030,9
Cluster1,GO:0034614,cellular response to reactive oxygen species,4/103,41/20876,4.91833252956917e-05,0.00137818812764579,0.00092685166479103,AT1G62380/AT3G01420/AT3G08040/AT3G13610,4
Cluster1,GO:0042542,response to hydrogen peroxide,7/103,194/20876,5.01361388069184e-05,0.00137818812764579,0.00092685166479103,AT3G12580/AT3G13610/AT4G12400/AT5G42980/AT5G51440/AT5G52640/AT5G58940,7
Cluster1,GO:0006875,cellular metal ion homeostasis,7/103,195/20876,5.17946518559693e-05,0.00137818812764579,0.00092685166479103,AT1G18970/AT1G23190/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380,7
Cluster1,GO:0035725,sodium ion transmembrane transport,4/103,42/20876,5.4155172169316e-05,0.00138095689031756,0.000928713698166779,AT4G12030/AT5G17860/AT5G41610/AT5G45380,4
Cluster1,GO:0050832,defense response to fungus,9/103,351/20876,6.06945146453178e-05,0.00148580171851738,0.000999223377950285,AT1G15520/AT1G19020/AT1G19250/AT1G61560/AT2G26560/AT3G01420/AT5G06860/AT5G42980/AT5G64810,9
Cluster1,GO:0071236,cellular response to antibiotic,9/103,364/20876,8.01690669394825e-05,0.00188705649872936,0.00126907308394079,AT1G15520/AT1G19020/AT2G26560/AT3G01420/AT3G13610/AT3G28510/AT5G06860/AT5G24930/AT5G40010,9
Cluster1,GO:0042592,homeostatic process,10/103,468/20876,0.000106891591421816,0.00242287607222783,0.00162941958073802,AT1G18970/AT1G23190/AT1G66200/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380/AT5G24930/AT5G41610,10
Cluster1,GO:0009753,response to jasmonic acid,10/103,474/20876,0.000118633271983493,0.00257292396773948,0.00173032898415228,AT1G01720/AT1G15520/AT1G72520/AT2G26560/AT3G09940/AT4G12030/AT5G06860/AT5G24930/AT5G47220/AT5G64810,10
Cluster1,GO:0071732,cellular response to nitric oxide,3/103,20/20876,0.000125098293312412,0.00257292396773948,0.00173032898415228,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0034599,cellular response to oxidative stress,4/103,52/20876,0.000126123723908798,0.00257292396773948,0.00173032898415228,AT1G62380/AT3G01420/AT3G08040/AT3G13610,4
Cluster1,GO:0055065,metal ion homeostasis,7/103,227/20876,0.000134035576700345,0.00261067506257669,0.0017557171473469,AT1G18970/AT1G23190/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380,7
Cluster1,GO:0001666,response to hypoxia,5/103,100/20876,0.000137689586671747,0.00261067506257669,0.0017557171473469,AT1G19250/AT2G26560/AT3G28510/AT5G25250/AT5G40010,5
Cluster1,GO:0071731,response to nitric oxide,3/103,21/20876,0.000145425413283885,0.00261067506257669,0.0017557171473469,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0097366,response to bronchodilator,3/103,21/20876,0.000145425413283885,0.00261067506257669,0.0017557171473469,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0000041,transition metal ion transport,7/103,231/20876,0.000149303312402262,0.00261067506257669,0.0017557171473469,AT1G18970/AT2G23150/AT3G01420/AT3G08040/AT3G14680/AT3G14940/AT5G06740,7
Cluster1,GO:0036293,response to decreased oxygen levels,5/103,103/20876,0.000158241478557493,0.00266069671221532,0.00178935743803955,AT1G19250/AT2G26560/AT3G28510/AT5G25250/AT5G40010,5
Cluster1,GO:0070482,response to oxygen levels,5/103,104/20876,0.000165587898068601,0.00266069671221532,0.00178935743803955,AT1G19250/AT2G26560/AT3G28510/AT5G25250/AT5G40010,5
Cluster1,GO:0006814,sodium ion transport,4/103,56/20876,0.000168544024893499,0.00266069671221532,0.00178935743803955,AT4G12030/AT5G17860/AT5G41610/AT5G45380,4
Cluster1,GO:0042742,defense response to bacterium,9/103,402/20876,0.000169554202249016,0.00266069671221532,0.00178935743803955,AT1G15520/AT1G19250/AT2G23150/AT2G26560/AT3G01420/AT5G47220/AT5G52640/AT5G53120/AT5G64810,9
Cluster1,GO:1902170,cellular response to reactive nitrogen species,3/103,23/20876,0.00019226155936225,0.00294160185824243,0.00197827025554315,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0071456,cellular response to hypoxia,3/103,24/20876,0.000218941207657565,0.00326809802649829,0.00219784370203101,AT1G19250/AT2G26560/AT5G25250,3
Cluster1,GO:0055076,transition metal ion homeostasis,6/103,176/20876,0.000239782175316778,0.00349396884033019,0.00234974512653785,AT1G18970/AT2G23150/AT3G01420/AT3G08040/AT3G14940/AT3G63380,6
Cluster1,GO:0009862,systemic acquired resistance, salicylic acid mediated signaling pathway,7/103,251/20876,0.000248260222500576,0.00353337805047332,0.00237624839651715,AT1G15520/AT1G19020/AT2G26560/AT3G28510/AT5G06860/AT5G24930/AT5G40010,7
Cluster1,GO:0036294,cellular response to decreased oxygen levels,3/103,26/20876,0.000279239932978584,0.00379766308850874,0.00255398394841231,AT1G19250/AT2G26560/AT5G25250,3
Cluster1,GO:0071453,cellular response to oxygen levels,3/103,26/20876,0.000279239932978584,0.00379766308850874,0.00255398394841231,AT1G19250/AT2G26560/AT5G25250,3
Cluster1,GO:0009723,response to ethylene,8/103,353/20876,0.000363789267456841,0.00483997894964318,0.00325495660356121,AT1G15520/AT1G62380/AT1G72520/AT2G26560/AT3G08040/AT3G09940/AT4G01870/AT5G47220,8
Cluster1,GO:0071446,cellular response to salicylic acid stimulus,8/103,355/20876,0.000377722609219569,0.00491843057111439,0.00330771646595412,AT1G15520/AT1G19020/AT2G26560/AT3G01420/AT3G28510/AT5G06860/AT5G24930/AT5G40010,8
Cluster1,GO:1901699,cellular response to nitrogen compound,3/103,30/20876,0.000429841617583705,0.00547057054570806,0.00367903867109022,AT1G62380/AT3G01420/AT3G08040,3
Cluster1,GO:0010167,response to nitrate,6/103,197/20876,0.000438003197287083,0.00547057054570806,0.00367903867109022,AT1G12110/AT1G18970/AT3G01420/AT3G08040/AT3G14940/AT4G21680,6
Cluster1,GO:0072593,reactive oxygen species metabolic process,8/103,374/20876,0.000533106783794881,0.00627934979398091,0.00422295453981172,AT1G15520/AT1G66200/AT2G23150/AT2G26560/AT3G09940/AT3G28510/AT5G24930/AT5G40010,8
Cluster1,GO:2000377,regulation of reactive oxygen species metabolic process,6/103,205/20876,0.000540482905134074,0.00627934979398091,0.00422295453981172,AT1G15520/AT2G23150/AT2G26560/AT3G28510/AT5G24930/AT5G40010,6
Cluster1,GO:0009867,jasmonic acid mediated signaling pathway,7/103,286/20876,0.000543799900459131,0.00627934979398091,0.00422295453981172,AT1G15520/AT2G26560/AT3G09940/AT5G06860/AT5G24930/AT5G47220/AT5G64810,7
Cluster1,GO:0071395,cellular response to jasmonic acid stimulus,7/103,286/20876,0.000543799900459131,0.00627934979398091,0.00422295453981172,AT1G15520/AT2G26560/AT3G09940/AT5G06860/AT5G24930/AT5G47220/AT5G64810,7
Cluster1,GO:0006457,protein folding,7/103,290/20876,0.000590421602762382,0.006691444831307,0.00450009447719477,AT1G74250/AT3G12580/AT4G12400/AT4G34870/AT5G42980/AT5G51440/AT5G52640,7
Cluster1,GO:0071396,cellular response to lipid,8/103,381/20876,0.000601995985960563,0.00669857351650663,0.00450488862221206,AT1G01720/AT1G12010/AT1G15520/AT1G62380/AT3G09940/AT4G01870/AT4G36880/AT5G06860,8
Cluster1,GO:0009267,cellular response to starvation,7/103,294/20876,0.00064017070463439,0.00699615127207583,0.00470501401338433,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0055072,iron ion homeostasis,5/103,141/20876,0.000674175323887196,0.00723851400384147,0.00486800649381151,AT1G18970/AT2G23150/AT3G01420/AT3G08040/AT3G14940,5
Cluster1,GO:0071407,cellular response to organic cyclic compound,8/103,393/20876,0.0007367525185932,0.00777400933412135,0.00522813493230383,AT1G15520/AT1G19020/AT2G26560/AT3G01420/AT3G28510/AT5G06860/AT5G24930/AT5G40010,8
Cluster1,GO:0042594,response to starvation,7/103,302/20876,0.000749649293401293,0.00777602317901002,0.00522948927243364,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0031669,cellular response to nutrient levels,7/103,312/20876,0.000906815292172285,0.00924951598015731,0.00622043472349761,AT1G18970/AT2G34500/AT3G01420/AT3G04530/AT3G08040/AT3G14940/AT5G45380,7
Cluster1,GO:0044550,secondary metabolite biosynthetic process,7/103,317/20876,0.000994590695708174,0.00989485228955949,0.00665443282631194,AT1G12110/AT1G62380/AT3G13610/AT3G19450/AT3G19710/AT4G12030/AT5G23010,7
