Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Plate1,A1,a,1,R16,low-4,phf1,Plot10,Root,P4Plate1,Plate1_A1,low,Pot16,76013,11.2386596572722,-0.951610813684567,-0.0805363527976699,-1.27527524574293,-0.812213765092999,0.932225828503897,-0.250469504145179
Plate1,A2,a,2,R7,low-1,phr1/phl1,Plot1,Root,P16Plate1,Plate1_A2,low,Pot7,78348,11.2689157209746,-0.19682975443005,-0.635011398279724,1.3441144330218,-0.467255774698551,0.572132588988181,0.355706456187432
Plate1,A3,a,3,S66,low+Pi-6,phr1/phl1,Plot16,Soil,P87Plate1,Plate1_A3,low+Pi,Pot66,49896,10.817696118206,0.139149213102504,-2.63621912158028,-1.20533301184965,0.15363297360789,-0.593443735466356,-1.4473163177237
Plate1,A4,a,4,R22,medium-4,Col-0,Plot11,Root,P60Plate1,Plate1_A4,medium,Pot22,59734,10.9976566515069,-0.951323941254641,-0.718108797364727,-1.31806505991688,-0.0733150863046747,-1.60952451548542,-0.634309700682724
Plate1,A6,a,6,S59,low+Pi-5,Col-0,Plot13,Soil,P9Plate1,Plate1_A6,low+Pi,Pot59,33716,10.4257277811174,0.153645820138151,-2.56642424198145,-1.59034927153594,0.742268100555377,-1.49903784675176,-0.858219732967716
Plate1,A7,a,7,L38,high-2,Col-0,Plot6,Shoot,P84Plate1,Plate1_A7,high,Pot38,61723,11.0304119119063,0.696369270973031,-0.465356535357371,-0.562558266789006,-1.02253486435809,-1.52946503859908,-0.126228750725996
Plate1,A8,a,8,R41,high-5,Col-0,Plot15,Root,P89Plate1,Plate1_A8,high,Pot41,59685,10.9968360115291,-0.571103348980895,0.147510285624967,0.0245061919127881,-0.318525669518894,-1.18188971511002,1.01122559010815
Plate1,A9,a,9,R30,medium-6,phr1/phl1,Plot17,Root,P65Plate1,Plate1_A9,medium,Pot30,66745,11.1086346670898,-0.306259063417135,-0.595803261402371,0.440366459312441,-0.338447651890652,-0.508349836347976,-0.330265191185252
Plate1,B1,b,1,R37,high-1,Col-0,Plot3,Root,P75Plate1,Plate1_B1,high,Pot37,120856,11.7023550332236,-1.11097731119687,0.0354220598220922,-1.03620605757744,0.0613631155017479,-0.62357974762942,-0.468061825840926
Plate1,B12,b,12,R49,high-1,phf1,Plot3,Root,P51Plate1,Plate1_B12,high,Pot49,58191,10.9714859825864,-1.22610918528501,0.0660459692299771,-0.826777467689672,0.699151989801387,0.829961668820881,-0.781270585196297
Plate1,B2,b,2,R4,low-4,Col-0,Plot10,Root,P31Plate1,Plate1_B2,low,Pot4,73242,11.2015243058979,-1.25983157998703,0.00075074103342681,-1.52901844179213,-1.14615047628878,-0.369460025336843,-0.323938140030305
Plate1,B3,b,3,R53,high-5,phf1,Plot15,Root,P8Plate1,Plate1_B3,high,Pot53,48315,10.7854973504334,-0.642390765971067,0.506107570695303,0.288278407762274,-0.115858342724637,1.15700315550898,0.884387406171664
Plate1,B4,b,4,R38,high-2,Col-0,Plot6,Root,P17Plate1,Plate1_B4,high,Pot38,53661,10.8904417596614,-1.01726430340078,0.952659634621399,-1.17045787690069,-0.313343753620875,-0.960550791016362,-1.08623530937441
Plate1,B5,b,5,L14,low-2,phf1,Plot4,Shoot,P40Plate1,Plate1_B5,low,Pot14,50063,10.8210374912764,1.14014563025288,0.596709921320586,-0.748871985225489,-1.39497941395257,1.29441092694923,0.552919136128857
Plate1,B6,b,6,R24,medium-6,Col-0,Plot17,Root,P5Plate1,Plate1_B6,medium,Pot24,49108,10.8017772333007,-1.03579421296904,0.696996018253672,0.0906778882421903,-0.644946243603071,-0.875859664379936,1.22918526531286
