Taxon,Fraction,Abundance,Sample
Acidobacteria,Soil,699.238095238095,Soil
Actinobacteria,Soil,422.285714285714,Soil
Bacteroidetes,Soil,112.333333333333,Soil
Chloroflexi,Soil,331.285714285714,Soil
Cyanobacteria,Soil,22.2380952380952,Soil
Firmicutes,Soil,25.3809523809524,Soil
Gemmatimonadetes,Soil,255.238095238095,Soil
Patescibacteria,Soil,9.14285714285714,Soil
Proteobacteria,Soil,853.238095238095,Soil
Verrucomicrobia,Soil,53.7142857142857,Soil
Other,Soil,215.904761904762,Soil
Acidobacteria,Root,108.671428571429,Root
Actinobacteria,Root,720.285714285714,Root
Bacteroidetes,Root,457.742857142857,Root
Chloroflexi,Root,207.357142857143,Root
Cyanobacteria,Root,83.4571428571429,Root
Firmicutes,Root,8.8,Root
Gemmatimonadetes,Root,29.8714285714286,Root
Patescibacteria,Root,19.5714285714286,Root
Proteobacteria,Root,1272.32857142857,Root
Verrucomicrobia,Root,44.2142857142857,Root
Other,Root,47.7,Root
Acidobacteria,Shoot,88.4558823529412,Shoot
Actinobacteria,Shoot,535.279411764706,Shoot
Bacteroidetes,Shoot,244.382352941176,Shoot
Chloroflexi,Shoot,67.25,Shoot
Cyanobacteria,Shoot,486.397058823529,Shoot
Firmicutes,Shoot,25.1029411764706,Shoot
Gemmatimonadetes,Shoot,28.1029411764706,Shoot
Patescibacteria,Shoot,69.0441176470588,Shoot
Proteobacteria,Shoot,1400.04411764706,Shoot
Verrucomicrobia,Shoot,33.1911764705882,Shoot
Other,Shoot,22.75,Shoot
