DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Plate3D1,Plate3,D1,D,1,L1,low-1,Col-0,Plot1,Shoot,low,Pot1,329539,12.7054499870738,-0.833271519798453,-0.830133883996321,2.22624942367042,-1.88049429815533,0.521840463716778,-0.426917799058699
Plate3C2,Plate3,C2,C,2,L2,low-2,Col-0,Plot4,Shoot,low,Pot2,141604,11.8607897084303,1.20314560415302,0.00192743943901071,0.794475796864974,-0.815658094589407,-0.0222481979211861,2.35836579066171
Plate2D4,Plate2,D4,D,4,L3,low-3,Col-0,Plot7,Shoot,low,Pot3,139625,11.8467155363715,-0.159959607356322,-0.672487582792113,0.0266869679262459,-0.452786792601731,1.81419958128355,0.753449938987311
Plate2D5,Plate2,D5,D,5,L4,low-4,Col-0,Plot10,Shoot,low,Pot4,243698,12.403685032768,-1.02987384721669,-1.55167854748182,-0.960990840600327,-2.73497524766427,1.62165431774154,-0.441044470506675
Plate1G2,Plate1,G2,G,2,L5,low-5,Col-0,Plot13,Shoot,low,Pot5,27396,10.2181522963178,-0.47015974813283,-0.308208802747014,0.212582331142687,-2.1799009634156,1.80732010339439,0.425362074954406
Plate2F4,Plate2,F4,F,4,L6,low-6,Col-0,Plot16,Shoot,low,Pot6,95228,11.4640292951824,-0.182976972317758,-0.620829579709135,0.0994727975382076,-1.7983377643155,2.39938805222718,0.751515358146977
Plate2D1,Plate2,D1,D,1,L7,low-1,phr1/phl1,Plot1,Shoot,low,Pot7,148789,11.9102844739174,-0.589872594706787,-0.940879140027059,-0.294650299268142,-0.511285935250683,1.19692686841579,0.121708468780944
Plate2G2,Plate2,G2,G,2,L8,low-2,phr1/phl1,Plot4,Shoot,low,Pot8,87164,11.3755466806168,-1.04619787949009,-1.84966719877041,-2.79258269216807,-1.12537789739176,-0.0676057137807669,-0.294822333012385
Plate2E8,Plate2,E8,E,8,L9,low-3,phr1/phl1,Plot7,Shoot,low,Pot9,57670,10.9624923866095,-0.512228501283411,-1.40190321343433,-1.41638222621889,-0.543327619332624,-0.138351699967996,0.0541797185626811
Plate2C6,Plate2,C6,C,6,L10,low-4,phr1/phl1,Plot10,Shoot,low,Pot10,224704,12.3225392595281,-1.15536315267048,-1.93019955475159,-1.35829944493023,-2.1196996908884,-0.929228425218972,-0.751700271272595
Plate2E10,Plate2,E10,E,10,L11,low-5,phr1/phl1,Plot13,Shoot,low,Pot11,112265,11.6286174269663,-1.45727785693966,-2.469175417504,-1.82215193307715,-0.425883330344663,-0.647614982321003,-1.13369007503551
Plate1F11,Plate1,F11,F,11,L12,low-6,phr1/phl1,Plot16,Shoot,low,Pot12,50121,10.8221953609259,-0.883351405826731,-1.84768784521772,-1.00800618315087,0.641727728551439,-1.01595296901911,-0.685161058530469
Plate2H3,Plate2,H3,H,3,L13,low-1,phf1,Plot1,Shoot,low,Pot13,90698,11.4152905851435,-1.08058202795678,-1.18330030202098,1.15181862951977,-0.584658311968503,-0.9737541061116,-0.254178344654018
Plate1B5,Plate1,B5,B,5,L14,low-2,phf1,Plot4,Shoot,low,Pot14,27372,10.2172758720724,-0.924409343133013,-1.32844223229131,1.4167940430275,-2.1386683569974,-0.335345397018602,-0.0216458058411969
Plate2D9,Plate2,D9,D,9,L16,low-4,phf1,Plot10,Shoot,low,Pot16,90665,11.4149266740881,-0.216457760414534,-0.610730284809758,0.0236616062124542,-0.205876328147605,-0.884314331982402,1.11849017274544
Plate3D2,Plate3,D2,D,2,L17,low-5,phf1,Plot13,Shoot,low,Pot17,82890,11.3252697065856,0.804505675603975,-0.183899522831777,-0.305053756034933,0.211557210103144,-0.0211139820005998,2.1058290555231
Plate3A6,Plate3,A6,A,6,L18,low-6,phf1,Plot16,Shoot,low,Pot18,184566,12.1257624020721,-0.860511831667478,-0.909339368229525,-0.64765149998074,-0.726397692533838,-0.322254727024719,0.117946417185798
Plate2B3,Plate2,B3,B,3,L20,medium-2,Col-0,Plot5,Shoot,medium,Pot20,93457,11.4452567164454,-0.0358049770341962,-0.38553192938464,1.01886862268953,0.176036404266644,1.35014223660887,0.512796724465395
Plate1H2,Plate1,H2,H,2,L21,medium-3,Col-0,Plot8,Shoot,medium,Pot21,35475,10.4765835020282,-0.581920778180271,-0.0103889633267722,2.8668241721714,0.177950161583842,1.26135698901938,0.177427062144735
Plate2H4,Plate2,H4,H,4,L23,medium-5,Col-0,Plot14,Shoot,medium,Pot23,57581,10.9609479311567,-0.41432150646901,-1.12028075939499,-0.08621528688946,0.997652304652028,0.654852824029182,-0.18939388938654
Plate3B1,Plate3,B1,B,1,L24,medium-6,Col-0,Plot17,Shoot,medium,Pot24,124482,11.7319164061212,0.800482821638344,-0.27947995457753,0.0391763457173848,-0.0520477704785024,1.27531609836319,1.48347426097573
Plate2G10,Plate2,G10,G,10,L25,medium-1,phr1/phl1,Plot2,Shoot,medium,Pot25,70546,11.1640202582959,-1.31651373451818,-1.64928107083642,-2.25265774571545,-0.57024135580821,0.478815735475549,-0.830023838394638
Plate2A9,Plate2,A9,A,9,L27,medium-3,phr1/phl1,Plot8,Shoot,medium,Pot27,193015,12.1705231850742,-0.893373729024027,-0.71821682658673,-1.19138043947845,-0.275481760138864,0.54795260454652,-0.524122057927188
Plate3C4,Plate3,C4,C,4,L29,medium-5,phr1/phl1,Plot14,Shoot,medium,Pot29,79840,11.2877799109853,0.108724448221552,-0.261369916357198,-0.550072258336714,0.380692459513029,1.28129782296283,0.82049978566307
Plate1F9,Plate1,F9,F,9,L30,medium-6,phr1/phl1,Plot17,Shoot,medium,Pot30,12950,9.46885106712768,-0.944133483366266,-0.97664448949667,0.237302921170924,-0.733594000662079,-1.01946214753799,-0.67321775731955
