Taxon,Fraction,Abundance,Sample
Ascomycota_unclassified,Soil,59.7272727272727,Soil
Branch06,Soil,0.242424242424242,Soil
Capnodiales,Soil,21.5,Soil
Chaetothyriales,Soil,48.1818181818182,Soil
Glomerellales,Soil,163.878787878788,Soil
Helotiales,Soil,102.545454545455,Soil
Hypocreales,Soil,412.439393939394,Soil
Pezizales,Soil,10.0606060606061,Soil
Pleosporales,Soil,138.075757575758,Soil
Sordariales,Soil,130.439393939394,Soil
Thelebolales,Soil,34.4848484848485,Soil
Xylariales,Soil,66.4545454545455,Soil
Agaricales,Soil,42.9242424242424,Soil
Cantharellales,Soil,20.7575757575758,Soil
Cystofilobasidiales,Soil,94.6666666666667,Soil
Filobasidiales,Soil,283.060606060606,Soil
Platygloeales,Soil,15.7878787878788,Soil
Mortierellales,Soil,1168.65151515152,Soil
Fungi_unclassified,Soil,52.6212121212121,Soil
Other,Soil,133.5,Soil
Ascomycota_unclassified,Root,48.6818181818182,Root
Branch06,Root,45.8636363636364,Root
Capnodiales,Root,7.09090909090909,Root
Chaetothyriales,Root,30.3939393939394,Root
Glomerellales,Root,129.742424242424,Root
Helotiales,Root,224.333333333333,Root
Hypocreales,Root,537.893939393939,Root
Pezizales,Root,284.848484848485,Root
Pleosporales,Root,503.151515151515,Root
Sordariales,Root,121.5,Root
Thelebolales,Root,6.6969696969697,Root
Xylariales,Root,50.9090909090909,Root
Agaricales,Root,77.1969696969697,Root
Cantharellales,Root,59.2878787878788,Root
Cystofilobasidiales,Root,28.2272727272727,Root
Filobasidiales,Root,69.8787878787879,Root
Platygloeales,Root,6.07575757575758,Root
Mortierellales,Root,616.136363636364,Root
Fungi_unclassified,Root,50.3030303030303,Root
Other,Root,101.787878787879,Root
Ascomycota_unclassified,Shoot,65.9491525423729,Shoot
Branch06,Shoot,0.11864406779661,Shoot
Capnodiales,Shoot,91.135593220339,Shoot
Chaetothyriales,Shoot,8.86440677966102,Shoot
Glomerellales,Shoot,477.254237288136,Shoot
Helotiales,Shoot,106.779661016949,Shoot
Hypocreales,Shoot,724.576271186441,Shoot
Pezizales,Shoot,12.4915254237288,Shoot
Pleosporales,Shoot,387.830508474576,Shoot
Sordariales,Shoot,27.9491525423729,Shoot
Thelebolales,Shoot,11.4067796610169,Shoot
Xylariales,Shoot,146.542372881356,Shoot
Agaricales,Shoot,13.9152542372881,Shoot
Cantharellales,Shoot,60.1186440677966,Shoot
Cystofilobasidiales,Shoot,33.5254237288136,Shoot
Filobasidiales,Shoot,54.3220338983051,Shoot
Platygloeales,Shoot,33.5423728813559,Shoot
Mortierellales,Shoot,468.813559322034,Shoot
Fungi_unclassified,Shoot,208.016949152542,Shoot
Other,Shoot,66.8474576271186,Shoot
