Order,Freq,Perc,Type,Facet,Mode
Ascomycota_unclassified,1,0.0344827586206897,Enriched_RootvsSoil,RootvsSoil,Enriched
Branch06,1,0.0344827586206897,Enriched_RootvsSoil,RootvsSoil,Enriched
Capnodiales,1,0.0344827586206897,Enriched_RootvsSoil,RootvsSoil,Enriched
Chaetothyriales,1,0.0344827586206897,Enriched_RootvsSoil,RootvsSoil,Enriched
Glomerellales,1,0.0344827586206897,Enriched_RootvsSoil,RootvsSoil,Enriched
Helotiales,6,0.206896551724138,Enriched_RootvsSoil,RootvsSoil,Enriched
Hypocreales,4,0.137931034482759,Enriched_RootvsSoil,RootvsSoil,Enriched
Pezizales,1,0.0344827586206897,Enriched_RootvsSoil,RootvsSoil,Enriched
Pleosporales,7,0.241379310344828,Enriched_RootvsSoil,RootvsSoil,Enriched
Sordariales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Thelebolales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Xylariales,1,0.0344827586206897,Enriched_RootvsSoil,RootvsSoil,Enriched
Agaricales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Cantharellales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Cystofilobasidiales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Filobasidiales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Platygloeales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Mortierellales,0,0,Enriched_RootvsSoil,RootvsSoil,Enriched
Fungi_unclassified,2,0.0689655172413793,Enriched_RootvsSoil,RootvsSoil,Enriched
Other,3,0.103448275862069,Enriched_RootvsSoil,RootvsSoil,Enriched
Ascomycota_unclassified,7,0.0457516339869281,Depleted_RootvsSoil,RootvsSoil,Depleted
Branch06,0,0,Depleted_RootvsSoil,RootvsSoil,Depleted
Capnodiales,1,0.0065359477124183,Depleted_RootvsSoil,RootvsSoil,Depleted
Chaetothyriales,4,0.0261437908496732,Depleted_RootvsSoil,RootvsSoil,Depleted
Glomerellales,5,0.0326797385620915,Depleted_RootvsSoil,RootvsSoil,Depleted
Helotiales,11,0.0718954248366013,Depleted_RootvsSoil,RootvsSoil,Depleted
Hypocreales,19,0.124183006535948,Depleted_RootvsSoil,RootvsSoil,Depleted
Pezizales,1,0.0065359477124183,Depleted_RootvsSoil,RootvsSoil,Depleted
Pleosporales,7,0.0457516339869281,Depleted_RootvsSoil,RootvsSoil,Depleted
Sordariales,9,0.0588235294117647,Depleted_RootvsSoil,RootvsSoil,Depleted
Thelebolales,5,0.0326797385620915,Depleted_RootvsSoil,RootvsSoil,Depleted
Xylariales,3,0.0196078431372549,Depleted_RootvsSoil,RootvsSoil,Depleted
Agaricales,4,0.0261437908496732,Depleted_RootvsSoil,RootvsSoil,Depleted
Cantharellales,0,0,Depleted_RootvsSoil,RootvsSoil,Depleted
Cystofilobasidiales,3,0.0196078431372549,Depleted_RootvsSoil,RootvsSoil,Depleted
Filobasidiales,4,0.0261437908496732,Depleted_RootvsSoil,RootvsSoil,Depleted
Platygloeales,1,0.0065359477124183,Depleted_RootvsSoil,RootvsSoil,Depleted
Mortierellales,15,0.0980392156862745,Depleted_RootvsSoil,RootvsSoil,Depleted
Fungi_unclassified,9,0.0588235294117647,Depleted_RootvsSoil,RootvsSoil,Depleted
Other,45,0.294117647058824,Depleted_RootvsSoil,RootvsSoil,Depleted
Ascomycota_unclassified,3,0.0714285714285714,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Branch06,0,0,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Capnodiales,2,0.0476190476190476,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Chaetothyriales,0,0,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Glomerellales,5,0.119047619047619,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Helotiales,2,0.0476190476190476,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Hypocreales,7,0.166666666666667,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Pezizales,1,0.0238095238095238,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Pleosporales,8,0.19047619047619,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Sordariales,0,0,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Thelebolales,0,0,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Xylariales,3,0.0714285714285714,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Agaricales,1,0.0238095238095238,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Cantharellales,0,0,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Cystofilobasidiales,1,0.0238095238095238,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Filobasidiales,0,0,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Platygloeales,1,0.0238095238095238,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Mortierellales,1,0.0238095238095238,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Fungi_unclassified,3,0.0714285714285714,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Other,4,0.0952380952380952,Enriched_ShootvsSoil,ShootvsSoil,Enriched
Ascomycota_unclassified,5,0.0485436893203883,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Branch06,0,0,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Capnodiales,0,0,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Chaetothyriales,5,0.0485436893203883,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Glomerellales,1,0.00970873786407767,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Helotiales,8,0.0776699029126214,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Hypocreales,10,0.0970873786407767,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Pezizales,0,0,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Pleosporales,5,0.0485436893203883,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Sordariales,7,0.0679611650485437,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Thelebolales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Xylariales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Agaricales,0,0,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Cantharellales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Cystofilobasidiales,2,0.0194174757281553,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Filobasidiales,3,0.029126213592233,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Platygloeales,1,0.00970873786407767,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Mortierellales,9,0.087378640776699,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Fungi_unclassified,5,0.0485436893203883,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Other,36,0.349514563106796,Depleted_ShootvsSoil,ShootvsSoil,Depleted
Ascomycota_unclassified,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Branch06,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Capnodiales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
Chaetothyriales,1,0.0526315789473684,Enriched_RootvsShoot,RootvsShoot,Enriched
Glomerellales,0,0,Enriched_RootvsShoot,RootvsShoot,Enriched
