Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate1,A1,a,1,R16,low-4,phf1,Plot10,Root,P4Plate1,Plate1_A1,low,Pot16,76013,11.2386596572722,-1.17968963851464,-0.0287484515432752,1.54966145925284,0.161085606896209,0.30699715906143,1.16724011767093
Plate1,A2,a,2,R7,low-1,phr1/phl1,Plot1,Root,P16Plate1,Plate1_A2,low,Pot7,78348,11.2689157209746,1.51326637304828,-0.187665530582932,0.807641787558852,2.79788545626425,-0.822003851110583,0.33209797129821
Plate1,A4,a,4,R22,medium-4,Col-0,Plot11,Root,P60Plate1,Plate1_A4,medium,Pot22,59734,10.9976566515069,-0.220787213878087,-0.629461923656281,-0.83626073977381,1.02440637849335,0.734158016721548,0.29696984434446
Plate1,A8,a,8,R41,high-5,Col-0,Plot15,Root,P89Plate1,Plate1_A8,high,Pot41,59685,10.9968360115291,-0.264741272462121,-0.785462595191228,-0.803305115554418,0.525012352511322,-0.23431455247376,-0.528383033652802
Plate1,A9,a,9,R30,medium-6,phr1/phl1,Plot17,Root,P65Plate1,Plate1_A9,medium,Pot30,66745,11.1086346670898,0.778316842064148,-0.703081148478409,-0.155187652934029,0.0279959067989936,0.677996609310465,2.44240085263751
Plate1,B1,b,1,R37,high-1,Col-0,Plot3,Root,P75Plate1,Plate1_B1,high,Pot37,120856,11.7023550332236,-0.892255627210694,-0.327447188517618,-0.527095399262837,0.268932478214135,-0.596312838412712,0.497468073972595
Plate1,B12,b,12,R49,high-1,phf1,Plot3,Root,P51Plate1,Plate1_B12,high,Pot49,58191,10.9714859825864,-0.837493367720773,0.636576577426751,0.390964498940836,-0.791257474462145,0.597147872617332,0.976807775330072
Plate1,B2,b,2,R4,low-4,Col-0,Plot10,Root,P31Plate1,Plate1_B2,low,Pot4,73242,11.2015243058979,-1.39281371169027,-1.25343055122226,0.555582336863814,-0.0586732092137943,0.18692418785341,0.746452754111597
Plate1,B3,b,3,R53,high-5,phf1,Plot15,Root,P8Plate1,Plate1_B3,high,Pot53,48315,10.7854973504334,-0.383914504484999,0.917950311926546,0.792111177577454,-0.284740498353471,-0.246265864227226,-0.343281844919192
Plate1,B4,b,4,R38,high-2,Col-0,Plot6,Root,P17Plate1,Plate1_B4,high,Pot38,53661,10.8904417596614,-0.915740896599264,-0.436429625371478,-0.479757705822183,-0.53558144326255,-0.772407148990226,0.0358296699199585
Plate1,B6,b,6,R24,medium-6,Col-0,Plot17,Root,P5Plate1,Plate1_B6,medium,Pot24,49108,10.8017772333007,-0.643801976421946,-0.622308989449906,-0.646527573800705,0.474470058451657,-0.39226197417637,-1.16857165663395
