DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate1C3,Plate1,C3,C,3,R1,low-1,Col-0,Plot1,Root,low,Pot1,27754,10.231135252931,-1.16469507917035,0.0671239609756852,-1.18234446529332,-0.22799163060505,-0.391532569321256,-1.29425760098443
Plate1C9,Plate1,C9,C,9,R2,low-2,Col-0,Plot4,Root,low,Pot2,41758,10.6396463286893,-0.659199023291841,0.196780623575486,-1.12366925038591,0.531538212469083,0.318491508989095,0.0736896934389606
Plate3E3,Plate3,E3,E,3,R3,low-3,Col-0,Plot7,Root,low,Pot3,78917,11.2761519462361,-0.614670239292571,-0.587258244303724,0.11243436649619,0.204173410116294,1.34505794212433,0.59566872460078
Plate1B2,Plate1,B2,B,2,R4,low-4,Col-0,Plot10,Root,low,Pot4,58782,10.9815909645727,-1.44570261850148,-0.507568560442741,-1.37643978842993,0.0683130445272217,-0.24933619135819,-1.67090525243872
Plate2G3,Plate2,G3,G,3,R5,low-5,Col-0,Plot13,Root,low,Pot5,36617,10.5082678924259,-0.543679090094387,0.654166066645438,-1.20281093995044,0.0110336386016031,0.170554093547986,1.00163681008064
Plate1D2,Plate1,D2,D,2,R6,low-6,Col-0,Plot16,Root,low,Pot6,38591,10.560774367645,-0.378107355152505,0.00737577679571344,-1.93610439247802,0.429634984800516,-1.61776780186512,1.11270663657698
Plate1A2,Plate1,A2,A,2,R7,low-1,phr1/phl1,Plot1,Root,low,Pot7,11540,9.35357454006209,-0.557813495542491,-1.76784378218094,-0.770975014626468,-1.68398931744922,-1.42078493695717,-0.941895763106908
Plate2F11,Plate2,F11,F,11,R7,low-1,phr1/phl1,Plot1,Root,low,Pot7,65034,11.0826654890438,-1.36069284823919,-0.765894293821073,0.365295982903053,-1.89603875738853,0.825835663245255,0.0694614604401915
Plate1H1,Plate1,H1,H,1,R8,low-2,phr1/phl1,Plot4,Root,low,Pot8,21500,9.97580821411575,0.130904444833594,-2.08918599179664,-0.00448686959466772,-0.0192966646441705,-0.136116648732105,-0.43190624018436
Plate1G3,Plate1,G3,G,3,R9,low-3,phr1/phl1,Plot7,Root,low,Pot9,20871,9.94611591459175,0.499539003298896,-2.46183936014701,-1.44460691985081,1.01211752922736,0.536794841475235,-1.94486910529983
Plate1G5,Plate1,G5,G,5,R10,low-4,phr1/phl1,Plot10,Root,low,Pot10,22228,10.0091080343998,-0.362812675052624,-0.914238663891367,0.16957900811758,-1.16120121864302,0.668828341061714,0.697958266611701
Plate1B8,Plate1,B8,B,8,R11,low-5,phr1/phl1,Plot13,Root,low,Pot11,5524,8.61685751452918,0.652016114021918,-1.00993663268715,-1.27666174296809,0.53099240349004,-1.15395684326614,0.753931247092118
Plate2A4,Plate2,A4,A,4,R13,low-1,phf1,Plot1,Root,low,Pot13,27535,10.2232132016966,0.24115934245559,-0.118842144496056,0.273504522276787,1.15107729738858,0.42662071623661,2.10796444572772
Plate1B9,Plate1,B9,B,9,R14,low-2,phf1,Plot4,Root,low,Pot14,10907,9.29716006392874,-0.63539797565465,0.130384590044676,0.233081688898765,0.316360243201129,-0.0926997514054036,0.897026834214252
Plate3A2,Plate3,A2,A,2,R15,low-3,phf1,Plot7,Root,low,Pot15,133622,11.8027701971866,-0.449452676136615,-1.12841357624215,-0.773952917383084,1.36573914206777,0.137828241888386,-1.55804605274713
Plate1A1,Plate1,A1,A,1,R16,low-4,phf1,Plot10,Root,low,Pot16,11562,9.35547913764242,-1.59977045107286,-0.630373392075589,0.552196708507474,-0.708006924536549,-0.45104595386735,0.127772193048319
Plate1G12,Plate1,G12,G,12,R17,low-5,phf1,Plot13,Root,low,Pot17,26262,10.1758783064189,-1.34388721560714,-0.405994174456545,1.18220498088914,-0.279507966674742,0.60142421962786,-0.188700698961777
Plate1G1,Plate1,G1,G,1,R18,low-6,phf1,Plot16,Root,low,Pot18,17138,9.74905349922906,-0.528192243955297,-0.692479653668967,0.594960422266266,0.355052574051683,0.481805128576263,0.592764401891504
Plate1C12,Plate1,C12,C,12,R19,medium-1,Col-0,Plot2,Root,medium,Pot19,19888,9.89787181375049,-0.758074883474719,1.51723714743019,-0.996931833352113,-0.933282415936466,0.16407653066846,0.853066672908552
Plate1H7,Plate1,H7,H,7,R20,medium-2,Col-0,Plot5,Root,medium,Pot20,40353,10.6054210203767,-0.372012038662219,2.09719187244833,-1.23870139898772,0.726665991750026,1.32646489027474,0.279144238503402
Plate3A3,Plate3,A3,A,3,R21,medium-3,Col-0,Plot8,Root,medium,Pot21,105444,11.5659352852838,-0.261520655473059,0.303408783828216,-1.31777655426568,0.777131018733943,0.265870831889555,-1.49951789496065
