Taxon,typebyTissue,Abundance,Sample
Actinobacteria,Inoculum,0.116532899952904,Inoculum
Bacteroidetes,Inoculum,0.244095517590173,Inoculum
Cyanobacteria,Inoculum,0,Inoculum
Firmicutes,Inoculum,0.185787078525548,Inoculum
Gemmatimonadetes,Inoculum,0,Inoculum
Proteobacteria,Inoculum,0.453584503931375,Inoculum
Other,Inoculum,0,Inoculum
Actinobacteria,Agar_NP,0.0322934128086846,Agar_NP
Bacteroidetes,Agar_NP,0.339771207754548,Agar_NP
Cyanobacteria,Agar_NP,1.41183114499506e-06,Agar_NP
Firmicutes,Agar_NP,0.00124915546526143,Agar_NP
Gemmatimonadetes,Agar_NP,0,Agar_NP
Proteobacteria,Agar_NP,0.626681642518022,Agar_NP
Other,Agar_NP,3.16962233949825e-06,Agar_NP
Actinobacteria,Agar_SC,0.0309326098912917,Agar_SC
Bacteroidetes,Agar_SC,0.343288041837098,Agar_SC
Cyanobacteria,Agar_SC,1.0170691017239e-05,Agar_SC
Firmicutes,Agar_SC,0.000193312904171514,Agar_SC
Gemmatimonadetes,Agar_SC,0,Agar_SC
Proteobacteria,Agar_SC,0.625575864676421,Agar_SC
Other,Agar_SC,0,Agar_SC
Actinobacteria,Root_SC,0.132803705589101,Root_SC
Bacteroidetes,Root_SC,0.335475719671173,Root_SC
Cyanobacteria,Root_SC,0,Root_SC
Firmicutes,Root_SC,0.00029980275329984,Root_SC
Gemmatimonadetes,Root_SC,0,Root_SC
Proteobacteria,Root_SC,0.531420771986427,Root_SC
Other,Root_SC,0,Root_SC
Actinobacteria,Shoot_SC,0.123721037201155,Shoot_SC
Bacteroidetes,Shoot_SC,0.271194365365079,Shoot_SC
Cyanobacteria,Shoot_SC,0.000123879829950348,Shoot_SC
Firmicutes,Shoot_SC,0.000506859989265648,Shoot_SC
Gemmatimonadetes,Shoot_SC,1.47640265634366e-06,Shoot_SC
Proteobacteria,Shoot_SC,0.604452381211894,Shoot_SC
Other,Shoot_SC,0,Shoot_SC
