Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,Shannon,Richness
Inoculum,Inoculum,P37Plate1Phosphate,Pi,Rep1,Inoculum,h7,Plate1PhosphateH7,Inoculum,Inoculum_Inoculum_Inoculum,14419,9.57630206030665,NA,3.62406600193922,99
Inoculum,Inoculum,P2Plate1Phosphate,Pi,Rep1,Inoculum,h8,Plate1PhosphateH8,Inoculum,Inoculum_Inoculum_Inoculum,12491,9.43276366396591,NA,3.62181509086386,96
Inoculum,Inoculum,P13Plate1Phosphate,Pi,Rep1,Inoculum,h9,Plate1PhosphateH9,Inoculum,Inoculum_Inoculum_Inoculum,16268,9.69695526702712,NA,3.56980048641698,102
Inoculum,Inoculum,P14Plate2Phosphate,Pi,Rep2,Inoculum,c12,Plate2PhosphateC12,Inoculum,Inoculum_Inoculum_Inoculum,2484,7.81762544305337,NA,3.56572759952678,87
Inoculum,Inoculum,P73Plate2Phosphate,Pi,Rep2,Inoculum,d12,Plate2PhosphateD12,Inoculum,Inoculum_Inoculum_Inoculum,2135,7.66622192566273,NA,3.50680084545525,82
Inoculum,Inoculum,P28Plate2Phosphate,Pi,Rep2,Inoculum,e12,Plate2PhosphateE12,Inoculum,Inoculum_Inoculum_Inoculum,3267,8.09162741160107,NA,3.51358642473786,80
Agar,NP,P89Plate1Phosphate,Pi,Rep2,0 micromolar Pi,a8,Plate1PhosphateA8,AgarNoPlant,Agar_NP_0P,24115,10.0905893325031,0,1.96272872394456,66
Agar,NP,P77Plate1Phosphate,Pi,Rep2,0 micromolar Pi,h2,Plate1PhosphateH2,AgarNoPlant,Agar_NP_0P,17874,9.79110242194134,0,2.46127549540272,69
Agar,NP,P42Plate2Phosphate,Pi,Rep1,0 micromolar Pi,a5,Plate2PhosphateA5,AgarNoPlant,Agar_NP_0P,5161,8.54888563814873,0,2.30966229198438,58
Agar,NP,P89Plate2Phosphate,Pi,Rep1,0 micromolar Pi,a8,Plate2PhosphateA8,AgarNoPlant,Agar_NP_0P,6104,8.71669957296429,0,2.33744663460833,56
Agar,NP,P74Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c10,Plate2PhosphateC10,AgarNoPlant,Agar_NP_0P,7295,8.89494446095689,0,2.46587475658401,78
Agar,NP,P27Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c7,Plate2PhosphateC7,AgarNoPlant,Agar_NP_0P,5772,8.66077391989376,0,2.56713198621532,52
Agar,NP,P71Plate2Phosphate,Pi,Rep1,0 micromolar Pi,e11,Plate2PhosphateE11,AgarNoPlant,Agar_NP_0P,5820,8.66905554072548,0,2.2232044077384,56
Agar,NP,P25Plate3Phosphate,Pi,Rep1,0 micromolar Pi,d2,Plate3PhosphateD2,AgarNoPlant,Agar_NP_0P,7248,8.88848084772282,0,2.72541405868246,77
Agar,NP,P33Plate3Phosphate,Pi,Rep2,0 micromolar Pi,g2,Plate3PhosphateG2,AgarNoPlant,Agar_NP_0P,3662,8.20576472523446,0,2.49550352347249,64
Agar,SC,P17Plate1Phosphate,Pi,Rep1,0 micromolar Pi,b4,Plate1PhosphateB4,AgarPlant,Agar_SC_0P,20503,9.92832649588305,0,2.41405313540489,66
