Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,CAP1,CAP2,CAP3,CAP4,CAP5,CAP6
Agar,NP,P89Plate1Phosphate,Pi,Rep2,0 micromolar Pi,a8,Plate1PhosphateA8,AgarNoPlant,Agar_NP_0P,24115,10.0905893325031,0,-0.546107086563271,-0.999242295148809,1.11136950434376,1.4371425788411,1.84159184142956,1.53142875013226
Agar,NP,P77Plate1Phosphate,Pi,Rep2,0 micromolar Pi,h2,Plate1PhosphateH2,AgarNoPlant,Agar_NP_0P,17874,9.79110242194134,0,-0.59546358752192,-0.142324428280344,1.03306844641569,-0.953733830197954,-0.193514258822248,-0.173174069278592
Agar,NP,P42Plate2Phosphate,Pi,Rep1,0 micromolar Pi,a5,Plate2PhosphateA5,AgarNoPlant,Agar_NP_0P,5161,8.54888563814873,0,-0.445163599978806,-0.145812287384109,1.36546373405356,-1.90605486953192,1.11416984191371,1.2211009621592
Agar,NP,P89Plate2Phosphate,Pi,Rep1,0 micromolar Pi,a8,Plate2PhosphateA8,AgarNoPlant,Agar_NP_0P,6104,8.71669957296429,0,-0.57413418549556,-0.0628199434410438,1.32409942282352,-1.60364339660141,0.849258068697143,-0.214710414725815
Agar,NP,P74Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c10,Plate2PhosphateC10,AgarNoPlant,Agar_NP_0P,7295,8.89494446095689,0,-0.187982599153042,-0.431673207194463,0.633462922194835,2.594032252891,3.64609560802838,-1.09743596518016
Agar,NP,P27Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c7,Plate2PhosphateC7,AgarNoPlant,Agar_NP_0P,5772,8.66077391989376,0,-0.583092155122161,0.392061932766156,0.648233394844052,-0.204506888218514,1.54129304825563,-0.500788272892124
Agar,NP,P71Plate2Phosphate,Pi,Rep1,0 micromolar Pi,e11,Plate2PhosphateE11,AgarNoPlant,Agar_NP_0P,5820,8.66905554072548,0,-0.641894335009994,-0.336267510962855,1.33073420712794,-0.967849423856305,1.51661395591682,0.593379764078898
Agar,NP,P25Plate3Phosphate,Pi,Rep1,0 micromolar Pi,d2,Plate3PhosphateD2,AgarNoPlant,Agar_NP_0P,7248,8.88848084772282,0,-0.27996854075486,-0.291819583824922,0.429442935465068,-0.166062497252272,0.781213926297609,0.591369685711963
Agar,NP,P33Plate3Phosphate,Pi,Rep2,0 micromolar Pi,g2,Plate3PhosphateG2,AgarNoPlant,Agar_NP_0P,3662,8.20576472523446,0,-0.685990615731074,-0.237206942262709,0.60934013161553,0.213825597957819,-0.535223634214778,-0.295604756446978
Agar,SC,P17Plate1Phosphate,Pi,Rep1,0 micromolar Pi,b4,Plate1PhosphateB4,AgarPlant,Agar_SC_0P,20503,9.92832649588305,0,-0.495266326949266,-0.0533159102794331,1.19240383639041,-1.87154132204088,0.627329589327701,-0.509963346518473
Agar,SC,P4Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a1,Plate2PhosphateA1,AgarPlant,Agar_SC_0P,4088,8.31581113188354,0,-0.347941488690185,0.372935670738537,1.40884921807998,-2.07135094993948,-0.00467823602411222,-1.14936145645187
Agar,SC,P43Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c11,Plate2PhosphateC11,AgarPlant,Agar_SC_0P,5036,8.52436739516424,0,-0.582971772014032,-0.199926143443152,1.39671401043881,-1.60297464176638,0.859482734792545,0.0948295907328017
Agar,SC,P30Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c4,Plate2PhosphateC4,AgarPlant,Agar_SC_0P,5312,8.57772369115627,0,-0.620210354644108,-0.176240713768858,1.31723383748136,-1.62105789906666,0.0667450136623856,0.712741662781858
Agar,SC,P85Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d3,Plate2PhosphateD3,AgarPlant,Agar_SC_0P,5067,8.53050420547591,0,-0.0386278042081156,0.439251231609437,1.55659891004531,-1.58599660876998,0.454701799324637,-0.574519238283373
Agar,SC,P69Plate3Phosphate,Pi,Rep2,0 micromolar Pi,e2,Plate3PhosphateE2,AgarPlant,Agar_SC_0P,5886,8.68033192879342,0,-0.284220182793331,0.226125390318392,1.2370459663911,-2.03996276070619,0.110906456423696,-0.463485502368225
Root,SC,P56Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e4,Plate1PhosphateE4,Root,Root_SC_0P,21262,9.96467672084855,0,0.40531259913412,-0.949405205094589,0.779137324915442,-0.685692843303521,-0.322806107690078,-0.684804603768084
Root,SC,P93Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e5,Plate1PhosphateE5,Root,Root_SC_0P,19580,9.8822639160845,0,0.360902559263113,-0.853768586074048,1.04081022325876,-0.982266921981917,0.509061885057152,-0.56083429710642
Root,SC,P95Plate1Phosphate,Pi,Rep1,0 micromolar Pi,g8,Plate1PhosphateG8,Root,Root_SC_0P,26561,10.187199253484,0,0.278140342341349,-0.98312666500499,1.15185217571018,-0.571036340383766,0.958835320213232,-0.388769673545595
Root,SC,P41Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c6,Plate2PhosphateC6,Root,Root_SC_0P,7277,8.89247396834709,0,0.203255326198949,-1.10754395596993,0.875333663065675,-0.0780331949027548,-1.91302790933486,1.01211928063969
Root,SC,P53Plate2Phosphate,Pi,Rep2,0 micromolar Pi,g5,Plate2PhosphateG5,Root,Root_SC_0P,6731,8.81447900001071,0,0.183054729205276,-0.697873311560677,0.628017124732544,-0.490278771234478,0.531290096929549,-0.281746625187927
Shoot,SC,P5Plate1Phosphate,Pi,Rep2,0 micromolar Pi,b6,Plate1PhosphateB6,Shoot,Shoot_SC_0P,25749,10.1561510703863,0,0.697128814375824,0.60655440074398,1.29483571895302,-0.215015285584025,-0.583032589795156,0.835067232054401
Shoot,SC,P71Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e11,Plate1PhosphateE11,Shoot,Shoot_SC_0P,21405,9.97137981857905,0,0.775318184614545,1.24653309965729,1.10491316958648,-0.361804281140858,0.486589405336361,0.017150706565435
Shoot,SC,P64Plate1Phosphate,Pi,Rep1,0 micromolar Pi,f3,Plate1PhosphateF3,Shoot,Shoot_SC_0P,19395,9.87277057987407,0,0.970708855165478,0.866282376193462,1.01935443426064,-0.391676012819218,0.707023751780076,0.714161381624022
Shoot,SC,P87Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a3,Plate2PhosphateA3,Shoot,Shoot_SC_0P,5923,8.68659835627697,0,0.826709611006615,0.659572222767168,0.926304869746038,-0.10938862374204,-0.152243959482809,1.33245743182862
Shoot,SC,P61Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d1,Plate2PhosphateD1,Shoot,Shoot_SC_0P,7031,8.85808422219916,0,0.733743061728706,1.13476151470778,0.723478362046699,0.25612403130273,0.382552495860483,0.32621165141124
Shoot,SC,P4Plate3Phosphate,Pi,Rep1,0 micromolar Pi,a1,Plate3PhosphateA1,Shoot,Shoot_SC_0P,7024,8.85708813531495,0,0.980785601254565,0.947193256857897,1.17521800724073,-0.39344219127101,0.6960736356967,0.3945865842395
Agar,NP,P28Plate1Phosphate,Pi,Rep2,10 micromolar Pi,e12,Plate1PhosphateE12,AgarNoPlant,Agar_NP_10P,17665,9.77934055979325,10,-0.388726244324031,0.0012963103798091,0.718939419739826,1.37016108178827,1.08413197557188,-0.744736423708772
Agar,NP,P68Plate1Phosphate,Pi,Rep2,10 micromolar Pi,e9,Plate1PhosphateE9,AgarNoPlant,Agar_NP_10P,19783,9.89257826202809,10,-0.661640971540288,0.0530846050144535,0.169211156687535,1.71701764047991,1.29604086502752,0.663671492453324
Agar,NP,P83Plate2Phosphate,Pi,Rep1,10 micromolar Pi,a10,Plate2PhosphateA10,AgarNoPlant,Agar_NP_10P,3904,8.26975694753298,10,-0.69150267980197,-0.431692921837298,0.688899628629216,1.11606117512555,-0.764416315375806,0.881360721296109
Agar,NP,P5Plate2Phosphate,Pi,Rep2,10 micromolar Pi,b6,Plate2PhosphateB6,AgarNoPlant,Agar_NP_10P,5882,8.67965211911394,10,-0.611172913862569,-0.197103173495802,0.541660318866067,0.806929147983181,-0.23646955466123,-0.931787658296003
Agar,NP,P25Plate2Phosphate,Pi,Rep1,10 micromolar Pi,d2,Plate2PhosphateD2,AgarNoPlant,Agar_NP_10P,4951,8.50734485536142,10,-0.729436538829053,-0.410580521601927,0.645830362087473,1.77230955583181,-1.04598464840621,0.540308672936768
Agar,NP,P77Plate2Phosphate,Pi,Rep1,10 micromolar Pi,h2,Plate2PhosphateH2,AgarNoPlant,Agar_NP_10P,4728,8.46125755908593,10,-0.808467817561696,-0.125258896099369,0.47647954944002,1.33518177889251,-0.00887726209534145,-0.666268797098185
Agar,NP,P30Plate3Phosphate,Pi,Rep2,10 micromolar Pi,c4,Plate3PhosphateC4,AgarNoPlant,Agar_NP_10P,8303,9.02437217426203,10,-0.157875029751913,-0.379811952445407,0.652976552793104,2.45132287797115,3.23704822338586,-0.801577782850358
Agar,SC,P60Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a4,Plate1PhosphateA4,AgarPlant,Agar_SC_10P,21044,9.9543707628507,10,-0.541689849754336,-0.253064198246094,0.775288960104838,0.323727218621021,0.218422186776213,-0.698206282544088
Agar,SC,P76Plate2Phosphate,Pi,Rep1,10 micromolar Pi,b11,Plate2PhosphateB11,AgarPlant,Agar_SC_10P,8293,9.0231670644512,10,-0.774255633510191,-0.294795030623521,0.529095438285681,1.48540877080626,-1.40016053927847,0.343826881456399
Agar,SC,P87Plate3Phosphate,Pi,Rep2,10 micromolar Pi,a3,Plate3PhosphateA3,AgarPlant,Agar_SC_10P,4350,8.37793112408273,10,-0.689874069466596,0.0977723819574605,0.414273377765356,-1.12753761205416,-1.28863372067503,0.403792726048207
Agar,SC,P32Plate3Phosphate,Pi,Rep2,10 micromolar Pi,c3,Plate3PhosphateC3,AgarPlant,Agar_SC_10P,4501,8.41205487329293,10,-0.245865326128658,0.307348262024162,0.342749363288061,-1.03468281489436,-1.36948705298855,-0.529593444423444
Agar,SC,P64Plate3Phosphate,Pi,Rep1,10 micromolar Pi,f3,Plate3PhosphateF3,AgarPlant,Agar_SC_10P,5427,8.5991417740634,10,-0.663667592164001,-0.202593289191738,0.674223336626735,-0.0555379745459237,-1.07387430580044,0.175428745011769
Agar,SC,P26Plate3Phosphate,Pi,Rep2,10 micromolar Pi,h3,Plate3PhosphateH3,AgarPlant,Agar_SC_10P,5392,8.59267165259214,10,-0.381864444033182,0.00916211218231421,0.205410415976797,-1.32919950919929,-1.14609551606328,-0.238369110764929
Root,SC,P4Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a1,Plate1PhosphateA1,Root,Root_SC_10P,22372,10.0155654559415,10,0.595782272152012,-1.08244019213748,0.280077929988595,-0.405663251615656,-0.872080763266959,-0.329286024770095
Root,SC,P42Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a5,Plate1PhosphateA5,Root,Root_SC_10P,22176,10.0067659019896,10,0.466025700190715,-1.1391385977593,0.434112862612191,0.366071423312803,-0.825801715749775,-0.551149027722395
