Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Root,SC,P56Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e4,Plate1PhosphateE4,Root,Root_SC_0P,21262,9.96467672084855,0,-0.694465225717955,-0.75927462592134,0.347744470517629,-0.696386582047445,0.78168738571546,0.245906068712276
Root,SC,P93Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e5,Plate1PhosphateE5,Root,Root_SC_0P,19580,9.8822639160845,0,-0.678882926511731,-1.19670270441357,-0.161916057935633,-0.509501156243505,0.357195000456631,0.787896410714501
Root,SC,P95Plate1Phosphate,Pi,Rep1,0 micromolar Pi,g8,Plate1PhosphateG8,Root,Root_SC_0P,26561,10.187199253484,0,-0.726314267401462,-1.20039159259981,-0.446570464909165,-0.374150777721833,0.135377498578452,0.960676537430894
Root,SC,P41Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c6,Plate2PhosphateC6,Root,Root_SC_0P,7277,8.89247396834709,0,-0.654801569397031,-0.267659051064118,0.0804799782757148,-0.863214318978154,-0.254645167924017,-2.03447082454907
Root,SC,P53Plate2Phosphate,Pi,Rep2,0 micromolar Pi,g5,Plate2PhosphateG5,Root,Root_SC_0P,6731,8.81447900001071,0,-0.454673190020292,-1.4866385945615,0.145921095382028,-0.848042958630479,0.00985957579048297,0.0399918076914024
Root,SC,P4Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a1,Plate1PhosphateA1,Root,Root_SC_10P,22372,10.0155654559415,10,-0.411347849009901,0.345332856378569,0.590474155967022,0.296692709566636,-0.275961465832968,-0.22667595372635
Root,SC,P42Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a5,Plate1PhosphateA5,Root,Root_SC_10P,22176,10.0067659019896,10,-0.690092532092053,-0.00482332220731558,0.565057462312644,0.735109748443341,0.184310945544593,0.20765506133628
Root,SC,P25Plate1Phosphate,Pi,Rep1,10 micromolar Pi,d2,Plate1PhosphateD2,Root,Root_SC_10P,28255,10.2490257120639,10,-0.542496801124969,0.112903958868912,0.824811450842291,0.455287350925824,0.237420589291817,-0.109868231362187
Root,SC,P33Plate1Phosphate,Pi,Rep2,10 micromolar Pi,g2,Plate1PhosphateG2,Root,Root_SC_10P,9639,9.17357264778397,10,-0.912129856610739,0.484492350958868,0.639017493410431,0.855806810776348,-0.304049441653016,0.0312011358005729
Root,SC,P58Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d8,Plate2PhosphateD8,Root,Root_SC_10P,11808,9.37653254684025,10,-0.860938260210547,0.505892052554312,0.530276225661503,0.729978158137346,-0.134597579604183,0.08186576141977
Root,SC,P19Plate2Phosphate,Pi,Rep2,10 micromolar Pi,f10,Plate2PhosphateF10,Root,Root_SC_10P,7143,8.87388813515497,10,-0.905518367822556,0.519243297028068,0.743210386660341,0.906639379346093,-0.225880856448234,0.0158222265319138
Root,SC,P74Plate1Phosphate,Pi,Rep2,30 micromolar Pi,c10,Plate1PhosphateC10,Root,Root_SC_30P,22794,10.0342526224157,30,0.201915886892423,0.201639239131043,-0.688944856142932,-0.242917103916467,0.0781013338252899,0.38147085375821
Root,SC,P30Plate1Phosphate,Pi,Rep1,30 micromolar Pi,c4,Plate1PhosphateC4,Root,Root_SC_30P,21250,9.96411217435256,30,-0.366502199915791,-0.749297997717144,-1.89387872231227,-0.64977032552186,-1.50960857146795,0.50578035550169
Root,SC,P24Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f6,Plate1PhosphateF6,Root,Root_SC_30P,24770,10.1173885224834,30,0.0240595414070352,0.176798553295426,-0.918894883892929,0.898013883891348,-0.48797935117986,0.520235927291397
Root,SC,P81Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g1,Plate1PhosphateG1,Root,Root_SC_30P,18185,9.80835235742109,30,-0.36906588397291,0.21618374673477,-0.662911885510263,0.659090726469422,-0.559792945090072,-0.530587504688787
Root,SC,P18Plate2Phosphate,Pi,Rep1,30 micromolar Pi,d10,Plate2PhosphateD10,Root,Root_SC_30P,7339,8.90095787254506,30,-0.297945048786106,0.63296765925757,-0.966028167324266,0.190052164633674,-1.01505306413686,-1.43247198608459
Root,SC,P94Plate2Phosphate,Pi,Rep2,30 micromolar Pi,f2,Plate2PhosphateF2,Root,Root_SC_30P,5527,8.61740045183326,30,0.0664108861511233,0.345982662780228,-0.863360997529487,0.381556860731319,-0.39320084006031,0.555572354222075
Root,SC,P51Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate1PhosphateB12,Root,Root_SC_50P,18787,9.8409204202673,50,0.224690094469677,0.801743761639943,-0.0290537873286551,-1.08285489428757,0.460761895663737,-0.235112151595811
Root,SC,P40Plate1Phosphate,Pi,Rep1,50 micromolar Pi,b5,Plate1PhosphateB5,Root,Root_SC_50P,23344,10.0580952707626,50,-0.144387637194221,1.17858966189771,-0.0705989020173943,-0.557039752340598,0.703640845227292,0.0396824015562963
Root,SC,P38Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c1,Plate1PhosphateC1,Root,Root_SC_50P,23515,10.0653937943791,50,-0.275208750798066,1.2031878176921,-0.0987694456388954,-0.400859846327441,0.829362717067031,0.137536338897451
Root,SC,P82Plate1Phosphate,Pi,Rep2,50 micromolar Pi,d11,Plate1PhosphateD11,Root,Root_SC_50P,18754,9.83916234197957,50,-0.189643457793619,0.625090790017204,-0.438130324138206,-0.178078170125821,0.218565231847962,0.619535855562222
Root,SC,P51Plate2Phosphate,Pi,Rep2,50 micromolar Pi,b12,Plate2PhosphateB12,Root,Root_SC_50P,5261,8.56807640173081,50,0.604829577912627,0.268462256609094,0.215765110687362,-1.33605692761746,0.396790119076836,-0.404148816892293
Root,SC,P72Plate2Phosphate,Pi,Rep1,50 micromolar Pi,g11,Plate2PhosphateG11,Root,Root_SC_50P,4936,8.50431056558522,50,0.247181904694767,1.02539839344911,0.0887147195394801,-0.627573413150868,0.543755077258926,-0.157493627527867
Root,SC,P86Plate1Phosphate,Pi,Rep1,100 micromolar Pi,a11,Plate1PhosphateA11,Root,Root_SC_100P,19657,9.8861887879578,100,0.83946017404318,-0.229830773830117,-0.0187214679434097,0.473171328010166,0.505876459711479,-0.329735672302322
Root,SC,P84Plate1Phosphate,Pi,Rep2,100 micromolar Pi,a7,Plate1PhosphateA7,Root,Root_SC_100P,25780,10.1573542764932,100,0.471820657674051,-0.466834298689155,-0.582321062683906,1.05223142215684,0.814389078618773,0.542595402451297
Root,SC,P70Plate1Phosphate,Pi,Rep2,100 micromolar Pi,c5,Plate1PhosphateC5,Root,Root_SC_100P,15543,9.6513656554829,100,0.599221406669451,-0.73594857395969,0.0800980666838352,0.189667395785755,0.665845374532002,-0.326204284041106
Root,SC,P45Plate1Phosphate,Pi,Rep1,100 micromolar Pi,g12,Plate1PhosphateG12,Root,Root_SC_100P,18233,9.81098841803921,100,0.641211697710646,-0.0944100604885909,-0.015064894529202,0.341613307705935,0.723652996461537,-0.398085109465614
Root,SC,P56Plate2Phosphate,Pi,Rep2,100 micromolar Pi,e4,Plate2PhosphateE4,Root,Root_SC_100P,5547,8.62101252005523,100,0.429679034431826,-0.545177636569678,-0.271821153392165,0.791560949641985,0.717634138886199,0.429532612782451
Root,SC,P62Plate2Phosphate,Pi,Rep1,100 micromolar Pi,g10,Plate2PhosphateG10,Root,Root_SC_100P,6804,8.82526595351575,100,0.889037361759532,-0.15526057919644,-0.0599147040372989,0.956900403610573,0.888122425721514,0.0818970505752947
Root,SC,P41Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,c6,Plate1PhosphateC6,Root,Root_SC_1000P,20089,9.90792768056215,1000,0.772956661045419,-0.308776430554755,0.612844354397403,-0.192802341482524,-1.02274058906833,-0.118818948636497
Root,SC,P85Plate1Phosphate,Pi,Rep2,1000 micromolar Pi,d3,Plate1PhosphateD3,Root,Root_SC_1000P,23708,10.0735678229077,1000,0.66255902273272,-0.216600779849285,0.461811375008467,-0.622518873995111,-0.505422016059859,0.106225156249395
Root,SC,P44Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,d9,Plate1PhosphateD9,Root,Root_SC_1000P,22004,9.99897953399535,1000,0.872349584777504,0.173322413892699,0.713211656413034,-0.128890176657816,-0.701766465500343,0.0496655111189318
Root,SC,P31Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,b2,Plate2PhosphateB2,Root,Root_SC_1000P,6333,8.75352933651643,1000,0.934511738494115,-0.189118421242346,0.651516442168299,0.0290566321283196,-0.805478839938206,0.287041297950594
Root,SC,P13Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,h9,Plate2PhosphateH9,Root,Root_SC_1000P,6352,8.75652500292697,1000,0.692518593513853,-0.210486029320754,0.895947333338599,-0.631771612915975,-1.0561714953118,-0.324113016682424
