Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,USeq
Agar,NP,P89Plate1Phosphate,Pi,Rep2,0 micromolar Pi,a8,Plate1PhosphateA8,Agar_NP,Agar_NP_0P,24115,10.0905893325031,0,0.00559817540949616
Agar,NP,P77Plate1Phosphate,Pi,Rep2,0 micromolar Pi,h2,Plate1PhosphateH2,Agar_NP,Agar_NP_0P,17874,9.79110242194134,0,0.0162246838983999
Agar,NP,P42Plate2Phosphate,Pi,Rep1,0 micromolar Pi,a5,Plate2PhosphateA5,Agar_NP,Agar_NP_0P,5161,8.54888563814873,0,0.0100755667506297
Agar,NP,P89Plate2Phosphate,Pi,Rep1,0 micromolar Pi,a8,Plate2PhosphateA8,Agar_NP,Agar_NP_0P,6104,8.71669957296429,0,0.00835517693315858
Agar,NP,P74Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c10,Plate2PhosphateC10,Agar_NP,Agar_NP_0P,7295,8.89494446095689,0,0.0328992460589445
Agar,NP,P27Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c7,Plate2PhosphateC7,Agar_NP,Agar_NP_0P,5772,8.66077391989376,0,0.0135135135135135
Agar,NP,P71Plate2Phosphate,Pi,Rep1,0 micromolar Pi,e11,Plate2PhosphateE11,Agar_NP,Agar_NP_0P,5820,8.66905554072548,0,0.0077319587628866
Agar,NP,P25Plate3Phosphate,Pi,Rep1,0 micromolar Pi,d2,Plate3PhosphateD2,Agar_NP,Agar_NP_0P,7248,8.88848084772282,0,0.019453642384106
Agar,NP,P33Plate3Phosphate,Pi,Rep2,0 micromolar Pi,g2,Plate3PhosphateG2,Agar_NP,Agar_NP_0P,3662,8.20576472523446,0,0.0248498088476242
Agar,SC,P17Plate1Phosphate,Pi,Rep1,0 micromolar Pi,b4,Plate1PhosphateB4,Agar_SC,Agar_SC_0P,20503,9.92832649588305,0,0.0114129639564942
Agar,SC,P4Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a1,Plate2PhosphateA1,Agar_SC,Agar_SC_0P,4088,8.31581113188354,0,0.0195694716242661
Agar,SC,P43Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c11,Plate2PhosphateC11,Agar_SC,Agar_SC_0P,5036,8.52436739516424,0,0.00833995234312947
Agar,SC,P30Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c4,Plate2PhosphateC4,Agar_SC,Agar_SC_0P,5312,8.57772369115627,0,0.00545933734939759
Agar,SC,P85Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d3,Plate2PhosphateD3,Agar_SC,Agar_SC_0P,5067,8.53050420547591,0,0.0132228142885336
Agar,SC,P69Plate3Phosphate,Pi,Rep2,0 micromolar Pi,e2,Plate3PhosphateE2,Agar_SC,Agar_SC_0P,5886,8.68033192879342,0,0.0237852531430513
Root,SC,P56Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e4,Plate1PhosphateE4,Root_SC,Root_SC_0P,21262,9.96467672084855,0,0.0299125199887123
Root,SC,P93Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e5,Plate1PhosphateE5,Root_SC,Root_SC_0P,19580,9.8822639160845,0,0.0237487231869254
Root,SC,P95Plate1Phosphate,Pi,Rep1,0 micromolar Pi,g8,Plate1PhosphateG8,Root_SC,Root_SC_0P,26561,10.187199253484,0,0.0225142125672979
Root,SC,P41Plate2Phosphate,Pi,Rep2,0 micromolar Pi,c6,Plate2PhosphateC6,Root_SC,Root_SC_0P,7277,8.89247396834709,0,0.0211625669918923
Root,SC,P53Plate2Phosphate,Pi,Rep2,0 micromolar Pi,g5,Plate2PhosphateG5,Root_SC,Root_SC_0P,6731,8.81447900001071,0,0.0328331600059427
Shoot,SC,P5Plate1Phosphate,Pi,Rep2,0 micromolar Pi,b6,Plate1PhosphateB6,Shoot_SC,Shoot_SC_0P,25749,10.1561510703863,0,0.0162724766010331
Shoot,SC,P71Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e11,Plate1PhosphateE11,Shoot_SC,Shoot_SC_0P,21405,9.97137981857905,0,0.0115393599626256
Shoot,SC,P64Plate1Phosphate,Pi,Rep1,0 micromolar Pi,f3,Plate1PhosphateF3,Shoot_SC,Shoot_SC_0P,19395,9.87277057987407,0,0.0252642433616912
Shoot,SC,P87Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a3,Plate2PhosphateA3,Shoot_SC,Shoot_SC_0P,5923,8.68659835627697,0,0.0114806685801114
Shoot,SC,P61Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d1,Plate2PhosphateD1,Shoot_SC,Shoot_SC_0P,7031,8.85808422219916,0,0.0110937277769876
Shoot,SC,P4Plate3Phosphate,Pi,Rep1,0 micromolar Pi,a1,Plate3PhosphateA1,Shoot_SC,Shoot_SC_0P,7024,8.85708813531495,0,0.0179384965831435
Agar,NP,P28Plate1Phosphate,Pi,Rep2,10 micromolar Pi,e12,Plate1PhosphateE12,Agar_NP,Agar_NP_10P,17665,9.77934055979325,10,0.0237758279082932
Agar,NP,P68Plate1Phosphate,Pi,Rep2,10 micromolar Pi,e9,Plate1PhosphateE9,Agar_NP,Agar_NP_10P,19783,9.89257826202809,10,0.00712733154728807
Agar,NP,P83Plate2Phosphate,Pi,Rep1,10 micromolar Pi,a10,Plate2PhosphateA10,Agar_NP,Agar_NP_10P,3904,8.26975694753298,10,0.00153688524590164
Agar,NP,P5Plate2Phosphate,Pi,Rep2,10 micromolar Pi,b6,Plate2PhosphateB6,Agar_NP,Agar_NP_10P,5882,8.67965211911394,10,0.0134308058483509
