Syncom,Treatment,PiConcentration,Rep
-Burk,50,0.00366039,Rep1
-Burk,50,0.00408934,Rep1
-Burk,50,0.00434553,Rep1
-Burk,50,0.00539624,Rep1
-Burk,50,0.00539992,Rep1
-Burk,50,0.00594813,Rep1
-Ralst,50,0.000607,Rep1
-Ralst,50,0.00100423,Rep1
-Ralst,50,0.0011651,Rep1
-Ralst,50,0.00162222,Rep1
-Ralst,50,0.00166965,Rep1
-Ralst,50,0.00179827,Rep1
Full,50,0.000496,Rep1
Full,50,0.00110663,Rep1
Full,50,0.00132181,Rep1
Full,50,0.00137746,Rep1
Full,50,0.00153302,Rep1
Full,50,0.00161449,Rep1
NB,50,0.00343061,Rep1
NB,50,0.00398745,Rep1
NB,50,0.00512552,Rep1
NB,50,0.00529834,Rep1
NB,50,0.00618765,Rep1
NB,50,0.0062886,Rep1
-Burk,1000,0.00664627,Rep1
-Burk,1000,0.00771874,Rep1
-Burk,1000,0.0110252,Rep1
-Burk,1000,0.01133512,Rep1
-Burk,1000,0.01156581,Rep1
-Burk,1000,0.01192294,Rep1
-Ralst,1000,0.00780456,Rep1
-Ralst,1000,0.00879474,Rep1
-Ralst,1000,0.00920817,Rep1
-Ralst,1000,0.01111831,Rep1
-Ralst,1000,0.01508632,Rep1
-Ralst,1000,0.022072,Rep1
Full,1000,0.01189626,Rep1
Full,1000,0.01211821,Rep1
Full,1000,0.01317418,Rep1
Full,1000,0.01336872,Rep1
Full,1000,0.01396613,Rep1
Full,1000,0.01507083,Rep1
NB,1000,0.0103361,Rep1
NB,1000,0.01163951,Rep1
NB,1000,0.01175598,Rep1
NB,1000,0.01442902,Rep1
NB,1000,0.04077174,Rep1
NB,1000,0.06448767,Rep1
-Burk,50_1000,0.01582281,Rep1
-Burk,50_1000,0.01941138,Rep1
-Burk,50_1000,0.02066684,Rep1
-Burk,50_1000,0.02702805,Rep1
-Burk,50_1000,0.02949188,Rep1
-Burk,50_1000,0.0330572,Rep1
-Ralst,50_1000,0.01512793,Rep1
-Ralst,50_1000,0.01620182,Rep1
-Ralst,50_1000,0.01729473,Rep1
-Ralst,50_1000,0.01914312,Rep1
-Ralst,50_1000,0.02288326,Rep1
-Ralst,50_1000,0.03801453,Rep1
Full,50_1000,0.00836849,Rep1
Full,50_1000,0.01845326,Rep1
Full,50_1000,0.02530547,Rep1
Full,50_1000,0.02762353,Rep1
Full,50_1000,0.02898363,Rep1
Full,50_1000,0.02908185,Rep1
NB,50_1000,0.00588526,Rep1
NB,50_1000,0.01078386,Rep1
NB,50_1000,0.01235685,Rep1
NB,50_1000,0.0133833,Rep1
NB,50_1000,0.01503901,Rep1
NB,50_1000,0.01591442,Rep1
-Burk,50,0.00393211,Rep2
-Burk,50,0.00342829,Rep2
-Burk,50,0.00176225,Rep2
-Burk,50,0.00174827,Rep2
-Burk,50,0.00420292,Rep2
-Burk,50,0.00367755,Rep2
-Ralst,50,0.00173599,Rep2
-Ralst,50,0.00174997,Rep2
-Ralst,50,0.00180863,Rep2
-Ralst,50,0.0026233,Rep2
-Ralst,50,0.00208235,Rep2
-Ralst,50,0.00128225,Rep2
Full,50,0.00157609,Rep2
Full,50,0.00138696,Rep2
Full,50,0.00166954,Rep2
Full,50,0.00174496,Rep2
Full,50,0.00254858,Rep2
Full,50,0.001622,Rep2
NB,50,0.01460662,Rep2
NB,50,0.00450116,Rep2
NB,50,0.04902357,Rep2
NB,50,0.00726374,Rep2
NB,50,0.00529843,Rep2
NB,50,0.01003837,Rep2
-Burk,1000,0.01341912,Rep2
-Burk,1000,0.0087693,Rep2
-Burk,1000,0.01234927,Rep2
-Burk,1000,0.02370445,Rep2
-Burk,1000,0.01525058,Rep2
-Burk,1000,0.01491076,Rep2
-Ralst,1000,0.01432813,Rep2
-Ralst,1000,0.0110347,Rep2
-Ralst,1000,0.01452117,Rep2
-Ralst,1000,0.01287702,Rep2
-Ralst,1000,0.01287612,Rep2
-Ralst,1000,0.01256214,Rep2
Full,1000,0.01430846,Rep2
Full,1000,0.01633991,Rep2
Full,1000,0.01636683,Rep2
Full,1000,0.01633266,Rep2
Full,1000,0.01124898,Rep2
Full,1000,0.01569339,Rep2
NB,1000,0.01610768,Rep2
NB,1000,0.01335885,Rep2
NB,1000,0.01413289,Rep2
NB,1000,0.0150951,Rep2
NB,1000,0.01681997,Rep2
-Burk,50_1000,0.02895012,Rep2
-Burk,50_1000,0.01848715,Rep2
-Burk,50_1000,0.03084826,Rep2
-Burk,50_1000,0.01728539,Rep2
-Burk,50_1000,0.02506063,Rep2
-Ralst,50_1000,0.02640433,Rep2
-Ralst,50_1000,0.0321656,Rep2
-Ralst,50_1000,0.03427107,Rep2
-Ralst,50_1000,0.01833924,Rep2
-Ralst,50_1000,0.02010311,Rep2
-Ralst,50_1000,0.0119772,Rep2
Full,50_1000,0.08507588,Rep2
Full,50_1000,0.0386576,Rep2
Full,50_1000,0.03375865,Rep2
Full,50_1000,0.0227348,Rep2
Full,50_1000,0.02683917,Rep2
NB,50_1000,0.01347552,Rep2
NB,50_1000,0.0167392,Rep2
NB,50_1000,0.01166146,Rep2
NB,50_1000,0.01612606,Rep2
NB,50_1000,0.0128946,Rep2
NB,50_1000,0.01362559,Rep2
