ID_Matrix,RA,Number,position,sample,sample.1,plate,Pi,SynCom,Genotype,Fraction,Well,Plate,OTU_Header,Depth,LDepth
Plate1PiDOR1A1,0.0276381909547739,P1,P1Plate1,r16,16,6,0uM,Full,Col-0,Root,A1,Plate1,P1Plate1PiDOR1,13930,9.54180006677385
Plate1PiDOR1A10,0.0149283739633074,P73,P73Plate1,r23,23,8,50uM,Full,phf1,Root,A10,Plate1,P73Plate1PiDOR1,39790,10.591370903421
Plate1PiDOR1A11,0.0139459556728549,P81,P81Plate1,r48,48,16,1000uM,Full,phr1/phl1,Root,A11,Plate1,P81Plate1PiDOR1,66686,11.1077503148202
Plate1PiDOR1A5,0.0174672489082969,P33,P33Plate1,r50,50,17,1000uM,Full,phf1,Root,A5,Plate1,P33Plate1PiDOR1,2748,7.91862865334224
Plate1PiDOR1A6,0.0205942011693115,P41,P41Plate1,r42,42,14,1000uM,Full,phr1/phl1,Root,A6,Plate1,P41Plate1PiDOR1,41905,10.643160430533
Plate1PiDOR1A7,0.0167676372874731,P49,P49Plate1,r54,54,18,1000uM,Full,phr1/phl1,Root,A7,Plate1,P49Plate1PiDOR1,25585,10.1497615212392
Plate1PiDOR1B11,0.0404487958264847,P82,P82Plate1,r6,6,2,0uM,Full,phr1/phl1,Root,B11,Plate1,P82Plate1PiDOR1,13993,9.54631248355571
Plate1PiDOR1B2,0.0158827122785583,P10,P10Plate1,r27,27,9,50uM,Full,phr1/phl1,Root,B2,Plate1,P10Plate1PiDOR1,9822,9.19238004659919
Plate1PiDOR1B3,0.0152895604850481,P18,P18Plate1,r51,51,17,1000uM,Full,phr1/phl1,Root,B3,Plate1,P18Plate1PiDOR1,229503,12.3436713802927
Plate1PiDOR1B4,0.0629007385764143,P26,P26Plate1,r8,8,3,0uM,Full,phf1,Root,B4,Plate1,P26Plate1PiDOR1,73926,11.2108198718527
Plate1PiDOR1C1,0.0160840660518979,P3,P3Plate1,r35,35,12,50uM,Full,phf1,Root,C1,Plate1,P3Plate1PiDOR1,4663,8.44741429680832
Plate1PiDOR1C10,0.0190784869802217,P75,P75Plate1,r38,38,13,1000uM,Full,phf1,Root,C10,Plate1,P75Plate1PiDOR1,27151,10.2091691570963
Plate1PiDOR1C11,0.0413099492976477,P83,P83Plate1,r14,14,5,0uM,Full,phf1,Root,C11,Plate1,P83Plate1PiDOR1,12031,9.39524193103352
Plate1PiDOR1C3,0.0262727360215571,P19,P19Plate1,r40,40,14,1000uM,Full,Col-0,Root,C3,Plate1,P19Plate1PiDOR1,41564,10.6349896869725
Plate1PiDOR1C4,0.0118707058852295,P27,P27Plate1,r20,20,7,50uM,Full,phf1,Root,C4,Plate1,P27Plate1PiDOR1,81798,11.3120080724142
Plate1PiDOR1C6,0.0505570273758576,P43,P43Plate1,r13,13,5,0uM,Full,Col-0,Root,C6,Plate1,P43Plate1PiDOR1,58884,10.9833246858779
Plate1PiDOR1C8,0.0157517899761337,P59,P59Plate1,r21,21,7,50uM,Full,phr1/phl1,Root,C8,Plate1,P59Plate1PiDOR1,10475,9.25674674479034
