Var1,Var2,value,a_value,Direction
B,PC1,0.356353060225506,0.356353060225506,Up
Ca.a,PC1,0.358233702366639,0.358233702366639,Up
Ca.t,PC1,0.353989530107429,0.353989530107429,Up
Cu,PC1,0.268863372930269,0.268863372930269,Up
Fe,PC1,0.154365941435645,0.154365941435645,Up
Humus,PC1,-0.129270122212773,0.129270122212773,Down
K.a,PC1,-0.0931697806717937,0.0931697806717937,Down
K.t,PC1,-0.0777350518645494,0.0777350518645494,Down
Mg.a,PC1,0.312177349082029,0.312177349082029,Up
Mg.t,PC1,0.359541694648441,0.359541694648441,Up
Mn,PC1,0.353567459504439,0.353567459504439,Up
Na.a,PC1,0.169037274004029,0.169037274004029,Up
pH,PC1,0.333936490433081,0.333936490433081,Up
B,PC2,-0.0282045546498328,0.0282045546498328,Down
Ca.a,PC2,0.0022624416949667,0.0022624416949667,Up
Ca.t,PC2,-0.104553861520903,0.104553861520903,Down
Cu,PC2,0.224762587182851,0.224762587182851,Up
Fe,PC2,0.503275606061273,0.503275606061273,Up
Humus,PC2,-0.138720422154865,0.138720422154865,Down
K.a,PC2,0.534182493587458,0.534182493587458,Up
K.t,PC2,0.536649510574364,0.536649510574364,Up
Mg.a,PC2,0.101152750387746,0.101152750387746,Up
Mg.t,PC2,0.00642933465948632,0.00642933465948632,Up
Mn,PC2,0.121452736716336,0.121452736716336,Up
Na.a,PC2,-0.15695305391042,0.15695305391042,Down
pH,PC2,-0.205470400353607,0.205470400353607,Down
B,PC3,0.126757838555114,0.126757838555114,Up
Ca.a,PC3,0.0488917140453508,0.0488917140453508,Up
Ca.t,PC3,-0.0911176435731376,0.0911176435731376,Down
Cu,PC3,-0.36837160653435,0.36837160653435,Down
Fe,PC3,-0.0912372361978493,0.0912372361978493,Down
Humus,PC3,0.625497439414189,0.625497439414189,Up
K.a,PC3,0.242270977546105,0.242270977546105,Up
K.t,PC3,0.216501734897039,0.216501734897039,Up
Mg.a,PC3,0.238137577899515,0.238137577899515,Up
Mg.t,PC3,0.119185865778588,0.119185865778588,Up
Mn,PC3,0.0545259968284176,0.0545259968284176,Up
Na.a,PC3,0.505274357508082,0.505274357508082,Up
pH,PC3,-0.0566783921758859,0.0566783921758859,Down
