Plate1_A1,Plate1_A2,Plate1_A4,Plate1_A8,Plate1_A9,Plate1_B1,Plate1_B12,Plate1_B2,Plate1_B3,Plate1_B4,Plate1_B6,Plate1_B8,Plate1_B9,Plate1_C10,Plate1_C11,Plate1_C12,Plate1_C2,Plate1_C3,Plate1_C4,Plate1_C9,Plate1_D11,Plate1_D2,Plate1_D3,Plate1_D5,Plate1_D6,Plate1_E10,Plate1_E3,Plate1_E4,Plate1_E6,Plate1_F3,Plate1_G1,Plate1_G11,Plate1_G12,Plate1_G3,Plate1_G5,Plate1_H1,Plate1_H3,Plate1_H7,Plate2_A1,Plate2_A10,Plate2_A4,Plate2_B1,Plate2_B5,Plate2_B7,Plate2_C1,Plate2_C11,Plate2_C2,Plate2_C4,Plate2_D10,Plate2_D2,Plate2_D8,Plate2_E12,Plate2_E7,Plate2_F10,Plate2_F11,Plate2_F7,Plate2_G12,Plate2_G3,Plate2_H1,Plate2_H5,Plate2_H6,Plate3_A2,Plate3_A3,Plate3_C1,Plate3_E2,Plate3_E3,Plate3_F1,Plate3_G2,Plate3_G4,Plate3_H2
Plate1_A1,0,0.912,0.771333333333333,0.937333333333333,0.971333333333333,0.762666666666667,0.726666666666667,0.572,0.865333333333333,0.709,0.854666666666667,0.845333333333333,0.74,0.742666666666667,0.85,0.659333333333333,0.929333333333333,0.656666666666667,0.881,0.697333333333333,0.954,0.878,0.724,0.930666666666667,0.826666666666667,0.966666666666667,0.791,0.845666666666667,0.874333333333333,0.665666666666667,0.882,0.629666666666667,0.871,0.845666666666667,0.765666666666667,0.839,0.866666666666667,0.734333333333333,0.727,0.795,0.752333333333333,0.907666666666667,0.726333333333333,0.606,0.699,0.930666666666667,0.722666666666667,0.701,0.772333333333333,0.722666666666667,0.796666666666667,0.696333333333333,0.731333333333333,0.901,0.767333333333333,0.741333333333333,0.899666666666667,0.910333333333333,0.865,0.868666666666667,0.902666666666667,0.779666666666667,0.757333333333333,0.788666666666667,0.946666666666667,0.753333333333333,0.869,0.786666666666667,0.813333333333333,0.862666666666667
Plate1_A2,0.912,0,0.929,0.958666666666667,0.984666666666667,0.816,0.874,0.837,0.955,0.909666666666667,0.903333333333333,0.941,0.881,0.897,0.883666666666667,0.885,0.923,0.883,0.933,0.890666666666667,0.947,0.945666666666667,0.930666666666667,0.948333333333333,0.783,0.914333333333333,0.891666666666667,0.887666666666667,0.856,0.842333333333333,0.963,0.872666666666667,0.925666666666667,0.898,0.870333333333333,0.883666666666667,0.959666666666667,0.883333333333333,0.790333333333333,0.882,0.870666666666667,0.977333333333333,0.893333333333333,0.891666666666667,0.917,0.971,0.897,0.862333333333333,0.88,0.868,0.835666666666667,0.864666666666667,0.912,0.827,0.899333333333333,0.900666666666667,0.955,0.955,0.728333333333333,0.966666666666667,0.958,0.887333333333333,0.880333333333333,0.677666666666667,0.935,0.903333333333333,0.965,0.873666666666667,0.929333333333333,0.962666666666667
Plate1_A4,0.771333333333333,0.929,0,0.902,0.796,0.767,0.707333333333333,0.712,0.878333333333333,0.724333333333333,0.844,0.828,0.659,0.803,0.746333333333333,0.703333333333333,0.902666666666667,0.740666666666667,0.821333333333333,0.621,0.861666666666667,0.866333333333333,0.789,0.914666666666667,0.856333333333333,0.933,0.746,0.797666666666667,0.828,0.708666666666667,0.876333333333333,0.663333333333333,0.853666666666667,0.876,0.736333333333333,0.820666666666667,0.884333333333333,0.636,0.803666666666667,0.771,0.784666666666667,0.929,0.695,0.712666666666667,0.695,0.925,0.672666666666667,0.762,0.716666666666667,0.740666666666667,0.750333333333333,0.728666666666667,0.727,0.858666666666667,0.698,0.721666666666667,0.864,0.882666666666667,0.816,0.869,0.879333333333333,0.708666666666667,0.711,0.744333333333333,0.920666666666667,0.709333333333333,0.877,0.735,0.811333333333333,0.873
Plate1_A8,0.937333333333333,0.958666666666667,0.902,0,0.884666666666667,0.946333333333333,0.952666666666667,0.911333333333333,0.638,0.96,0.747,0.802,0.968,0.788333333333333,0.935,0.961666666666667,0.731666666666667,0.96,0.799333333333333,0.941,0.937,0.671333333333333,0.801666666666667,0.649333333333333,0.971333333333333,0.982666666666667,0.923333333333333,0.930333333333333,0.944333333333333,0.954333333333333,0.664,0.914,0.771333333333333,0.965333333333333,0.910333333333333,0.963333333333333,0.758,0.932666666666667,0.961666666666667,0.968,0.957,0.623333333333333,0.962666666666667,0.926333333333333,0.974666666666667,0.632666666666667,0.96,0.97,0.943333333333333,0.971666666666667,0.899,0.953333333333333,0.977333333333333,0.938,0.927,0.919,0.692666666666667,0.702666666666667,0.948333333333333,0.691333333333333,0.709666666666667,0.973333333333333,0.975,0.964,0.983,0.968,0.646333333333333,0.962666666666667,0.808,0.647
Plate1_A9,0.971333333333333,0.984666666666667,0.796,0.884666666666667,0,0.976,0.964333333333333,0.959333333333333,0.897333333333333,0.982333333333333,0.897666666666667,0.904333333333333,0.982,0.914333333333333,0.934333333333333,0.974,0.910666666666667,0.975333333333333,0.914,0.877333333333333,0.904333333333333,0.909,0.941666666666667,0.908,0.982333333333333,0.968666666666667,0.933666666666667,0.921,0.973333333333333,0.970666666666667,0.913333333333333,0.95,0.923333333333333,0.974,0.955333333333333,0.979666666666667,0.927,0.89,0.984,0.983666666666667,0.980333333333333,0.929,0.980666666666667,0.968666666666667,0.984,0.896666666666667,0.978,0.985,0.978333333333333,0.988666666666667,0.966,0.981666666666667,0.989,0.960666666666667,0.969333333333333,0.961666666666667,0.907,0.906333333333333,0.937333333333333,0.913666666666667,0.923666666666667,0.984666666666667,0.989,0.986666666666667,0.991,0.981333333333333,0.923666666666667,0.968333333333333,0.928333333333333,0.915666666666667
Plate1_B1,0.762666666666667,0.816,0.767,0.946333333333333,0.976,0,0.579666666666667,0.685666666666667,0.912,0.656666666666667,0.893,0.882,0.594666666666667,0.833,0.82,0.670333333333333,0.931333333333333,0.616333333333333,0.885333333333333,0.618666666666667,0.954,0.91,0.822,0.936,0.669,0.933,0.749,0.822666666666667,0.796666666666667,0.578,0.913333333333333,0.691,0.888,0.799333333333333,0.780333333333333,0.713333333333333,0.911666666666667,0.719,0.615,0.628666666666667,0.713666666666667,0.939666666666667,0.625666666666667,0.653,0.645333333333333,0.953333333333333,0.620333333333333,0.615333333333333,0.728333333333333,0.604666666666667,0.714333333333333,0.666333333333333,0.64,0.857333333333333,0.749,0.756,0.934333333333333,0.935,0.702,0.905,0.908333333333333,0.652,0.645,0.721666666666667,0.895666666666667,0.624,0.905,0.747666666666667,0.86,0.908333333333333
Plate1_B12,0.726666666666667,0.874,0.707333333333333,0.952666666666667,0.964333333333333,0.579666666666667,0,0.677333333333333,0.910333333333333,0.561333333333333,0.903333333333333,0.877,0.512666666666667,0.835666666666667,0.742666666666667,0.618666666666667,0.885666666666667,0.512,0.871,0.525333333333333,0.905333333333333,0.885666666666667,0.8,0.903333333333333,0.689333333333333,0.885333333333333,0.7,0.800666666666667,0.745666666666667,0.500333333333333,0.91,0.647333333333333,0.848333333333333,0.790666666666667,0.688,0.623666666666667,0.902333333333333,0.640666666666667,0.667,0.517666666666667,0.645333333333333,0.941666666666667,0.523,0.613333333333333,0.572,0.948333333333333,0.491666666666667,0.559333333333333,0.639,0.517,0.657333333333333,0.58,0.529333333333333,0.822,0.655666666666667,0.654333333333333,0.938333333333333,0.923,0.722,0.910666666666667,0.903,0.521666666666667,0.570333333333333,0.691,0.841666666666667,0.493333333333333,0.891666666666667,0.676333333333333,0.848333333333333,0.905666666666667
Plate1_B2,0.572,0.837,0.712,0.911333333333333,0.959333333333333,0.685666666666667,0.677333333333333,0,0.838666666666667,0.615,0.803,0.782333333333333,0.643333333333333,0.684,0.754333333333333,0.579333333333333,0.897,0.561333333333333,0.836333333333333,0.593666666666667,0.939666666666667,0.855,0.656333333333333,0.905333333333333,0.791333333333333,0.944666666666667,0.694333333333333,0.782,0.834,0.585,0.825333333333333,0.478,0.803333333333333,0.791,0.676666666666667,0.790666666666667,0.811333333333333,0.658,0.692,0.73,0.649666666666667,0.898,0.624,0.489333333333333,0.641666666666667,0.907333333333333,0.626666666666667,0.592,0.683666666666667,0.637666666666667,0.721333333333333,0.633333333333333,0.690333333333333,0.845666666666667,0.679,0.697666666666667,0.883333333333333,0.868666666666667,0.797,0.848333333333333,0.848666666666667,0.714,0.668333333333333,0.695,0.91,0.693,0.859666666666667,0.720333333333333,0.749333333333333,0.818666666666667
Plate1_B3,0.865333333333333,0.955,0.878333333333333,0.638,0.897333333333333,0.912,0.910333333333333,0.838666666666667,0,0.908,0.719333333333333,0.731,0.916333333333333,0.751666666666667,0.899666666666667,0.901,0.729333333333333,0.904666666666667,0.767666666666667,0.906,0.936666666666667,0.657333333333333,0.758333333333333,0.614333333333333,0.937333333333333,0.978,0.886,0.913,0.917666666666667,0.903333333333333,0.611,0.856333333333333,0.726,0.915333333333333,0.863666666666667,0.923,0.707333333333333,0.909,0.921,0.919333333333333,0.901333333333333,0.551,0.911,0.863,0.918,0.510333333333333,0.913666666666667,0.922333333333333,0.899666666666667,0.921333333333333,0.889,0.902,0.926,0.924333333333333,0.877666666666667,0.848666666666667,0.646666666666667,0.708333333333333,0.944666666666667,0.597666666666667,0.696666666666667,0.929666666666667,0.926666666666667,0.927333333333333,0.971666666666667,0.916666666666667,0.584333333333333,0.917666666666667,0.733333333333333,0.587333333333333
Plate1_B4,0.709,0.909666666666667,0.724333333333333,0.96,0.982333333333333,0.656666666666667,0.561333333333333,0.615,0.908,0,0.900333333333333,0.858,0.529333333333333,0.802666666666667,0.702666666666667,0.556,0.932,0.502,0.905333333333333,0.475666666666667,0.952666666666667,0.911666666666667,0.768666666666667,0.939,0.719666666666667,0.923333333333333,0.707,0.838666666666667,0.810333333333333,0.498666666666667,0.888666666666667,0.618333333333333,0.853333333333333,0.726,0.774666666666667,0.661333333333333,0.865,0.648,0.676666666666667,0.551333333333333,0.662333333333333,0.939,0.498,0.556333333333333,0.47,0.955666666666667,0.501666666666667,0.420333333333333,0.666333333333333,0.602,0.731333333333333,0.648666666666667,0.461333333333333,0.854666666666667,0.767,0.762666666666667,0.947333333333333,0.926666666666667,0.781,0.908666666666667,0.899666666666667,0.538333333333333,0.548666666666667,0.7,0.878,0.475,0.927666666666667,0.630333333333333,0.834333333333333,0.882
