Plot,DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Fraction,Phosphate,Pot,Depth,LDepth,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
Plot1,Plate1C3,Plate1,C3,C,3,R1,low-1,Col-0,Root,low,Pot1,27754,10.231135252931,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot4,Plate1C9,Plate1,C9,C,9,R2,low-2,Col-0,Root,low,Pot2,41758,10.6396463286893,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot7,Plate3E3,Plate3,E3,E,3,R3,low-3,Col-0,Root,low,Pot3,78917,11.2761519462361,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot10,Plate1B2,Plate1,B2,B,2,R4,low-4,Col-0,Root,low,Pot4,58782,10.9815909645727,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot13,Plate2G3,Plate2,G3,G,3,R5,low-5,Col-0,Root,low,Pot5,36617,10.5082678924259,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot16,Plate1D2,Plate1,D2,D,2,R6,low-6,Col-0,Root,low,Pot6,38591,10.560774367645,4.4811303725263,1.25907842029195,0.308681040734879,0.00089622782399481,1.40228378235735,0.146056235184298,0.45413005297241,-0.167421043412846,0.139896615732804,-0.128010443746025,0.265800349205031,-0.0580721089280457,0.0130953421213114
Plot1,Plate1A2,Plate1,A2,A,2,R7,low-1,phr1/phl1,Root,low,Pot7,11540,9.35357454006209,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot1,Plate2F11,Plate2,F11,F,11,R7,low-1,phr1/phl1,Root,low,Pot7,65034,11.0826654890438,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot4,Plate1H1,Plate1,H1,H,1,R8,low-2,phr1/phl1,Root,low,Pot8,21500,9.97580821411575,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot7,Plate1G3,Plate1,G3,G,3,R9,low-3,phr1/phl1,Root,low,Pot9,20871,9.94611591459175,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot10,Plate1G5,Plate1,G5,G,5,R10,low-4,phr1/phl1,Root,low,Pot10,22228,10.0091080343998,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot13,Plate1B8,Plate1,B8,B,8,R11,low-5,phr1/phl1,Root,low,Pot11,5524,8.61685751452918,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
Plot1,Plate2A4,Plate2,A4,A,4,R13,low-1,phf1,Root,low,Pot13,27535,10.2232132016966,-2.98893079769553,-1.21500649184482,4.33672991937024,0.657760108687804,0.504054487731093,0.235910423591057,-0.130532730730663,0.119911486268568,-0.112144360310356,0.0436023636933937,0.166750118190101,0.0219217686844957,0.0176592141982247
Plot4,Plate1B9,Plate1,B9,B,9,R14,low-2,phf1,Root,low,Pot14,10907,9.29716006392874,-2.00749792811694,1.88563195890369,-0.0669115856550773,0.238819569169303,0.0267277409913162,-0.273963569364524,0.19320734770772,-0.563600355984839,0.0759166930398002,0.0112460787587659,-0.00565812713707052,-0.0514859813540056,0.0878602896969661
Plot7,Plate3A2,Plate3,A2,A,2,R15,low-3,phf1,Root,low,Pot15,133622,11.8027701971866,-2.56583312417989,1.99148276435578,-0.437052351872625,-0.309654376951853,-0.183893778208769,0.506406429215322,-0.468787501895128,-0.211967951860687,-0.0739606584391505,-0.317992009569955,0.148844001693583,-0.191454092514456,-0.0177211839464325
Plot10,Plate1A1,Plate1,A1,A,1,R16,low-4,phf1,Root,low,Pot16,11562,9.35547913764242,-1.04157319314929,-0.547136815053635,-1.30462964416318,-0.397361215050826,-0.211076076808542,0.538326488285785,-0.89875867554327,0.418133042822581,0.238405024238031,0.00832937676071326,0.0896450675226217,0.0854121707115896,-0.0238198590841761
Plot13,Plate1G12,Plate1,G12,G,12,R17,low-5,phf1,Root,low,Pot17,26262,10.1758783064189,3.48985198745525,1.21615534760229,1.03321633215356,-1.42427883910138,-0.747294536110734,1.38047731074219,0.240103756674116,-0.20813285489178,-0.119032585437165,-0.0719257512419759,-0.147834120018504,0.131301943328582,-0.0013394452135983
