plant,plot,Genotype,Phosphate,TotalLength_cm,TotalProjArea_cm2,TotSurfArea_cm2,Plot
1,1,Col-0,low,2683465.6008,2133.6,2186.94,Plot1
2,1,Col-0,low,2961381.174,2484.12,2270.76,Plot1
3,1,Col-0,low,2468220.87,2179.32,2247.9,Plot1
4,1,Col-0,low,201793.1448,449.58,609.6,Plot1
1,1,phf1,low,1132429.9932,1623.06,1303.02,Plot1
2,1,phf1,low,935320.71,1173.48,1432.56,Plot1
3,1,phf1,low,1176752.4852,1569.72,1524,Plot1
4,1,phf1,low,632850.3472,906.78,944.88,Plot1
1,1,Col-0,low+Pi,1569809.7636,1836.42,1661.16,Plot1
2,1,Col-0,low+Pi,3062897.1,2628.9,2346.96,Plot1
3,1,Col-0,low+Pi,3021452.0216,2727.96,2727.96,Plot1
4,1,Col-0,low+Pi,3476257.5636,2758.44,2872.74,Plot1
1,1,phf1,low+Pi,4896048.2724,3558.54,3116.58,Plot1
2,1,phf1,low+Pi,112741.71,419.1,403.86,Plot1
3,1,phf1,low+Pi,1161423.4836,1478.28,1760.22,Plot1
4,1,phf1,low+Pi,554437.6008,1234.44,990.6,Plot1
1,2,Col-0,medium,1980596.0388,1882.14,1813.56,Plot2
2,2,Col-0,medium,1474835.76,1699.26,1684.02,Plot2
3,2,Col-0,medium,1157126.718,1348.74,1356.36,Plot2
4,2,Col-0,medium,3573328.3372,2651.76,2560.32,Plot2
1,3,Col-0,high,4616197.2192,3215.64,3124.2,Plot3
2,3,Col-0,high,2746329.9912,2415.54,2331.72,Plot3
3,3,Col-0,high,3011077.8488,2369.82,2766.06,Plot3
4,3,Col-0,high,2403653.2572,2263.14,2400.3,Plot3
1,3,phr1/phl1,high,670372.8528,1021.08,868.68,Plot3
2,3,phr1/phl1,high,47670.8724,289.56,220.98,Plot3
3,3,phr1/phl1,high,268741.398,662.94,662.94,Plot3
4,3,phr1/phl1,high,158457.7476,495.3,419.1,Plot3
1,4,Col-0,low,3207922.6164,2324.1,2042.16,Plot4
2,4,Col-0,low,4018398.4148,3040.38,2606.04,Plot4
3,4,Col-0,low,2887484.5476,2423.16,2385.06,Plot4
4,4,Col-0,low,3076348.686,2263.14,2255.52,Plot4
1,4,phf1,low,2750355.7896,2461.26,2209.8,Plot4
2,4,phf1,low,2322750.1932,2133.6,1996.44,Plot4
3,4,phf1,low,3667057.182,3055.62,2545.08,Plot4
4,4,phf1,low,4057482.2076,2903.22,2804.16,Plot4
1,4,Col-0,low+Pi,4177869.0636,3139.44,2468.88,Plot4
2,4,Col-0,low+Pi,4852964.4876,3345.18,2994.66,Plot4
3,4,Col-0,low+Pi,2277511.574,2407.92,2011.68,Plot4
4,4,Col-0,low+Pi,2934323.1636,2453.64,2423.16,Plot4
1,4,phf1,low+Pi,3601831.506,2644.14,2781.3,Plot4
2,4,phf1,low+Pi,1216255.632,1318.26,1485.9,Plot4
3,4,phf1,low+Pi,2609472.2004,2446.02,2118.36,Plot4
4,4,phf1,low+Pi,1869557.5512,1973.58,1775.46,Plot4
1,4,phr1/phl1,low+Pi,134593.2792,558.8,457.2,Plot4
2,4,phr1/phl1,low+Pi,120690.0812,457.2,457.2,Plot4
3,4,phr1/phl1,low+Pi,65774.062,330.2,284.48,Plot4
4,4,phr1/phl1,low+Pi,119954.5988,401.32,452.12,Plot4
1,5,Col-0,medium,1438622.9292,2133.6,1798.32,Plot5
2,5,Col-0,medium,2967129.5496,2651.76,2164.08,Plot5
3,5,Col-0,medium,2036260.4436,2316.48,2095.5,Plot5
4,5,Col-0,medium,862166.0176,1135.38,1272.54,Plot5
1,6,Col-0,high,3019561.7028,2583.18,2369.82,Plot6
2,6,Col-0,high,850527.3312,1097.28,1234.44,Plot6
3,6,Col-0,high,1587693.5988,1821.18,1607.82,Plot6
