Pot,Soil,Genotype,Plot,PiperG,Weight,Pot.1,plantnum,normWeight,Phosphate,PhosphateNum
1,a-low,Col-0,Plot1,0.02528268489,0.2041,1,2,0.10205,low,0
2,a-low,Col-0,Plot4,0.05484368189,0.4351,2,3,0.145033333,low,0
3,a-low,Col-0,Plot7,0.06275218005,0.2923,3,3,0.097433333,low,0
4,a-low,Col-0,Plot10,0.06433940165,0.2666,4,3,0.088866667,low,0
5,a-low,Col-0,Plot13,0.03606899609,0.2725,5,2,0.13625,low,0
6,a-low,Col-0,Plot16,0.0491212606,0.5523,6,3,0.1841,low,0
19,b-medium,Col-0,Plot2,0.04708535312,0.2384,19,3,0.079466667,medium,15
20,b-medium,Col-0,Plot5,0.03906543504,0.1524,20,3,0.0508,medium,15
21,b-medium,Col-0,Plot8,0.05746885596,0.4019,21,2,0.20095,medium,15
22,b-medium,Col-0,Plot11,0.07005043203,0.5338,22,3,0.177933333,medium,15
23,b-medium,Col-0,Plot14,0.05703659259,0.3516,23,3,0.1172,medium,15
24,b-medium,Col-0,Plot17,0.05631825849,0.7657,24,3,0.255233333,medium,15
37,c-high,Col-0,Plot3,0.07202881543,0.3382,37,3,0.112733333,high,45
38,c-high,Col-0,Plot6,0.03417603777,0.0589,38,2,0.02945,high,45
39,c-high,Col-0,Plot9,0.06041029014,0.3653,39,3,0.121766667,high,45
40,c-high,Col-0,Plot12,0.05017936725,0.2249,40,2,0.11245,high,45
41,c-high,Col-0,Plot15,0.07163769429,0.5176,41,3,0.172533333,high,45
42,c-high,Col-0,Plot18,0.06175060975,0.6227,42,3,0.207566667,high,45
55,a-low+Pi,Col-0,Plot1,0.05912501922,0.3066,55,3,0.1022,low+Pi,0
56,a-low+Pi,Col-0,Plot4,0.0636677449,0.4628,56,3,0.154266667,low+Pi,0
57,a-low+Pi,Col-0,Plot7,0.07212846024,0.5658,57,3,0.1886,low+Pi,0
58,a-low+Pi,Col-0,Plot10,0.06083878834,0.1621,58,2,0.08105,low+Pi,0
59,a-low+Pi,Col-0,Plot13,0.05374751936,0.4347,59,3,0.1449,low+Pi,0
60,a-low+Pi,Col-0,Plot16,0.0682007923,0.4879,60,3,0.162633333,low+Pi,0
13,a-low,phf1,Plot1,0.02461646638,0.0965,13,3,0.032166667,low,0
14,a-low,phf1,Plot4,0.04832177588,0.27,14,3,0.09,low,0
15,a-low,phf1,Plot7,0.03729144719,0.2136,15,3,0.0712,low,0
16,a-low,phf1,Plot10,0.05319173633,0.2379,16,2,0.11895,low,0
17,a-low,phf1,Plot13,0.03737337429,0.3065,17,3,0.102166667,low,0
18,a-low,phf1,Plot16,0.04192963232,0.3073,18,3,0.102433333,low,0
31,b-medium,phf1,Plot2,0.04649782589,0.3966,31,3,0.1322,medium,15
32,b-medium,phf1,Plot5,0.04649782589,0.2066,32,2,0.1033,medium,15
33,b-medium,phf1,Plot8,0.03454845698,0.2646,33,3,0.0882,medium,15
34,b-medium,phf1,Plot11,0.05280904323,0.3176,34,3,0.105866667,medium,15
35,b-medium,phf1,Plot14,0.02554488499,0.0951,35,3,0.0317,medium,15
36,b-medium,phf1,Plot17,0.02508444098,0.423,36,3,0.141,medium,15
49,c-high,phf1,Plot3,0.05407414747,0.4439,49,3,0.147966667,high,45
50,c-high,phf1,Plot6,0.04387800878,0.2583,50,3,0.0861,high,45
51,c-high,phf1,Plot9,0.06386274577,0.3319,51,3,0.110633333,high,45
52,c-high,phf1,Plot12,0.0491212606,0.1349,52,3,0.044966667,high,45
53,c-high,phf1,Plot15,0.05294936289,0.4034,53,3,0.134466667,high,45
54,c-high,phf1,Plot18,0.05469005955,0.3607,54,3,0.120233333,high,45
67,a-low+Pi,phf1,Plot1,0.03848984559,0.2882,67,3,0.096066667,low+Pi,0
68,a-low+Pi,phf1,Plot4,0.04960482249,0.284,68,3,0.094666667,low+Pi,0
69,a-low+Pi,phf1,Plot7,0.04461146788,0.2901,69,3,0.0967,low+Pi,0
70,a-low+Pi,phf1,Plot10,0.06246928385,0.4361,70,3,0.145366667,low+Pi,0
71,a-low+Pi,phf1,Plot13,0.04509443457,0.1122,71,3,0.0374,low+Pi,0
72,a-low+Pi,phf1,Plot16,0.06535155588,0.6282,72,3,0.2094,low+Pi,0
7,a-low,phr1/phl1,Plot1,0,0.0129,7,2,0.00645,low,0
8,a-low,phr1/phl1,Plot4,0.001876804924,0.0146,8,1,0.0146,low,0
9,a-low,phr1/phl1,Plot7,0.001613947541,0.0094,9,3,0.003133333,low,0
10,a-low,phr1/phl1,Plot10,0.02018956229,0.0557,10,3,0.018566667,low,0
11,a-low,phr1/phl1,Plot13,0.004291108821,0.0234,11,3,0.0078,low,0
12,a-low,phr1/phl1,Plot16,0.01400316932,0.0849,12,3,0.0283,low,0
25,b-medium,phr1/phl1,Plot2,0.000680258246,0.0126,25,2,0.0063,medium,15
26,b-medium,phr1/phl1,Plot5,0.01732869293,0.0108,26,1,0.0108,medium,15
27,b-medium,phr1/phl1,Plot8,0.00848950639,0.0235,27,3,0.007833333,medium,15
28,b-medium,phr1/phl1,Plot11,0.007369294753,0.0316,28,3,0.010533333,medium,15
29,b-medium,phr1/phl1,Plot14,0.02065489577,0.0547,29,3,0.018233333,medium,15
30,b-medium,phr1/phl1,Plot17,0.01333534817,0.0698,30,3,0.023266667,medium,15
43,c-high,phr1/phl1,Plot3,0.006564706178,0.0104,43,3,0.003466667,high,45
44,c-high,phr1/phl1,Plot6,0.005623756319,0.0086,44,2,0.0043,high,45
45,c-high,phr1/phl1,Plot9,0.000680258246,0.0321,45,3,0.0107,high,45
46,c-high,phr1/phl1,Plot12,0.008045466277,0.0315,46,3,0.0105,high,45
47,c-high,phr1/phl1,Plot15,0.012358357,0.0709,47,3,0.023633333,high,45
48,c-high,phr1/phl1,Plot18,0.02833667702,0.102,48,2,0.051,high,45
62,a-low+Pi,phr1/phl1,Plot4,0.000949223338,0.0099,62,3,0.0033,low+Pi,0
63,a-low+Pi,phr1/phl1,Plot7,0,0,63,1,0,low+Pi,0
64,a-low+Pi,phr1/phl1,Plot10,0.003919587039,0.0183,64,2,0.00915,low+Pi,0
65,a-low+Pi,phr1/phl1,Plot13,0.005742644898,0.0895,65,3,0.029833333,low+Pi,0
66,a-low+Pi,phr1/phl1,Plot16,0.02434559401,0.1057,66,3,0.035233333,low+Pi,0
