group,Gene,value,Fraction,Phosphate,Genotype
Root_low_Col_0,AT1G02310,-0.139359827565318,Root,low,Col_0
Root_low_Col_0,AT1G03020,-0.606640601523449,Root,low,Col_0
Root_low_Col_0,AT1G03250,0.246345381497942,Root,low,Col_0
Root_low_Col_0,AT1G05000,0.588148463001351,Root,low,Col_0
Root_low_Col_0,AT1G08310,0.326040519110096,Root,low,Col_0
Root_low_Col_0,AT1G08650,-0.363011277600687,Root,low,Col_0
Root_low_Col_0,AT1G13300,-0.225666032092159,Root,low,Col_0
Root_low_Col_0,AT1G13750,0.819376714320586,Root,low,Col_0
Root_low_Col_0,AT1G17710,0.756000922729533,Root,low,Col_0
Root_low_Col_0,AT1G17745,0.335888549449321,Root,low,Col_0
Root_low_Col_0,AT1G17830,-0.934527895576714,Root,low,Col_0
Root_low_Col_0,AT1G19200,0.110359453800612,Root,low,Col_0
Root_low_Col_0,AT1G22150,0.697344248819225,Root,low,Col_0
Root_low_Col_0,AT1G22170,0.0302105394344097,Root,low,Col_0
Root_low_Col_0,AT1G22410,0.625298475127301,Root,low,Col_0
Root_low_Col_0,AT1G22990,0.240799132286763,Root,low,Col_0
Root_low_Col_0,AT1G23120,0.689976678685315,Root,low,Col_0
Root_low_Col_0,AT1G23140,0.878410264387914,Root,low,Col_0
Root_low_Col_0,AT1G24575,-0.430086196116149,Root,low,Col_0
Root_low_Col_0,AT1G27760,0.909318192993738,Root,low,Col_0
Root_low_Col_0,AT1G30500,-0.505023957309511,Root,low,Col_0
Root_low_Col_0,AT1G31120,0.684779197651967,Root,low,Col_0
Root_low_Col_0,AT1G32900,0.324233758693638,Root,low,Col_0
Root_low_Col_0,AT1G35720,-0.434309707842162,Root,low,Col_0
Root_low_Col_0,AT1G48370,0.724882402487648,Root,low,Col_0
Root_low_Col_0,AT1G50110,0.812380871156763,Root,low,Col_0
Root_low_Col_0,AT1G53310,0.494032786157531,Root,low,Col_0
Root_low_Col_0,AT1G56600,-0.418622963531654,Root,low,Col_0
Root_low_Col_0,AT1G61800,-0.277350098112615,Root,low,Col_0
Root_low_Col_0,AT1G62540,-1.14759625034948,Root,low,Col_0
Root_low_Col_0,AT1G62710,-0.466702359955183,Root,low,Col_0
Root_low_Col_0,AT1G64590,0.448603208744667,Root,low,Col_0
Root_low_Col_0,AT1G67600,0.374958191813474,Root,low,Col_0
Root_low_Col_0,AT1G67810,0.797990163974777,Root,low,Col_0
Root_low_Col_0,AT1G67920,-0.129715233605893,Root,low,Col_0
Root_low_Col_0,AT1G68620,-0.152124515734857,Root,low,Col_0
Root_low_Col_0,AT1G68670,-0.685315768155178,Root,low,Col_0
Root_low_Col_0,AT1G68740,0.152807906595356,Root,low,Col_0
Root_low_Col_0,AT1G69930,0.859994313567619,Root,low,Col_0
Root_low_Col_0,AT1G70900,0.0755976878946581,Root,low,Col_0
Root_low_Col_0,AT1G71130,0.212244662083188,Root,low,Col_0
Root_low_Col_0,AT1G72070,-0.566211148963741,Root,low,Col_0
Root_low_Col_0,AT1G72520,1.51447535816019,Root,low,Col_0
Root_low_Col_0,AT1G72890,-0.188407856732548,Root,low,Col_0
Root_low_Col_0,AT1G73010,0.478049000348767,Root,low,Col_0
Root_low_Col_0,AT1G73220,0.720495170921168,Root,low,Col_0
Root_low_Col_0,AT1G74210,0.895837473842817,Root,low,Col_0
Root_low_Col_0,AT1G76410,-0.173762269010203,Root,low,Col_0
Root_low_Col_0,AT1G76430,0.419136072233882,Root,low,Col_0
Root_low_Col_0,AT1G76520,0.903223569894817,Root,low,Col_0
Root_low_Col_0,AT2G01880,0.660221194001303,Root,low,Col_0
Root_low_Col_0,AT2G02990,-0.0879840997153739,Root,low,Col_0
Root_low_Col_0,AT2G03020,1.45847655627514,Root,low,Col_0
Root_low_Col_0,AT2G04040,0.632967687846097,Root,low,Col_0
Root_low_Col_0,AT2G04160,0.756589256562302,Root,low,Col_0
Root_low_Col_0,AT2G11810,0.363608628857311,Root,low,Col_0
Root_low_Col_0,AT2G16430,0.49265191715486,Root,low,Col_0
Root_low_Col_0,AT2G17280,0.96491838900027,Root,low,Col_0
Root_low_Col_0,AT2G18660,0.184223410245728,Root,low,Col_0
Root_low_Col_0,AT2G22080,-0.225775193049132,Root,low,Col_0
Root_low_Col_0,AT2G26660,0.0971167080666635,Root,low,Col_0
Root_low_Col_0,AT2G27190,0.207105333784414,Root,low,Col_0
Root_low_Col_0,AT2G28660,-0.299205554636762,Root,low,Col_0
Root_low_Col_0,AT2G29460,0.635185208609353,Root,low,Col_0
Root_low_Col_0,AT2G29670,0.592203682274482,Root,low,Col_0
Root_low_Col_0,AT2G30540,0.0249303405557106,Root,low,Col_0
Root_low_Col_0,AT2G30550,1.22525088215261,Root,low,Col_0
Root_low_Col_0,AT2G32830,0.128458624759864,Root,low,Col_0
Root_low_Col_0,AT2G34810,-0.354425633721388,Root,low,Col_0
Root_low_Col_0,AT2G36970,0.0407636674693268,Root,low,Col_0
Root_low_Col_0,AT2G37890,-0.50413686956376,Root,low,Col_0
Root_low_Col_0,AT2G37980,0.955024953060059,Root,low,Col_0
Root_low_Col_0,AT2G38740,0.341721288648568,Root,low,Col_0
Root_low_Col_0,AT2G38940,1.10509507708417,Root,low,Col_0
Root_low_Col_0,AT2G40710,-0.6347461670952,Root,low,Col_0
Root_low_Col_0,AT2G40750,0.080211090315121,Root,low,Col_0
Root_low_Col_0,AT2G41070,1.0520105296985,Root,low,Col_0
Root_low_Col_0,AT2G42690,-0.912051598626421,Root,low,Col_0
Root_low_Col_0,AT2G43535,-0.0389033534259801,Root,low,Col_0
Root_low_Col_0,AT2G44260,-0.496762791157256,Root,low,Col_0
Root_low_Col_0,AT2G45130,0.412415505819138,Root,low,Col_0
Root_low_Col_0,AT2G47130,0.782586799746825,Root,low,Col_0
Root_low_Col_0,AT3G01830,0.910006544083099,Root,low,Col_0
Root_low_Col_0,AT3G02040,-0.170670102785898,Root,low,Col_0
Root_low_Col_0,AT3G02870,-0.438325687748947,Root,low,Col_0
Root_low_Col_0,AT3G02980,1.13687597934184,Root,low,Col_0
Root_low_Col_0,AT3G03310,-0.60682444384114,Root,low,Col_0
Root_low_Col_0,AT3G03790,0.50190375834495,Root,low,Col_0
Root_low_Col_0,AT3G04350,-0.313288307935927,Root,low,Col_0
Root_low_Col_0,AT3G04530,1.50463537257216,Root,low,Col_0
Root_low_Col_0,AT3G05630,0.957557115417788,Root,low,Col_0
Root_low_Col_0,AT3G05690,1.26758836842555,Root,low,Col_0
Root_low_Col_0,AT3G07350,-0.616043288454086,Root,low,Col_0
Root_low_Col_0,AT3G08720,0.881162372764345,Root,low,Col_0
Root_low_Col_0,AT3G10420,0.0882618790216325,Root,low,Col_0
Root_low_Col_0,AT3G11230,-0.306314618720938,Root,low,Col_0
Root_low_Col_0,AT3G11670,1.25244094558404,Root,low,Col_0
Root_low_Col_0,AT3G12350,0.333896747617134,Root,low,Col_0
