Plate1_A1,Plate1_A2,Plate1_A3,Plate1_A4,Plate1_A6,Plate1_A7,Plate1_A8,Plate1_A9,Plate1_B1,Plate1_B12,Plate1_B2,Plate1_B3,Plate1_B4,Plate1_B5,Plate1_B6,Plate1_B7,Plate1_B8,Plate1_B9,Plate1_C1,Plate1_C10,Plate1_C11,Plate1_C12,Plate1_C2,Plate1_C3,Plate1_C4,Plate1_C9,Plate1_D1,Plate1_D11,Plate1_D12,Plate1_D2,Plate1_D3,Plate1_D5,Plate1_D6,Plate1_D8,Plate1_E1,Plate1_E10,Plate1_E12,Plate1_E2,Plate1_E3,Plate1_E4,Plate1_E5,Plate1_E6,Plate1_E8,Plate1_F10,Plate1_F11,Plate1_F3,Plate1_F8,Plate1_F9,Plate1_G1,Plate1_G10,Plate1_G11,Plate1_G12,Plate1_G2,Plate1_G3,Plate1_G4,Plate1_G5,Plate1_G9,Plate1_H1,Plate1_H2,Plate1_H3,Plate1_H4,Plate1_H5,Plate1_H7,Plate1_H8,Plate1_H9,Plate2_A1,Plate2_A10,Plate2_A2,Plate2_A3,Plate2_A4,Plate2_A5,Plate2_A6,Plate2_A9,Plate2_B1,Plate2_B10,Plate2_B3,Plate2_B4,Plate2_B5,Plate2_B6,Plate2_B7,Plate2_B9,Plate2_C1,Plate2_C11,Plate2_C12,Plate2_C2,Plate2_C3,Plate2_C4,Plate2_C6,Plate2_C7,Plate2_C8,Plate2_C9,Plate2_D1,Plate2_D10,Plate2_D2,Plate2_D3,Plate2_D4,Plate2_D5,Plate2_D6,Plate2_D8,Plate2_D9,Plate2_E1,Plate2_E10,Plate2_E11,Plate2_E12,Plate2_E3,Plate2_E4,Plate2_E6,Plate2_E7,Plate2_E8,Plate2_F1,Plate2_F10,Plate2_F11,Plate2_F3,Plate2_F4,Plate2_F6,Plate2_F7,Plate2_G1,Plate2_G10,Plate2_G12,Plate2_G2,Plate2_G3,Plate2_G4,Plate2_G6,Plate2_G7,Plate2_G8,Plate2_H1,Plate2_H3,Plate2_H4,Plate2_H5,Plate2_H6,Plate3_A2,Plate3_A3,Plate3_A5,Plate3_A6,Plate3_B1,Plate3_B4,Plate3_C1,Plate3_C2,Plate3_C4,Plate3_D1,Plate3_D2,Plate3_D3,Plate3_E1,Plate3_E2,Plate3_E3,Plate3_E4,Plate3_F1,Plate3_F2,Plate3_F4,Plate3_F6,Plate3_G1,Plate3_G2,Plate3_G3,Plate3_G4,Plate3_G5,Plate3_H2,Plate3_H3,Plate3_H4,Plate3_H5
Plate1_A1,0,0.912,0.984333333333333,0.771333333333333,0.970333333333333,0.927333333333333,0.937333333333333,0.971333333333333,0.762666666666667,0.726666666666667,0.572,0.865333333333333,0.709,0.925,0.854666666666667,0.835666666666667,0.845333333333333,0.74,0.951333333333333,0.742666666666667,0.85,0.659333333333333,0.929333333333333,0.656666666666667,0.881,0.697333333333333,0.948,0.954,0.981,0.878,0.724,0.930666666666667,0.826666666666667,0.926,0.967666666666667,0.966666666666667,0.912333333333333,0.938666666666667,0.791,0.845666666666667,0.945666666666667,0.874333333333333,0.919666666666667,0.927333333333333,0.894,0.665666666666667,0.931666666666667,0.943333333333333,0.882,0.970333333333333,0.629666666666667,0.871,0.973333333333333,0.845666666666667,0.868,0.765666666666667,0.976666666666667,0.839,0.923,0.866666666666667,0.943666666666667,0.937333333333333,0.734333333333333,0.936666666666667,0.961333333333333,0.727,0.795,0.905333333333333,0.966666666666667,0.752333333333333,0.936333333333333,0.922,0.895333333333333,0.907666666666667,0.924333333333333,0.960666666666667,0.972666666666667,0.726333333333333,0.978333333333333,0.606,0.981,0.699,0.930666666666667,0.881666666666667,0.722666666666667,0.965666666666667,0.701,0.903,0.948333333333333,0.975333333333333,0.88,0.895,0.772333333333333,0.722666666666667,0.968333333333333,0.901,0.932333333333333,0.916666666666667,0.796666666666667,0.794666666666667,0.974333333333333,0.947666666666667,0.914333333333333,0.696333333333333,0.965666666666667,0.965333333333333,0.956333333333333,0.731333333333333,0.923,0.831333333333333,0.901,0.767333333333333,0.975333333333333,0.965333333333333,0.873666666666667,0.741333333333333,0.908333333333333,0.900666666666667,0.899666666666667,0.939666666666667,0.910333333333333,0.975,0.973,0.972333333333333,0.956,0.865,0.846333333333333,0.978,0.868666666666667,0.902666666666667,0.779666666666667,0.757333333333333,0.934,0.976666666666667,0.947333333333333,0.998,0.788666666666667,0.948333333333333,0.979666666666667,0.933333333333333,0.940666666666667,0.967666666666667,0.970333333333333,0.946666666666667,0.753333333333333,0.908,0.869,0.920333333333333,0.915,0.946333333333333,0.908333333333333,0.786666666666667,0.910666666666667,0.813333333333333,0.933666666666667,0.862666666666667,0.946333333333333,0.887666666666667,0.889333333333333
Plate1_A2,0.912,0,0.983666666666667,0.929,0.969333333333333,0.952,0.958666666666667,0.984666666666667,0.816,0.874,0.837,0.955,0.909666666666667,0.927666666666667,0.903333333333333,0.949,0.941,0.881,0.908666666666667,0.897,0.883666666666667,0.885,0.923,0.883,0.933,0.890666666666667,0.912333333333333,0.947,0.985,0.945666666666667,0.930666666666667,0.948333333333333,0.783,0.903333333333333,0.958666666666667,0.914333333333333,0.922,0.937333333333333,0.891666666666667,0.887666666666667,0.954,0.856,0.921,0.922333333333333,0.961666666666667,0.842333333333333,0.932666666666667,0.955333333333333,0.963,0.955,0.872666666666667,0.925666666666667,0.983,0.898,0.938,0.870333333333333,0.904666666666667,0.883666666666667,0.918,0.959666666666667,0.959333333333333,0.961666666666667,0.883333333333333,0.901333333333333,0.984333333333333,0.790333333333333,0.882,0.940333333333333,0.979,0.870666666666667,0.973333333333333,0.964666666666667,0.956333333333333,0.977333333333333,0.966,0.909333333333333,0.988666666666667,0.893333333333333,0.975,0.891666666666667,0.987333333333333,0.917,0.971,0.943,0.897,0.917333333333333,0.862333333333333,0.970666666666667,0.946666666666667,0.991666666666667,0.920666666666667,0.945,0.88,0.868,0.910333333333333,0.923333333333333,0.955333333333333,0.924666666666667,0.835666666666667,0.908333333333333,0.966666666666667,0.985,0.97,0.864666666666667,0.91,0.927,0.898666666666667,0.912,0.962666666666667,0.873,0.827,0.899333333333333,0.970666666666667,0.980333333333333,0.960333333333333,0.900666666666667,0.924666666666667,0.948666666666667,0.955,0.947666666666667,0.955,0.977,0.971666666666667,0.984,0.981,0.728333333333333,0.927666666666667,0.987666666666667,0.966666666666667,0.958,0.887333333333333,0.880333333333333,0.940333333333333,0.98,0.961,1,0.677666666666667,0.926333333333333,0.993666666666667,0.924666666666667,0.971,0.957,0.983333333333333,0.935,0.903333333333333,0.908666666666667,0.965,0.905333333333333,0.951,0.995,0.864,0.873666666666667,0.958333333333333,0.929333333333333,0.956,0.962666666666667,0.954,0.932333333333333,0.957
Plate1_A3,0.984333333333333,0.983666666666667,0,0.676666666666667,0.446,0.724333333333333,0.921,0.715666666666667,0.981333333333333,0.970666666666667,0.965333333333333,0.941,0.987666666666667,0.964,0.912666666666667,0.980666666666667,0.898666666666667,0.992666666666667,0.910666666666667,0.912666666666667,0.931666666666667,0.975333333333333,0.923333333333333,0.980333333333333,0.942333333333333,0.878,0.892,0.849333333333333,0.915666666666667,0.929333333333333,0.961666666666667,0.935,0.983,0.88,0.581333333333333,0.935333333333333,0.94,0.851333333333333,0.923666666666667,0.89,0.977333333333333,0.980333333333333,0.929333333333333,0.975666666666667,0.948333333333333,0.977,0.876,0.969666666666667,0.948,0.932666666666667,0.966666666666667,0.926,0.902,0.983666666666667,0.977,0.973333333333333,0.918,0.983333333333333,0.973,0.954666666666667,0.980666666666667,0.558666666666667,0.877666666666667,0.948,0.965,0.988333333333333,0.994333333333333,0.970333333333333,0.927,0.986,0.978666666666667,0.966333333333333,0.973333333333333,0.976333333333333,0.896,0.946666666666667,0.938666666666667,0.986,0.534333333333333,0.979333333333333,0.478666666666667,0.988666666666667,0.944333333333333,0.971,0.99,0.820333333333333,0.988333333333333,0.980666666666667,0.986333333333333,0.951333333333333,0.976333333333333,0.989,0.979,0.99,0.893666666666667,0.967333333333333,0.945,0.966,0.981333333333333,0.922666666666667,0.526,0.946666666666667,0.950333333333333,0.990666666666667,0.911333333333333,0.948666666666667,0.884333333333333,0.991666666666667,0.983666666666667,0.972333333333333,0.957666666666667,0.981333333333333,0.514333333333333,0.893333333333333,0.982666666666667,0.985666666666667,0.97,0.972333333333333,0.916,0.983333333333333,0.937333333333333,0.425333333333333,0.458333333333333,0.966,0.943,0.904666666666667,0.974,0.917,0.962,0.956,0.99,0.993,0.917,0.857333333333333,0.858,0.999666666666667,0.989666666666667,0.968333333333333,0.971333333333333,0.953333333333333,0.837333333333333,0.590333333333333,0.936333333333333,0.988,0.990666666666667,0.952666666666667,0.97,0.971666666666667,0.984333333333333,0.970666666666667,0.974,0.974,0.966666666666667,0.948333333333333,0.854,0.948333333333333,0.974,0.982666666666667,0.969333333333333
Plate1_A4,0.771333333333333,0.929,0.676666666666667,0,0.704333333333333,0.757333333333333,0.902,0.796,0.767,0.707333333333333,0.712,0.878333333333333,0.724333333333333,0.92,0.844,0.789333333333333,0.828,0.659,0.922,0.803,0.746333333333333,0.703333333333333,0.902666666666667,0.740666666666667,0.821333333333333,0.621,0.909,0.861666666666667,0.929333333333333,0.866333333333333,0.789,0.914666666666667,0.856333333333333,0.843666666666667,0.756333333333333,0.933,0.836333333333333,0.860666666666667,0.746,0.797666666666667,0.925,0.828,0.886,0.925666666666667,0.889,0.708666666666667,0.883333333333333,0.916333333333333,0.876333333333333,0.935,0.663333333333333,0.853666666666667,0.916666666666667,0.876,0.904666666666667,0.736333333333333,0.939666666666667,0.820666666666667,0.922,0.884333333333333,0.943,0.693666666666667,0.636,0.910333333333333,0.954666666666667,0.803666666666667,0.771,0.918333333333333,0.923333333333333,0.784666666666667,0.936333333333333,0.904,0.889666666666667,0.929,0.886,0.941,0.949333333333333,0.695,0.760333333333333,0.712666666666667,0.713,0.695,0.925,0.911,0.672666666666667,0.889666666666667,0.762,0.907,0.928,0.94,0.828666666666667,0.887333333333333,0.716666666666667,0.740666666666667,0.917666666666667,0.906,0.939333333333333,0.914333333333333,0.750333333333333,0.835,0.734666666666667,0.948333333333333,0.912333333333333,0.728666666666667,0.923333333333333,0.949,0.908333333333333,0.727,0.949666666666667,0.846666666666667,0.858666666666667,0.698,0.732,0.907,0.901333333333333,0.721666666666667,0.923666666666667,0.881333333333333,0.864,0.924333333333333,0.882666666666667,0.691,0.724,0.954333333333333,0.943666666666667,0.816,0.900666666666667,0.935,0.869,0.879333333333333,0.708666666666667,0.711,0.900333333333333,0.901666666666667,0.882,1,0.744333333333333,0.926333333333333,0.963666666666667,0.929333333333333,0.856333333333333,0.763666666666667,0.932,0.920666666666667,0.709333333333333,0.892666666666667,0.877,0.916,0.919666666666667,0.960333333333333,0.908,0.735,0.912333333333333,0.811333333333333,0.869,0.873,0.909,0.885666666666667,0.867333333333333
Plate1_A6,0.970333333333333,0.969333333333333,0.446,0.704333333333333,0,0.7,0.917,0.762,0.976333333333333,0.968333333333333,0.950666666666667,0.943,0.980666666666667,0.954666666666667,0.9,0.974333333333333,0.886,0.983333333333333,0.877666666666667,0.904666666666667,0.905666666666667,0.965666666666667,0.911666666666667,0.969333333333333,0.930333333333333,0.885666666666667,0.854666666666667,0.826333333333333,0.918666666666667,0.915333333333333,0.953333333333333,0.932333333333333,0.971333333333333,0.856666666666667,0.509666666666667,0.906333333333333,0.923333333333333,0.823,0.903,0.868333333333333,0.970666666666667,0.968333333333333,0.896666666666667,0.963,0.947333333333333,0.963333333333333,0.843666666666667,0.959333333333333,0.946,0.926666666666667,0.952666666666667,0.914,0.898333333333333,0.975,0.966666666666667,0.960666666666667,0.885,0.976666666666667,0.961333333333333,0.952333333333333,0.977666666666667,0.650333333333333,0.876,0.944,0.962666666666667,0.978333333333333,0.990333333333333,0.963666666666667,0.921333333333333,0.977666666666667,0.978,0.956666666666667,0.968333333333333,0.972666666666667,0.899,0.928333333333333,0.949,0.981,0.456,0.969,0.559666666666667,0.983333333333333,0.944,0.961,0.985,0.761666666666667,0.981333333333333,0.973666666666667,0.984666666666667,0.951666666666667,0.967,0.978,0.969333333333333,0.985333333333333,0.855333333333333,0.960333333333333,0.936333333333333,0.947333333333333,0.974333333333333,0.908666666666667,0.457666666666667,0.95,0.942,0.982666666666667,0.875666666666667,0.923666666666667,0.844333333333333,0.988666666666667,0.981333333333333,0.958,0.944666666666667,0.973,0.437,0.891333333333333,0.981666666666667,0.982333333333333,0.961,0.964333333333333,0.912333333333333,0.984333333333333,0.926,0.481,0.420333333333333,0.967333333333333,0.948,0.892,0.963666666666667,0.925,0.959,0.949,0.985,0.987,0.902,0.866666666666667,0.854,1,0.979,0.956666666666667,0.973333333333333,0.946333333333333,0.818666666666667,0.499,0.933333333333333,0.986,0.986,0.943333333333333,0.963,0.954666666666667,0.974333333333333,0.974,0.967,0.964,0.962,0.939666666666667,0.833,0.945,0.966666666666667,0.975,0.967666666666667
Plate1_A7,0.927333333333333,0.952,0.724333333333333,0.757333333333333,0.7,0,0.913333333333333,0.831666666666667,0.910666666666667,0.894666666666667,0.904666666666667,0.932,0.839,0.814666666666667,0.895666666666667,0.862,0.887666666666667,0.918,0.884,0.883666666666667,0.823333333333333,0.875,0.893333333333333,0.904333333333333,0.917,0.853,0.858333333333333,0.817,0.918333333333333,0.897333333333333,0.914,0.914,0.891,0.807666666666667,0.749,0.899333333333333,0.813333333333333,0.781,0.819666666666667,0.847666666666667,0.859333333333333,0.917333333333333,0.826,0.888666666666667,0.906666666666667,0.888666666666667,0.826,0.880666666666667,0.94,0.899,0.892,0.889,0.900333333333333,0.896666666666667,0.888333333333333,0.907333333333333,0.909,0.924,0.820333333333333,0.928333333333333,0.902333333333333,0.771333333333333,0.826666666666667,0.850333333333333,0.947333333333333,0.917,0.923,0.834333333333333,0.902,0.919333333333333,0.930666666666667,0.896333333333333,0.848,0.964333333333333,0.904666666666667,0.822666666666667,0.937333333333333,0.922666666666667,0.741,0.905333333333333,0.768333333333333,0.893333333333333,0.937,0.883,0.918333333333333,0.854666666666667,0.901,0.914333333333333,0.904666666666667,0.933,0.818,0.907,0.883666666666667,0.906666666666667,0.875333333333333,0.863,0.849,0.884666666666667,0.904333333333333,0.818666666666667,0.720333333333333,0.931333333333333,0.881333333333333,0.915666666666667,0.897333333333333,0.923666666666667,0.878666666666667,0.918,0.815,0.806,0.902666666666667,0.941,0.719333333333333,0.900333333333333,0.885666666666667,0.919333333333333,0.842333333333333,0.800333333333333,0.919666666666667,0.910333333333333,0.929333333333333,0.731,0.727333333333333,0.944,0.939333333333333,0.871,0.862,0.926333333333333,0.940333333333333,0.932333333333333,0.919666666666667,0.915,0.906333333333333,0.888333333333333,0.871,0.992666666666667,0.936333333333333,0.864333333333333,0.953666666666667,0.825,0.856,0.745,0.915666666666667,0.954666666666667,0.92,0.826666666666667,0.954,0.897,0.894333333333333,0.958666666666667,0.847666666666667,0.880333333333333,0.897666666666667,0.912666666666667,0.815333333333333,0.923666666666667,0.906666666666667,0.897333333333333,0.827333333333333
Plate1_A8,0.937333333333333,0.958666666666667,0.921,0.902,0.917,0.913333333333333,0,0.884666666666667,0.946333333333333,0.952666666666667,0.911333333333333,0.638,0.96,0.963,0.747,0.964333333333333,0.802,0.968,0.974666666666667,0.788333333333333,0.935,0.961666666666667,0.731666666666667,0.96,0.799333333333333,0.941,0.969,0.937,0.886,0.671333333333333,0.801666666666667,0.649333333333333,0.971333333333333,0.943666666666667,0.931666666666667,0.982666666666667,0.971,0.943666666666667,0.923333333333333,0.930333333333333,0.965666666666667,0.944333333333333,0.980666666666667,0.946333333333333,0.852,0.954333333333333,0.93,0.957,0.664,0.842666666666667,0.914,0.771333333333333,0.908,0.965333333333333,0.947333333333333,0.910333333333333,0.979,0.963333333333333,0.965,0.758,0.969,0.918,0.932666666666667,0.952,0.834,0.961666666666667,0.968,0.954,0.878,0.957,0.951,0.965,0.978666666666667,0.623333333333333,0.861666666666667,0.975666666666667,0.882666666666667,0.962666666666667,0.935333333333333,0.926333333333333,0.922,0.974666666666667,0.632666666666667,0.942333333333333,0.96,0.968666666666667,0.97,0.936666666666667,0.966,0.834333333333333,0.971666666666667,0.971666666666667,0.943333333333333,0.971666666666667,0.973,0.963333333333333,0.953666666666667,0.887666666666667,0.899,0.922,0.928333333333333,0.919333333333333,0.899666666666667,0.953333333333333,0.972,0.982666666666667,0.969333333333333,0.977333333333333,0.980333333333333,0.965,0.938,0.927,0.926666666666667,0.788666666666667,0.974666666666667,0.919,0.963,0.972333333333333,0.692666666666667,0.977333333333333,0.702666666666667,0.918666666666667,0.921666666666667,0.813666666666667,0.762,0.948333333333333,0.959,0.852333333333333,0.691333333333333,0.709666666666667,0.973333333333333,0.975,0.854666666666667,0.910666666666667,0.832333333333333,0.999666666666667,0.964,0.969666666666667,0.909,0.971,0.881666666666667,0.930666666666667,0.815666666666667,0.983,0.968,0.968,0.646333333333333,0.960666666666667,0.970666666666667,0.810333333333333,0.969333333333333,0.962666666666667,0.939,0.808,0.896666666666667,0.647,0.957333333333333,0.969333333333333,0.972333333333333
Plate1_A9,0.971333333333333,0.984666666666667,0.715666666666667,0.796,0.762,0.831666666666667,0.884666666666667,0,0.976,0.964333333333333,0.959333333333333,0.897333333333333,0.982333333333333,0.963333333333333,0.897666666666667,0.978666666666667,0.904333333333333,0.982,0.958333333333333,0.914333333333333,0.934333333333333,0.974,0.910666666666667,0.975333333333333,0.914,0.877333333333333,0.947333333333333,0.904333333333333,0.885333333333333,0.909,0.941666666666667,0.908,0.982333333333333,0.913,0.809666666666667,0.968666666666667,0.963,0.908666666666667,0.933666666666667,0.921,0.968333333333333,0.973333333333333,0.964333333333333,0.960666666666667,0.922,0.970666666666667,0.914333333333333,0.967,0.913333333333333,0.92,0.95,0.923333333333333,0.905333333333333,0.974,0.964,0.955333333333333,0.966666666666667,0.979666666666667,0.965333333333333,0.927,0.971666666666667,0.688333333333333,0.89,0.943666666666667,0.936666666666667,0.984,0.983666666666667,0.967333333333333,0.912,0.980333333333333,0.972333333333333,0.962666666666667,0.977,0.929,0.904,0.961333333333333,0.901333333333333,0.980666666666667,0.816,0.968666666666667,0.666333333333333,0.984,0.896666666666667,0.965,0.978,0.925,0.985,0.966333333333333,0.974666666666667,0.915333333333333,0.973666666666667,0.978666666666667,0.978333333333333,0.988666666666667,0.947,0.972333333333333,0.960666666666667,0.962333333333333,0.966,0.944333333333333,0.786,0.949,0.930333333333333,0.981666666666667,0.956,0.969666666666667,0.948666666666667,0.989,0.985,0.97,0.960666666666667,0.969333333333333,0.809,0.867666666666667,0.977,0.961666666666667,0.965333333333333,0.977666666666667,0.907,0.981333333333333,0.906333333333333,0.708666666666667,0.777666666666667,0.943,0.902,0.937333333333333,0.97,0.887,0.913666666666667,0.923666666666667,0.984666666666667,0.989,0.892666666666667,0.881,0.873666666666667,1,0.986666666666667,0.969333333333333,0.912666666666667,0.967,0.864,0.813666666666667,0.900666666666667,0.991,0.981333333333333,0.969333333333333,0.923666666666667,0.968333333333333,0.975333333333333,0.919,0.978,0.968333333333333,0.964666666666667,0.928333333333333,0.892333333333333,0.915666666666667,0.958333333333333,0.972,0.975666666666667
Plate1_B1,0.762666666666667,0.816,0.981333333333333,0.767,0.976333333333333,0.910666666666667,0.946333333333333,0.976,0,0.579666666666667,0.685666666666667,0.912,0.656666666666667,0.912333333333333,0.893,0.857333333333333,0.882,0.594666666666667,0.928,0.833,0.82,0.670333333333333,0.931333333333333,0.616333333333333,0.885333333333333,0.618666666666667,0.936333333333333,0.954,0.983333333333333,0.91,0.822,0.936,0.669,0.894333333333333,0.967666666666667,0.933,0.896333333333333,0.937333333333333,0.749,0.822666666666667,0.940666666666667,0.796666666666667,0.893,0.913333333333333,0.920333333333333,0.578,0.942333333333333,0.944,0.913333333333333,0.966,0.691,0.888,0.98,0.799333333333333,0.900333333333333,0.780333333333333,0.943333333333333,0.713333333333333,0.899,0.911666666666667,0.931,0.932333333333333,0.719,0.887333333333333,0.975666666666667,0.615,0.628666666666667,0.909666666666667,0.974333333333333,0.713666666666667,0.937333333333333,0.929333333333333,0.881333333333333,0.939666666666667,0.941333333333333,0.941,0.989666666666667,0.625666666666667,0.979666666666667,0.653,0.981666666666667,0.645333333333333,0.953333333333333,0.914,0.620333333333333,0.947,0.615333333333333,0.927333333333333,0.920666666666667,0.983333333333333,0.848333333333333,0.892333333333333,0.728333333333333,0.604666666666667,0.944666666666667,0.894333333333333,0.951333333333333,0.901666666666667,0.714333333333333,0.849,0.971,0.983,0.942,0.666333333333333,0.941666666666667,0.944666666666667,0.929,0.64,0.943,0.758333333333333,0.857333333333333,0.749,0.973,0.979,0.882333333333333,0.756,0.904,0.892333333333333,0.934333333333333,0.912333333333333,0.935,0.981,0.975666666666667,0.970666666666667,0.972333333333333,0.702,0.893333333333333,0.985333333333333,0.905,0.908333333333333,0.652,0.645,0.936,0.983333333333333,0.960666666666667,0.997,0.721666666666667,0.929,0.990666666666667,0.928333333333333,0.959666666666667,0.969333333333333,0.979666666666667,0.895666666666667,0.624,0.874666666666667,0.905,0.901,0.897,0.977666666666667,0.855,0.747666666666667,0.931333333333333,0.86,0.953,0.908333333333333,0.930333333333333,0.881666666666667,0.894666666666667
Plate1_B12,0.726666666666667,0.874,0.970666666666667,0.707333333333333,0.968333333333333,0.894666666666667,0.952666666666667,0.964333333333333,0.579666666666667,0,0.677333333333333,0.910333333333333,0.561333333333333,0.875666666666667,0.903333333333333,0.836,0.877,0.512666666666667,0.875333333333333,0.835666666666667,0.742666666666667,0.618666666666667,0.885666666666667,0.512,0.871,0.525333333333333,0.882666666666667,0.905333333333333,0.968333333333333,0.885666666666667,0.8,0.903333333333333,0.689333333333333,0.841333333333333,0.957333333333333,0.885333333333333,0.825666666666667,0.912666666666667,0.7,0.800666666666667,0.914,0.745666666666667,0.84,0.857,0.917,0.500333333333333,0.905333333333333,0.889666666666667,0.91,0.908666666666667,0.647333333333333,0.848333333333333,0.970333333333333,0.790666666666667,0.871,0.688,0.900666666666667,0.623666666666667,0.874,0.902333333333333,0.918333333333333,0.922,0.640666666666667,0.873333333333333,0.958,0.667,0.517666666666667,0.894,0.954666666666667,0.645333333333333,0.921333333333333,0.889333333333333,0.885,0.941666666666667,0.926,0.913,0.977,0.523,0.970333333333333,0.613333333333333,0.970333333333333,0.572,0.948333333333333,0.911,0.491666666666667,0.911333333333333,0.559333333333333,0.912333333333333,0.880666666666667,0.973,0.802,0.858333333333333,0.639,0.517,0.896333333333333,0.869666666666667,0.939333333333333,0.883,0.657333333333333,0.824333333333333,0.967,0.973333333333333,0.937,0.58,0.886,0.895,0.884666666666667,0.529333333333333,0.928333333333333,0.689333333333333,0.822,0.655666666666667,0.963333333333333,0.97,0.849666666666667,0.654333333333333,0.853333333333333,0.866,0.938333333333333,0.869333333333333,0.923,0.965333333333333,0.962333333333333,0.957666666666667,0.972,0.722,0.863333333333333,0.976666666666667,0.910666666666667,0.903,0.521666666666667,0.570333333333333,0.945,0.977666666666667,0.928666666666667,0.999333333333333,0.691,0.885666666666667,0.969666666666667,0.897333333333333,0.945333333333333,0.952666666666667,0.967666666666667,0.841666666666667,0.493333333333333,0.837333333333333,0.891666666666667,0.859666666666667,0.876,0.961,0.796666666666667,0.676333333333333,0.893666666666667,0.848333333333333,0.949666666666667,0.905666666666667,0.916333333333333,0.855666666666667,0.867333333333333
