DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth
Plate3D1,Plate3,D1,D,1,L1,low-1,Col-0,Plot1,Shoot,low,Pot1,329539,12.7054499870738
Plate3C2,Plate3,C2,C,2,L2,low-2,Col-0,Plot4,Shoot,low,Pot2,141604,11.8607897084303
Plate2D4,Plate2,D4,D,4,L3,low-3,Col-0,Plot7,Shoot,low,Pot3,139625,11.8467155363715
Plate2D5,Plate2,D5,D,5,L4,low-4,Col-0,Plot10,Shoot,low,Pot4,243698,12.403685032768
Plate1G2,Plate1,G2,G,2,L5,low-5,Col-0,Plot13,Shoot,low,Pot5,27396,10.2181522963178
Plate2F4,Plate2,F4,F,4,L6,low-6,Col-0,Plot16,Shoot,low,Pot6,95228,11.4640292951824
Plate2D1,Plate2,D1,D,1,L7,low-1,phr1/phl1,Plot1,Shoot,low,Pot7,148789,11.9102844739174
Plate2G2,Plate2,G2,G,2,L8,low-2,phr1/phl1,Plot4,Shoot,low,Pot8,87164,11.3755466806168
Plate2E8,Plate2,E8,E,8,L9,low-3,phr1/phl1,Plot7,Shoot,low,Pot9,57670,10.9624923866095
Plate2C6,Plate2,C6,C,6,L10,low-4,phr1/phl1,Plot10,Shoot,low,Pot10,224704,12.3225392595281
Plate2E10,Plate2,E10,E,10,L11,low-5,phr1/phl1,Plot13,Shoot,low,Pot11,112265,11.6286174269663
Plate1F11,Plate1,F11,F,11,L12,low-6,phr1/phl1,Plot16,Shoot,low,Pot12,50121,10.8221953609259
Plate2H3,Plate2,H3,H,3,L13,low-1,phf1,Plot1,Shoot,low,Pot13,90698,11.4152905851435
Plate1B5,Plate1,B5,B,5,L14,low-2,phf1,Plot4,Shoot,low,Pot14,27372,10.2172758720724
Plate2D9,Plate2,D9,D,9,L16,low-4,phf1,Plot10,Shoot,low,Pot16,90665,11.4149266740881
Plate3D2,Plate3,D2,D,2,L17,low-5,phf1,Plot13,Shoot,low,Pot17,82890,11.3252697065856
Plate3A6,Plate3,A6,A,6,L18,low-6,phf1,Plot16,Shoot,low,Pot18,184566,12.1257624020721
Plate2B3,Plate2,B3,B,3,L20,medium-2,Col-0,Plot5,Shoot,medium,Pot20,93457,11.4452567164454
Plate1H2,Plate1,H2,H,2,L21,medium-3,Col-0,Plot8,Shoot,medium,Pot21,35475,10.4765835020282
Plate2H4,Plate2,H4,H,4,L23,medium-5,Col-0,Plot14,Shoot,medium,Pot23,57581,10.9609479311567
Plate3B1,Plate3,B1,B,1,L24,medium-6,Col-0,Plot17,Shoot,medium,Pot24,124482,11.7319164061212
Plate2G10,Plate2,G10,G,10,L25,medium-1,phr1/phl1,Plot2,Shoot,medium,Pot25,70546,11.1640202582959
