Taxon,Fraction,Genotype,Phosphate,Abundance,Sample
Ascomycota_unclassified,Soil,Col-0,low,49.6,Soil_Col-0_low
Branch06,Soil,Col-0,low,0,Soil_Col-0_low
Capnodiales,Soil,Col-0,low,122,Soil_Col-0_low
Chaetothyriales,Soil,Col-0,low,34.4,Soil_Col-0_low
Glomerellales,Soil,Col-0,low,393.8,Soil_Col-0_low
Helotiales,Soil,Col-0,low,76.4,Soil_Col-0_low
Hypocreales,Soil,Col-0,low,330.8,Soil_Col-0_low
Pezizales,Soil,Col-0,low,27.4,Soil_Col-0_low
Pleosporales,Soil,Col-0,low,113.6,Soil_Col-0_low
Sordariales,Soil,Col-0,low,187.6,Soil_Col-0_low
Thelebolales,Soil,Col-0,low,27.6,Soil_Col-0_low
Xylariales,Soil,Col-0,low,29.4,Soil_Col-0_low
Agaricales,Soil,Col-0,low,36.6,Soil_Col-0_low
Cantharellales,Soil,Col-0,low,5,Soil_Col-0_low
Cystofilobasidiales,Soil,Col-0,low,110.4,Soil_Col-0_low
Filobasidiales,Soil,Col-0,low,230.6,Soil_Col-0_low
Platygloeales,Soil,Col-0,low,12.2,Soil_Col-0_low
Mortierellales,Soil,Col-0,low,1041.4,Soil_Col-0_low
Fungi_unclassified,Soil,Col-0,low,37.6,Soil_Col-0_low
Other,Soil,Col-0,low,133.6,Soil_Col-0_low
Ascomycota_unclassified,Root,Col-0,low,40.1666666666667,Root_Col-0_low
Branch06,Root,Col-0,low,17.3333333333333,Root_Col-0_low
Capnodiales,Root,Col-0,low,1,Root_Col-0_low
Chaetothyriales,Root,Col-0,low,13,Root_Col-0_low
Glomerellales,Root,Col-0,low,55.8333333333333,Root_Col-0_low
Helotiales,Root,Col-0,low,395.166666666667,Root_Col-0_low
Hypocreales,Root,Col-0,low,911.666666666667,Root_Col-0_low
Pezizales,Root,Col-0,low,437.833333333333,Root_Col-0_low
Pleosporales,Root,Col-0,low,528.5,Root_Col-0_low
Sordariales,Root,Col-0,low,11.1666666666667,Root_Col-0_low
Thelebolales,Root,Col-0,low,3.66666666666667,Root_Col-0_low
Xylariales,Root,Col-0,low,36.1666666666667,Root_Col-0_low
Agaricales,Root,Col-0,low,8.33333333333333,Root_Col-0_low
Cantharellales,Root,Col-0,low,1.5,Root_Col-0_low
Cystofilobasidiales,Root,Col-0,low,17.3333333333333,Root_Col-0_low
