Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth
Plate1,A1,a,1,R16,low-4,phf1,Plot10,Root,P4Plate1,Plate1_A1,low,Pot16,76013,11.2386596572722
Plate1,A2,a,2,R7,low-1,phr1/phl1,Plot1,Root,P16Plate1,Plate1_A2,low,Pot7,78348,11.2689157209746
Plate1,A4,a,4,R22,medium-4,Col-0,Plot11,Root,P60Plate1,Plate1_A4,medium,Pot22,59734,10.9976566515069
Plate1,A8,a,8,R41,high-5,Col-0,Plot15,Root,P89Plate1,Plate1_A8,high,Pot41,59685,10.9968360115291
Plate1,A9,a,9,R30,medium-6,phr1/phl1,Plot17,Root,P65Plate1,Plate1_A9,medium,Pot30,66745,11.1086346670898
Plate1,B1,b,1,R37,high-1,Col-0,Plot3,Root,P75Plate1,Plate1_B1,high,Pot37,120856,11.7023550332236
Plate1,B12,b,12,R49,high-1,phf1,Plot3,Root,P51Plate1,Plate1_B12,high,Pot49,58191,10.9714859825864
Plate1,B2,b,2,R4,low-4,Col-0,Plot10,Root,P31Plate1,Plate1_B2,low,Pot4,73242,11.2015243058979
Plate1,B3,b,3,R53,high-5,phf1,Plot15,Root,P8Plate1,Plate1_B3,high,Pot53,48315,10.7854973504334
Plate1,B4,b,4,R38,high-2,Col-0,Plot6,Root,P17Plate1,Plate1_B4,high,Pot38,53661,10.8904417596614
Plate1,B6,b,6,R24,medium-6,Col-0,Plot17,Root,P5Plate1,Plate1_B6,medium,Pot24,49108,10.8017772333007
Plate1,B8,b,8,R11,low-5,phr1/phl1,Plot13,Root,P36Plate1,Plate1_B8,low,Pot11,25865,10.1606459824376
Plate1,B9,b,9,R14,low-2,phf1,Plot4,Root,P7Plate1,Plate1_B9,low,Pot14,68841,11.1395547766581
Plate1,C10,c,10,R42,high-6,Col-0,Plot18,Root,P74Plate1,Plate1_C10,high,Pot42,72425,11.1903068226376
Plate1,C11,c,11,R44,high-2,phr1/phl1,Plot6,Root,P43Plate1,Plate1_C11,high,Pot44,48252,10.7841925566853
Plate1,C12,c,12,R19,medium-1,Col-0,Plot2,Root,P14Plate1,Plate1_C12,medium,Pot19,61669,11.0295366525144
Plate1,C2,c,2,R29,medium-5,phr1/phl1,Plot14,Root,P23Plate1,Plate1_C2,medium,Pot29,59857,10.9997136632113
Plate1,C3,c,3,R1,low-1,Col-0,Plot1,Root,P32Plate1,Plate1_C3,low,Pot1,62549,11.043705528557
Plate1,C4,c,4,R36,medium-6,phf1,Plot17,Root,P30Plate1,Plate1_C4,medium,Pot36,67136,11.114475691756
Plate1,C9,c,9,R2,low-2,Col-0,Plot4,Root,P39Plate1,Plate1_C9,low,Pot2,63808,11.0636338533215
Plate1,D11,d,11,R26,medium-2,phr1/phl1,Plot5,Root,P82Plate1,Plate1_D11,medium,Pot26,48231,10.7837572468311
Plate1,D2,d,2,R6,low-6,Col-0,Plot16,Root,P25Plate1,Plate1_D2,low,Pot6,62026,11.0353089309613
