Plate1C3,Plate1C9,Plate3E3,Plate1B2,Plate2G3,Plate1D2,Plate1A2,Plate2F11,Plate1H1,Plate1G3,Plate1G5,Plate1B8,Plate2A4,Plate1B9,Plate3A2,Plate1A1,Plate1G12,Plate1G1,Plate1C12,Plate1H7,Plate3A3,Plate1A4,Plate2B1,Plate1B6,Plate1E10,Plate1E4,Plate1D11,Plate2D2,Plate1E3,Plate1C2,Plate1A9,Plate2A1,Plate2H1,Plate1D6,Plate1G11,Plate2C11,Plate1C4,Plate1B1,Plate1B4,Plate2B7,Plate2C1,Plate1A8,Plate1C10,Plate3E2,Plate1C11,Plate2D10,Plate2D8,Plate1D5,Plate1B12,Plate2C4,Plate2C2,Plate1B3,Plate1D3,Plate2E12,Plate1F3,Plate2E7,Plate2F7,Plate1E6,Plate2F10,Plate2H6,Plate2G12,Plate3C1,Plate2B5,Plate2A10,Plate1H3,Plate2H5
Plate1C3,0,0.644333333333333,0.899333333333333,0.64,0.824333333333333,0.864666666666667,0.575,0.832,0.927333333333333,0.695333333333333,0.840666666666667,0.860666666666667,0.82,0.781333333333333,0.571333333333333,0.856333333333333,0.857666666666667,0.913333333333333,0.751,0.640333333333333,0.637,0.753,0.887666666666667,0.846666666666667,0.792666666666667,0.947666666666667,0.943666666666667,0.697666666666667,0.788,0.734,0.927333333333333,0.959,0.906666666666667,0.935666666666667,0.709333333333333,0.920333333333333,0.828666666666667,0.805,0.647333333333333,0.773333333333333,0.758,0.960333333333333,0.817333333333333,0.913333333333333,0.82,0.873333333333333,0.959333333333333,0.853333333333333,0.703333333333333,0.597,0.631,0.910666666666667,0.932333333333333,0.703333333333333,0.787333333333333,0.758,0.824666666666667,0.881666666666667,0.873,0.894666666666667,0.812666666666667,0.818333333333333,0.808,0.792,0.823666666666667,0.849333333333333
Plate1C9,0.644333333333333,0,0.718333333333333,0.893,0.587,0.740333333333333,0.783,0.758333333333333,0.6,0.871333333333333,0.786,0.809666666666667,0.732333333333333,0.538333333333333,0.828666666666667,0.880333333333333,0.534333333333333,0.727666666666667,0.750333333333333,0.705333333333333,0.84,0.715333333333333,0.686333333333333,0.632,0.783333333333333,0.880666666666667,0.875,0.851333333333333,0.746666666666667,0.774333333333333,0.825,0.964,0.940333333333333,0.944666666666667,0.685,0.761,0.692333333333333,0.821,0.661666666666667,0.702333333333333,0.449333333333333,0.860333333333333,0.660666666666667,0.84,0.791666666666667,0.737666666666667,0.695333333333333,0.784,0.668,0.668333333333333,0.647,0.866,0.914666666666667,0.711666666666667,0.499333333333333,0.766666666666667,0.762333333333333,0.785,0.818,0.801666666666667,0.647,0.767,0.653,0.81,0.692666666666667,0.775666666666667
Plate3E3,0.899333333333333,0.718333333333333,0,0.912,0.570666666666667,0.785333333333333,0.974666666666667,0.715333333333333,0.890333333333333,0.858333333333333,0.82,0.738333333333333,0.788333333333333,0.844333333333333,0.887,0.893333333333333,0.487,0.537333333333333,0.823666666666667,0.759333333333333,0.866666666666667,0.72,0.694333333333333,0.522,0.840333333333333,0.875,0.863333333333333,0.869666666666667,0.768333333333333,0.786,0.782666666666667,0.974666666666667,0.956333333333333,0.952333333333333,0.624,0.849,0.405,0.907,0.709666666666667,0.692333333333333,0.730333333333333,0.821,0.603,0.837333333333333,0.833666666666667,0.780666666666667,0.952666666666667,0.747,0.553333333333333,0.768,0.435333333333333,0.758666666666667,0.883666666666667,0.743666666666667,0.87,0.877,0.805333333333333,0.868666666666667,0.816666666666667,0.815333333333333,0.683666666666667,0.824,0.844666666666667,0.899,0.46,0.487666666666667
Plate1B2,0.64,0.893,0.912,0,0.901,0.922666666666667,0.972,0.650666666666667,0.958333333333333,0.588333333333333,0.909333333333333,0.922,0.934666666666667,0.921,0.534,0.57,0.900666666666667,0.936333333333333,0.907333333333333,0.753333333333333,0.573,0.802,0.929666666666667,0.918333333333333,0.860666666666667,0.949666666666667,0.959333333333333,0.814333333333333,0.888333333333333,0.796666666666667,0.927,0.952666666666667,0.954333333333333,0.950666666666667,0.818333333333333,0.956,0.909,0.912,0.743,0.891666666666667,0.747333333333333,0.96,0.902333333333333,0.897666666666667,0.918,0.894333333333333,0.970666666666667,0.921,0.893666666666667,0.697,0.761333333333333,0.908333333333333,0.960666666666667,0.770333333333333,0.880666666666667,0.881666666666667,0.883,0.951333333333333,0.898666666666667,0.91,0.818333333333333,0.842,0.915,0.915,0.865333333333333,0.895333333333333
Plate2G3,0.824333333333333,0.587,0.570666666666667,0.901,0,0.617,0.966666666666667,0.626333333333333,0.803,0.815666666666667,0.768333333333333,0.698666666666667,0.654666666666667,0.685666666666667,0.855666666666667,0.877333333333333,0.526666666666667,0.574,0.711,0.661,0.863,0.584666666666667,0.567666666666667,0.506,0.655,0.849666666666667,0.836666666666667,0.763333333333333,0.659,0.573,0.733333333333333,0.960666666666667,0.953333333333333,0.939,0.624333333333333,0.777,0.447333333333333,0.863666666666667,0.606666666666667,0.614666666666667,0.632666666666667,0.811,0.450333333333333,0.721666666666667,0.670333333333333,0.657,0.875666666666667,0.450666666666667,0.617,0.722333333333333,0.534,0.675333333333333,0.880666666666667,0.606666666666667,0.742,0.767666666666667,0.670333333333333,0.669,0.688,0.688333333333333,0.506333333333333,0.66,0.669,0.78,0.483666666666667,0.615
Plate1D2,0.864666666666667,0.740333333333333,0.785333333333333,0.922666666666667,0.617,0,0.978333333333333,0.770666666666667,0.856,0.907666666666667,0.826333333333333,0.706666666666667,0.819,0.788,0.888,0.905666666666667,0.724666666666667,0.777666666666667,0.826666666666667,0.796333333333333,0.912,0.759333333333333,0.618333333333333,0.654666666666667,0.833,0.871666666666667,0.872666666666667,0.869666666666667,0.812,0.746666666666667,0.847666666666667,0.965333333333333,0.975666666666667,0.938,0.774666666666667,0.734,0.692,0.889333333333333,0.790666666666667,0.744666666666667,0.726666666666667,0.861,0.705333333333333,0.888666666666667,0.832666666666667,0.848666666666667,0.905666666666667,0.664333333333333,0.806666666666667,0.834333333333333,0.803,0.574666666666667,0.889,0.794666666666667,0.781,0.844666666666667,0.844,0.809666666666667,0.855333333333333,0.855666666666667,0.742,0.824666666666667,0.793666666666667,0.876333333333333,0.742333333333333,0.798666666666667
Plate1A2,0.575,0.783,0.974666666666667,0.972,0.966666666666667,0.978333333333333,0,0.963,0.964666666666667,0.984666666666667,0.971666666666667,0.967666666666667,0.966,0.978,0.970333333333333,0.936,0.972,0.980666666666667,0.966333333333333,0.968,0.967666666666667,0.954333333333333,0.972666666666667,0.936,0.966666666666667,0.969333333333333,0.986333333333333,0.969,0.970333333333333,0.981666666666667,0.980666666666667,0.979,0.941333333333333,0.951,0.955333333333333,0.990333333333333,0.968,0.960666666666667,0.961,0.970333333333333,0.965333333333333,0.956666666666667,0.961,0.981,0.965,0.967333333333333,0.990666666666667,0.97,0.966666666666667,0.951,0.967666666666667,0.978,0.981333333333333,0.966,0.971333333333333,0.951666666666667,0.968333333333333,0.989333333333333,0.984,0.976333333333333,0.978,0.971,0.967666666666667,0.969333333333333,0.986333333333333,0.976
Plate2F11,0.832,0.758333333333333,0.715333333333333,0.650666666666667,0.626333333333333,0.770666666666667,0.963,0,0.923,0.934666666666667,0.748,0.863,0.712666666666667,0.867,0.883666666666667,0.578,0.714666666666667,0.693,0.815666666666667,0.792,0.867333333333333,0.703333333333333,0.593666666666667,0.693666666666667,0.890333333333333,0.925,0.924666666666667,0.886,0.777333333333333,0.829,0.88,0.968333333333333,0.931333333333333,0.932,0.593666666666667,0.812666666666667,0.563666666666667,0.893333333333333,0.745,0.745666666666667,0.636666666666667,0.82,0.678,0.907666666666667,0.882333333333333,0.856666666666667,0.951333333333333,0.740333333333333,0.729,0.752666666666667,0.722333333333333,0.696333333333333,0.88,0.815666666666667,0.858666666666667,0.859666666666667,0.827,0.929,0.880666666666667,0.893,0.764,0.88,0.877,0.869666666666667,0.634,0.585666666666667
Plate1H1,0.927333333333333,0.6,0.890333333333333,0.958333333333333,0.803,0.856,0.964666666666667,0.923,0,0.886333333333333,0.884,0.884666666666667,0.871,0.465666666666667,0.932333333333333,0.961333333333333,0.687666666666667,0.885,0.938,0.871333333333333,0.909333333333333,0.861333333333333,0.862666666666667,0.833666666666667,0.866666666666667,0.893666666666667,0.890666666666667,0.944666666666667,0.869,0.854,0.892333333333333,0.974666666666667,0.977666666666667,0.965333333333333,0.88,0.787,0.868333333333333,0.942,0.864333333333333,0.951,0.474,0.978666666666667,0.902,0.865333333333333,0.889333333333333,0.864,0.257666666666667,0.864666666666667,0.889,0.931666666666667,0.875333333333333,0.902,0.972666666666667,0.856,0.471666666666667,0.949,0.851666666666667,0.872,0.870333333333333,0.858333333333333,0.787333333333333,0.867333333333333,0.765333333333333,0.951333333333333,0.88,0.913
Plate1G3,0.695333333333333,0.871333333333333,0.858333333333333,0.588333333333333,0.815666666666667,0.907666666666667,0.984666666666667,0.934666666666667,0.886333333333333,0,0.852,0.805,0.822666666666667,0.947333333333333,0.381333333333333,0.948666666666667,0.822,0.855666666666667,0.929,0.705,0.576,0.810333333333333,0.919,0.932,0.766666666666667,0.872333333333333,0.857666666666667,0.83,0.769666666666667,0.694333333333333,0.827666666666667,0.978,0.983666666666667,0.960333333333333,0.855333333333333,0.935,0.831333333333333,0.952666666666667,0.708,0.942333333333333,0.821,0.977,0.868333333333333,0.780666666666667,0.85,0.795666666666667,0.978,0.811666666666667,0.865,0.752333333333333,0.713666666666667,0.855666666666667,0.98,0.654,0.905,0.934666666666667,0.766,0.861666666666667,0.781666666666667,0.780333333333333,0.707666666666667,0.760333333333333,0.913666666666667,0.945333333333333,0.774666666666667,0.864666666666667
