DADA2_Header,Plate,Well,Row,Column,Sample,Soil,Genotype,Plot,Fraction,Phosphate,Pot,Depth,LDepth
Plate1C3,Plate1,C3,C,3,R1,low-1,Col-0,Plot1,Root,low,Pot1,27754,10.231135252931
Plate1C9,Plate1,C9,C,9,R2,low-2,Col-0,Plot4,Root,low,Pot2,41758,10.6396463286893
Plate3E3,Plate3,E3,E,3,R3,low-3,Col-0,Plot7,Root,low,Pot3,78917,11.2761519462361
Plate1B2,Plate1,B2,B,2,R4,low-4,Col-0,Plot10,Root,low,Pot4,58782,10.9815909645727
Plate2G3,Plate2,G3,G,3,R5,low-5,Col-0,Plot13,Root,low,Pot5,36617,10.5082678924259
Plate1D2,Plate1,D2,D,2,R6,low-6,Col-0,Plot16,Root,low,Pot6,38591,10.560774367645
Plate1A2,Plate1,A2,A,2,R7,low-1,phr1/phl1,Plot1,Root,low,Pot7,11540,9.35357454006209
Plate2F11,Plate2,F11,F,11,R7,low-1,phr1/phl1,Plot1,Root,low,Pot7,65034,11.0826654890438
Plate1H1,Plate1,H1,H,1,R8,low-2,phr1/phl1,Plot4,Root,low,Pot8,21500,9.97580821411575
Plate1G3,Plate1,G3,G,3,R9,low-3,phr1/phl1,Plot7,Root,low,Pot9,20871,9.94611591459175
Plate1G5,Plate1,G5,G,5,R10,low-4,phr1/phl1,Plot10,Root,low,Pot10,22228,10.0091080343998
Plate1B8,Plate1,B8,B,8,R11,low-5,phr1/phl1,Plot13,Root,low,Pot11,5524,8.61685751452918
Plate2A4,Plate2,A4,A,4,R13,low-1,phf1,Plot1,Root,low,Pot13,27535,10.2232132016966
Plate1B9,Plate1,B9,B,9,R14,low-2,phf1,Plot4,Root,low,Pot14,10907,9.29716006392874
Plate3A2,Plate3,A2,A,2,R15,low-3,phf1,Plot7,Root,low,Pot15,133622,11.8027701971866
Plate1A1,Plate1,A1,A,1,R16,low-4,phf1,Plot10,Root,low,Pot16,11562,9.35547913764242
Plate1G12,Plate1,G12,G,12,R17,low-5,phf1,Plot13,Root,low,Pot17,26262,10.1758783064189
Plate1G1,Plate1,G1,G,1,R18,low-6,phf1,Plot16,Root,low,Pot18,17138,9.74905349922906
Plate1C12,Plate1,C12,C,12,R19,medium-1,Col-0,Plot2,Root,medium,Pot19,19888,9.89787181375049
Plate1H7,Plate1,H7,H,7,R20,medium-2,Col-0,Plot5,Root,medium,Pot20,40353,10.6054210203767
Plate3A3,Plate3,A3,A,3,R21,medium-3,Col-0,Plot8,Root,medium,Pot21,105444,11.5659352852838
Plate1A4,Plate1,A4,A,4,R22,medium-4,Col-0,Plot11,Root,medium,Pot22,5202,8.5567984460086
Plate2B1,Plate2,B1,B,1,R23,medium-5,Col-0,Plot14,Root,medium,Pot23,155156,11.9521863413814
Plate1B6,Plate1,B6,B,6,R24,medium-6,Col-0,Plot17,Root,medium,Pot24,26862,10.198467927469
Plate1E10,Plate1,E10,E,10,R25,medium-1,phr1/phl1,Plot2,Root,medium,Pot25,19879,9.89741917713452
Plate1E4,Plate1,E4,E,4,R26,medium-2,phr1/phl1,Plot5,Root,medium,Pot26,10372,9.24686514665856
Plate1D11,Plate1,D11,D,11,R26,medium-2,phr1/phl1,Plot5,Root,medium,Pot26,9714,9.18132342290569
Plate2D2,Plate2,D2,D,2,R27,medium-3,phr1/phl1,Plot8,Root,medium,Pot27,13615,9.51892740510786
Plate1E3,Plate1,E3,E,3,R28,medium-4,phr1/phl1,Plot11,Root,medium,Pot28,3730,8.22416351263786
Plate1C2,Plate1,C2,C,2,R29,medium-5,phr1/phl1,Plot14,Root,medium,Pot29,10000,9.21034037197618
Plate1A9,Plate1,A9,A,9,R30,medium-6,phr1/phl1,Plot17,Root,medium,Pot30,14071,9.55187122078826
Plate2A1,Plate2,A1,A,1,R31,medium-1,phf1,Plot2,Root,medium,Pot31,216110,12.2835428162971
Plate2H1,Plate2,H1,H,1,R32,medium-2,phf1,Plot5,Root,medium,Pot32,76220,11.2413791744279
Plate1D6,Plate1,D6,D,6,R33,medium-3,phf1,Plot8,Root,medium,Pot33,12334,9.42011495555144
Plate1G11,Plate1,G11,G,11,R34,medium-4,phf1,Plot11,Root,medium,Pot34,17961,9.79595801959346
Plate2C11,Plate2,C11,C,11,R35,medium-5,phf1,Plot14,Root,medium,Pot35,26714,10.192943051537
Plate1C4,Plate1,C4,C,4,R36,medium-6,phf1,Plot17,Root,medium,Pot36,6704,8.81045964216192
