Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate1,A7,a,7,L38,high-2,Col-0,Plot6,Shoot,P84Plate1,Plate1_A7,high,Pot38,61723,11.0304119119063,-0.350795521331829,0.411247062890714,0.913504090799028,-0.48196319364821,0.340214869335049,-1.21966497070975
Plate1,B5,b,5,L14,low-2,phf1,Plot4,Shoot,P40Plate1,Plate1_B5,low,Pot14,50063,10.8210374912764,-0.30442943128462,1.06078553035616,-0.656549977046274,0.175864352440134,-0.642602846032728,0.443951991928443
Plate1,D12,d,12,L53,high-5,phf1,Plot15,Shoot,P73Plate1,Plate1_D12,high,Pot53,56034,10.9337139283378,-0.679581011083905,-0.407781582884672,-1.39418518404385,-0.731299365114077,0.720135812522051,1.1146918644041
Plate1,D8,d,8,L32,medium-2,phf1,Plot5,Shoot,P58Plate1,Plate1_D8,medium,Pot32,55660,10.9270170350799,-0.148338839348285,-0.541318606626211,-1.46122916459591,-0.968288581046197,-1.00223178518432,-0.407053521103779
Plate1,E12,e,12,L50,high-2,phf1,Plot6,Shoot,P28Plate1,Plate1_E12,high,Pot50,44160,10.695574680951,-0.346059083046419,-0.204879708594595,-0.685128259663284,0.334556548846666,-0.167161454931229,0.220369949109069
Plate1,E2,e,2,L39,high-3,Col-0,Plot9,Shoot,P69Plate1,Plate1_E2,high,Pot39,50009,10.8199582682122,-1.09781981114343,0.985557482442014,1.75609346075122,1.49897276655377,-0.00134399133766014,0.638472670768932
Plate1,E5,e,5,L51,high-3,phf1,Plot9,Shoot,P93Plate1,Plate1_E5,high,Pot51,41531,10.634195415314,-0.457138348134288,-1.13429598221142,-1.48919593482477,-1.43938492996264,0.22179843535216,0.490829942914007
Plate1,E8,e,8,L44,high-2,phr1/phl1,Plot6,Shoot,P54Plate1,Plate1_E8,high,Pot44,19159,9.86052785809599,0.696854604378247,-0.206367354296119,-0.228375831135744,0.147406644801542,-0.173053414403817,0.999295021600683
Plate1,F10,f,10,L49,high-1,phf1,Plot3,Shoot,P19Plate1,Plate1_F10,high,Pot49,55169,10.9181564803092,-0.679744913452268,-0.470130308995192,-1.28874777142073,-0.805045329926287,-0.903786782395722,0.288446636241712
Plate1,F11,f,11,L12,low-6,phr1/phl1,Plot16,Shoot,P48Plate1,Plate1_F11,low,Pot12,51902,10.857112604057,1.68575359001374,1.51661229369765,-0.186026125017722,0.540624924598887,0.0421592444665133,0.422312993284945
Plate1,F8,f,8,L54,high-6,phf1,Plot18,Shoot,P50Plate1,Plate1_F8,high,Pot54,53765,10.8923779768246,-0.535270789367175,0.2114182767785,-0.49720945644858,0.515797801889486,-0.822380192907832,0.149359910962298
Plate1,F9,f,9,L30,medium-6,phr1/phl1,Plot17,Shoot,P0Plate1,Plate1_F9,medium,Pot30,65447,11.0889959337711,0.376664397060351,-0.462020915093415,-0.485409602308329,-0.849623851340562,0.0795979602693809,1.83563388921419
Plate1,G10,g,10,L66,low+Pi-6,phr1/phl1,Plot16,Shoot,P62Plate1,Plate1_G10,low+Pi,Pot66,74787,11.2223993520667,0.735874767323472,-1.22808037196509,0.0473773540816279,0.0773959957711185,-0.76295869945615,0.912223888153647
Plate1,G2,g,2,L5,low-5,Col-0,Plot13,Shoot,P33Plate1,Plate1_G2,low,Pot5,28599,10.2611270311617,-0.519922301894941,0.797836396304715,0.803411138836626,-0.868800201688705,-0.438714436970122,0.121813990472911
