Plate,Well,row,column,Sample,Soil,Genotype,Plot,Fraction,OTU_Header,DADA2_Header,Phosphate,Pot,Depth,LDepth,CAP1,CAP2,CAP3,MDS1,MDS2,MDS3
Plate1,A3,a,3,S66,low+Pi-6,phr1/phl1,Plot16,Soil,P87Plate1,Plate1_A3,low+Pi,Pot66,49896,10.817696118206,-0.0728543684925444,1.05001685426842,-0.148842710776958,-0.339437472964882,0.476287411611778,0.129274631425764
Plate1,A6,a,6,S59,low+Pi-5,Col-0,Plot13,Soil,P9Plate1,Plate1_A6,low+Pi,Pot59,33716,10.4257277811174,-0.00429886977058468,-0.52896553713651,-1.23729435869706,0.106330352768075,0.638657456912196,1.34448892439228
Plate1,B7,b,7,S62,low+Pi-2,phr1/phl1,Plot4,Soil,P92Plate1,Plate1_B7,low+Pi,Pot62,56592,10.9436229114453,-0.888093537030012,1.65471274704008,-0.261881683743362,2.75126416087943,-0.0136330667537379,0.0174162954446927
Plate1,C1,c,1,S62,low+Pi-2,phr1/phl1,Plot4,Soil,P38Plate1,Plate1_C1,low+Pi,Pot62,70801,11.1676284038758,0.471899347679071,0.310705211583634,-0.0961792246711077,-1.73111847355709,-1.06229613347027,1.30844751041922
Plate1,D1,d,1,S19,medium-1,Col-0,Plot2,Soil,P61Plate1,Plate1_D1,medium,Pot19,61825,11.0320630923896,-0.100440866070961,-0.60043894063276,-1.46021087000899,0.118210246883104,0.10602617735151,0.182163335319887
Plate1,E1,e,1,S48,high-6,phr1/phl1,Plot18,Soil,P3Plate1,Plate1_E1,high,Pot48,49332,10.8063282366859,-0.0168458518047758,0.557541298489333,-0.146141028945828,-0.242147663809383,-0.893584475028002,0.508479652859743
Plate1,G9,g,9,S27,medium-3,phr1/phl1,Plot8,Soil,P20Plate1,Plate1_G9,medium,Pot27,60996,11.0185635672349,2.76488047285418e-16,-4.48615715946052e-16,1.0612747753257e-16,-7.39192821360998e-16,-1.81218332671585e-16,5.12326068522536e-17
Plate1,H5,h,5,S41,high-5,Col-0,Plot15,Soil,P10Plate1,Plate1_H5,high,Pot41,58547,10.9775851294552,1.66249260407918e-17,5.17535211031882e-17,-5.13995952735914e-17,-2.22332059615976e-16,-1.23974359714733e-16,3.53287810146093e-17
Plate2,B6,b,6,S24,medium-6,Col-0,Plot17,Soil,P5Plate2,Plate2_B6,medium,Pot24,20533,9.9297886269555,-0.066970882009655,0.444534136313522,-1.53963933261862,-0.22454059965118,-0.744683634263706,-1.52665225971216
Plate2,B9,b,9,S35,medium-5,phf1,Plot14,Soil,P7Plate2,Plate2_B9,medium,Pot35,34391,10.445550181224,-6.51912381263188e-17,3.08440369298575e-16,-3.15034753135584e-16,5.41295999415306e-16,-1.16666366432557e-16,8.87521470854857e-17
Plate2,C3,c,3,S28,medium-4,phr1/phl1,Plot11,Soil,P32Plate2,Plate2_C3,medium,Pot28,37366,10.5285164790198,-2.13178754313083e-16,-2.02182152302547e-16,-9.69209306297057e-17,7.36493467205681e-17,-2.99431299021691e-17,-2.19156491355003e-16
Plate2,D3,d,3,S52,high-4,phf1,Plot12,Soil,P85Plate2,Plate2_D3,high,Pot52,61428,11.0256210362456,1.87409745261874e-17,9.80574003156212e-18,-1.22121383463796e-16,-2.39622120219242e-16,-1.7640570304939e-16,1.01116370098348e-16
Plate2,E1,e,1,S48,high-6,phr1/phl1,Plot18,Soil,P3Plate2,Plate2_E1,high,Pot48,37212,10.5243865688884,-0.0869874657737073,0.819638901877049,-0.0140281374080748,-0.214019950896886,2.23790989790394,-0.436965830437252
Plate2,E3,e,3,S68,low+Pi-2,phf1,Plot4,Soil,P59Plate2,Plate2_E3,low+Pi,Pot68,30756,10.3338403761521,0.416194189350941,-1.96541795862371,0.35806090841447,-1.02014568732233,1.07592920022401,-1.32586380586391
Plate2,E4,e,4,S69,low+Pi-3,phf1,Plot7,Soil,P56Plate2,Plate2_E4,low+Pi,Pot69,55625,10.9263880194685,2.46109953171091,0.27029646725,-0.143425589145625,-6.5952393069782e-16,-2.80498871261338e-16,-2.53638200765691e-16
Plate2,E6,e,6,S25,medium-1,phr1/phl1,Plot2,Soil,P63Plate2,Plate2_E6,medium,Pot25,46679,10.7510496637203,0.100440866070962,0.60043894063276,1.46021087000899,-0.118210246883108,-0.10602617735151,-0.182163335319887
Plate2,F3,f,3,S36,medium-6,phf1,Plot17,Soil,P64Plate2,Plate2_F3,medium,Pot36,33079,10.4066539189346,0.0669708820096547,-0.444534136313522,1.53963933261862,0.22454059965118,0.744683634263706,1.52665225971216
Plate2,G4,g,4,S72,low+Pi-6,phf1,Plot16,Soil,P11Plate2,Plate2_G4,low+Pi,Pot72,41217,10.6266060715921,0.0728543684925442,-1.05001685426842,0.148842710776958,0.339437472964882,-0.476287411611778,-0.129274631425764
Plate2,G6,g,6,S65,low+Pi-5,phr1/phl1,Plot13,Soil,P52Plate2,Plate2_G6,low+Pi,Pot65,22532,10.0226918000146,0.00429886977058448,0.52896553713651,1.23729435869706,-0.106330352768076,-0.638657456912197,-1.34448892439228
Plate3,B4,b,4,S3,low-3,Col-0,Plot7,Soil,P17Plate3,Plate3_B4,low,Pot3,3117,8.04462627976734,-2.46109953171091,-0.27029646725,0.143425589145625,2.68635619740055e-16,1.40419422638314e-16,5.40530315911251e-16
Plate3,D3,d,3,S54,high-6,phf1,Plot18,Soil,P85Plate3,Plate3_D3,high,Pot54,46895,10.755666338943,0.103833317578483,-1.37718020036638,0.160169166353903,0.456167614706269,-1.34432542287594,-0.0715138224224907
