Gene,group,value
AT1G02310,NB_1000Pi,-0.833696966378191
AT1G03020,NB_1000Pi,-1.03295797607488
AT1G03250,NB_1000Pi,-0.759483090450348
AT1G05000,NB_1000Pi,-1.02104443359924
AT1G08310,NB_1000Pi,-0.92191931008275
AT1G08650,NB_1000Pi,-1.05760989513258
AT1G13300,NB_1000Pi,0.281411768677956
AT1G13750,NB_1000Pi,-0.985204815850199
AT1G17710,NB_1000Pi,-1.00152064207294
AT1G17745,NB_1000Pi,-0.812301547880734
AT1G17830,NB_1000Pi,-0.864847684366233
AT1G19200,NB_1000Pi,-0.838178148693634
AT1G22150,NB_1000Pi,-0.875814670366277
AT1G22170,NB_1000Pi,-0.86472797485446
AT1G22410,NB_1000Pi,-1.06705920018695
AT1G22990,NB_1000Pi,-0.768373864330042
AT1G23120,NB_1000Pi,-0.716451866693407
AT1G23140,NB_1000Pi,-1.08052276310525
AT1G24575,NB_1000Pi,-0.908583312573931
AT1G27760,NB_1000Pi,-1.06841955576834
AT1G30500,NB_1000Pi,-0.714430169140777
AT1G31120,NB_1000Pi,-0.686471187686679
AT1G32900,NB_1000Pi,-1.07501254792184
AT1G35720,NB_1000Pi,-1.03051809801598
AT1G48370,NB_1000Pi,-0.955532602790016
AT1G50110,NB_1000Pi,-0.590627572192158
AT1G53310,NB_1000Pi,-1.04973807900431
AT1G56600,NB_1000Pi,-0.978241319759758
AT1G56650,NB_1000Pi,-0.648197757865611
AT1G61800,NB_1000Pi,-0.571898950992389
AT1G62540,NB_1000Pi,-0.415256287006626
AT1G62710,NB_1000Pi,-0.791786366105235
AT1G64590,NB_1000Pi,-0.515216155087908
AT1G66390,NB_1000Pi,-0.56205460398415
AT1G67600,NB_1000Pi,-0.946541444420883
AT1G67810,NB_1000Pi,-0.649265863463164
AT1G67920,NB_1000Pi,-0.877913278459784
AT1G68620,NB_1000Pi,-0.432743126789727
AT1G68670,NB_1000Pi,-0.814296389939631
AT1G68740,NB_1000Pi,-1.02100290790172
AT1G69930,NB_1000Pi,0.08227481493127
AT1G70900,NB_1000Pi,-0.773718946884529
AT1G71130,NB_1000Pi,-0.681844279424983
AT1G72070,NB_1000Pi,-0.746682475512424
AT1G72520,NB_1000Pi,-0.779595156003632
AT1G72890,NB_1000Pi,-0.82801985995173
AT1G73010,NB_1000Pi,-0.984615930018317
AT1G73220,NB_1000Pi,-0.985842623486914
AT1G74210,NB_1000Pi,-0.955302274430397
AT1G76410,NB_1000Pi,1.12268116253838
AT1G76430,NB_1000Pi,-0.831253398339015
AT1G76520,NB_1000Pi,-0.158796290363606
AT2G01880,NB_1000Pi,-1.32742623881746
AT2G02990,NB_1000Pi,-0.763291612792615
AT2G03020,NB_1000Pi,-0.88047111080913
AT2G04040,NB_1000Pi,-0.645526913323962
AT2G04160,NB_1000Pi,-0.69293615697062
AT2G11810,NB_1000Pi,-0.965512991964922
AT2G16430,NB_1000Pi,-0.989915447119757
AT2G17280,NB_1000Pi,-0.732793376878779
AT2G18660,NB_1000Pi,-0.634143341286639
AT2G22080,NB_1000Pi,-0.784578526621922
AT2G26660,NB_1000Pi,-0.958086141397208
AT2G27190,NB_1000Pi,-0.975307979261961
AT2G28660,NB_1000Pi,-0.650099662097322
AT2G29460,NB_1000Pi,-0.64978023904666
AT2G29670,NB_1000Pi,0.882608377640622
