Gene,group,value
AT1G01480,NB_1000Pi,-0.424867900429901
AT1G01720,NB_1000Pi,-0.132737798150256
AT1G08630,NB_1000Pi,1.15879907116821
AT1G12010,NB_1000Pi,0.794863857102644
AT1G12110,NB_1000Pi,-0.000253131610425566
AT1G14870,NB_1000Pi,-0.792408794664199
AT1G15520,NB_1000Pi,-0.527220029512736
AT1G17170,NB_1000Pi,-0.407803952009714
AT1G17180,NB_1000Pi,-0.208191375439681
AT1G18970,NB_1000Pi,-0.656352168746934
AT1G19020,NB_1000Pi,-0.782097310172524
AT1G19250,NB_1000Pi,-0.676595598096363
AT1G23190,NB_1000Pi,-1.00844582738724
AT1G31290,NB_1000Pi,0.397206028045324
AT1G52880,NB_1000Pi,-0.0240125829109791
AT1G61560,NB_1000Pi,-0.97103086156695
AT1G62380,NB_1000Pi,0.325802687568527
AT1G62480,NB_1000Pi,0.81856163725665
AT1G63570,NB_1000Pi,-0.022335701640823
AT1G64950,NB_1000Pi,-0.842833828953295
AT1G66200,NB_1000Pi,-0.789714329721931
AT1G69490,NB_1000Pi,0.456673534207323
AT1G71695,NB_1000Pi,0.106295779759287
AT1G72520,NB_1000Pi,-0.779595156003632
AT1G74250,NB_1000Pi,-0.634075711165939
AT2G04050,NB_1000Pi,-0.729798457202793
AT2G04070,NB_1000Pi,-0.662871890435913
AT2G18193,NB_1000Pi,-0.474787249622468
AT2G21640,NB_1000Pi,-0.891871216920539
AT2G21900,NB_1000Pi,-0.49170834876178
AT2G23150,NB_1000Pi,-0.282526541647233
AT2G26480,NB_1000Pi,-0.807986562626451
AT2G26560,NB_1000Pi,-0.368647088236816
AT2G27880,NB_1000Pi,0.451646141087183
AT2G28570,NB_1000Pi,0.382295160654613
AT2G31060,NB_1000Pi,-0.782727779645496
AT2G33750,NB_1000Pi,0.419568423283272
AT2G34500,NB_1000Pi,0.848652841778624
AT2G41380,NB_1000Pi,-0.60309804834552
AT2G43590,NB_1000Pi,-0.446235449696263
AT3G01420,NB_1000Pi,-0.00658766886446194
AT3G04070,NB_1000Pi,-0.599502843016227
AT3G04530,NB_1000Pi,-0.959313398886369
AT3G05690,NB_1000Pi,-0.798385572067614
AT3G07720,NB_1000Pi,-0.117718822429191
AT3G08040,NB_1000Pi,-1.12630923905858
AT3G09940,NB_1000Pi,-1.01571209121522
AT3G12580,NB_1000Pi,-0.536303923565134
AT3G13100,NB_1000Pi,-0.783797941951163
AT3G13610,NB_1000Pi,-1.0065711240117
AT3G14680,NB_1000Pi,-0.672647374422943
AT3G14940,NB_1000Pi,-0.90213648487183
AT3G16150,NB_1000Pi,0.927977538547952
AT3G19450,NB_1000Pi,-1.14925651235958
AT3G19710,NB_1000Pi,-0.908420092295433
AT3G21720,NB_1000Pi,-0.422879022787401
AT3G22240,NB_1000Pi,-0.785080987435394
AT3G25250,NB_1000Pi,-0.58046377830227
AT3G25730,NB_1000Pi,-0.390365792462696
AT3G26210,NB_1000Pi,-0.868544069959401
AT3G26570,NB_1000Pi,0.134983876110687
AT3G28510,NB_1000Pi,-0.855210607333301
AT3G44300,NB_1000Pi,0.485905012250502
AT3G47290,NB_1000Pi,0.646064163364493
AT3G47780,NB_1000Pi,-0.34230052156794
AT3G53150,NB_1000Pi,-0.216373532228425
AT3G53990,NB_1000Pi,-0.216888600036724
AT3G60160,NB_1000Pi,0.772141088566949
AT3G61400,NB_1000Pi,-1.09809766255141
AT3G63380,NB_1000Pi,-0.7420191625704
AT4G00755,NB_1000Pi,0.341499672101625
AT4G01870,NB_1000Pi,-0.0272472637942967
AT4G08780,NB_1000Pi,-0.136784821560143
AT4G11290,NB_1000Pi,-1.26899259004791
AT4G12030,NB_1000Pi,-0.804990719108576
AT4G12400,NB_1000Pi,-0.207782899980558
AT4G13180,NB_1000Pi,-0.0728933523061766
AT4G13310,NB_1000Pi,0.12487354719292
AT4G15330,NB_1000Pi,-0.572764150018619
AT4G19760,NB_1000Pi,-0.204124145231933
AT4G21680,NB_1000Pi,-0.575103716087097
AT4G28040,NB_1000Pi,-0.178761620565381
AT4G29690,NB_1000Pi,-0.973817879039288
AT4G33720,NB_1000Pi,-1.06225926105028
AT4G34870,NB_1000Pi,-0.6834009666146
AT4G36870,NB_1000Pi,1.03536711659949
AT4G36880,NB_1000Pi,-0.0739928253362599
AT4G37520,NB_1000Pi,-0.13960911078412
AT5G06740,NB_1000Pi,-0.585611691913273
AT5G06860,NB_1000Pi,-0.194187562630571
AT5G08610,NB_1000Pi,0.0341990449421189
AT5G10740,NB_1000Pi,-0.840034028897726
AT5G13210,NB_1000Pi,-0.936311113214463
AT5G14730,NB_1000Pi,-0.154443012571445
AT5G17860,NB_1000Pi,-0.373538213440172
AT5G19890,NB_1000Pi,-0.709631307636792
AT5G22790,NB_1000Pi,-0.500245819453967
AT5G23010,NB_1000Pi,0.0727710219232264
AT5G23810,NB_1000Pi,0.836145311938419
AT5G24280,NB_1000Pi,0.0153589417531832
AT5G24930,NB_1000Pi,0.507074234633795
AT5G25250,NB_1000Pi,-0.859120195309567
AT5G38200,NB_1000Pi,0.902496877521173
AT5G38540,NB_1000Pi,-0.408929261190226
AT5G38550,NB_1000Pi,-0.706824288217597
AT5G40010,NB_1000Pi,-0.728879688255083
AT5G41610,NB_1000Pi,0.165099834272947
AT5G42980,NB_1000Pi,-0.836415789579119
AT5G43330,NB_1000Pi,-0.332087455512266
AT5G43450,NB_1000Pi,0.625011555355171
AT5G45380,NB_1000Pi,-0.116726557929441
AT5G47110,NB_1000Pi,0.531280075443588
AT5G47220,NB_1000Pi,-0.116910881506525
AT5G47740,NB_1000Pi,-0.993332297381096
AT5G51440,NB_1000Pi,-0.584872823249286
AT5G51870,NB_1000Pi,0.0575287381767925
AT5G52640,NB_1000Pi,-0.242086701135345
AT5G53120,NB_1000Pi,-0.75838137239365
AT5G58940,NB_1000Pi,-0.847227919555187
AT5G62480,NB_1000Pi,-0.913111798782467
AT5G64810,NB_1000Pi,-0.672315464658445
AT5G65140,NB_1000Pi,-0.818467052944601
AT5G65380,NB_1000Pi,0.864450750037007
AT1G01480,Full_1000Pi,0.0683437825192578
AT1G01720,Full_1000Pi,-0.981394706985461
AT1G08630,Full_1000Pi,-0.767393962687747
AT1G12010,Full_1000Pi,0.304209820136826
AT1G12110,Full_1000Pi,1.38645202414622
AT1G14870,Full_1000Pi,-1.00593255944429
AT1G15520,Full_1000Pi,-0.445390355473502
AT1G17170,Full_1000Pi,-1.27582061706663
AT1G17180,Full_1000Pi,-1.33425574150272
AT1G18970,Full_1000Pi,-1.12253593597911
AT1G19020,Full_1000Pi,-0.492117810282392
AT1G19250,Full_1000Pi,-0.237805395790144
AT1G23190,Full_1000Pi,-0.511717197110857
AT1G31290,Full_1000Pi,0.546582656269782
AT1G52880,Full_1000Pi,-0.595682534510734
AT1G61560,Full_1000Pi,-0.519108693209791
AT1G62380,Full_1000Pi,0.356831122403389
AT1G62480,Full_1000Pi,0.430051955185401
AT1G63570,Full_1000Pi,0.181937589322201
AT1G64950,Full_1000Pi,-0.920753627585241
AT1G66200,Full_1000Pi,0.662589430096771
AT1G69490,Full_1000Pi,-0.745571629240805
AT1G71695,Full_1000Pi,-0.788867739179172
AT1G72520,Full_1000Pi,0.0723260280239787
AT1G74250,Full_1000Pi,0.514981543866499
AT2G04050,Full_1000Pi,-0.589278983689758
AT2G04070,Full_1000Pi,-0.399001228995372
AT2G18193,Full_1000Pi,-0.821922071116391
AT2G21640,Full_1000Pi,-0.272068359229364
AT2G21900,Full_1000Pi,-0.787105033157982
AT2G23150,Full_1000Pi,0.505436408614164
AT2G26480,Full_1000Pi,-0.796643265728567
AT2G26560,Full_1000Pi,-0.912863656033727
AT2G27880,Full_1000Pi,-0.119361674289526
AT2G28570,Full_1000Pi,-0.146722586980811
AT2G31060,Full_1000Pi,-0.502890821154393
AT2G33750,Full_1000Pi,0.257266833560125
AT2G34500,Full_1000Pi,-0.916269371291201
AT2G41380,Full_1000Pi,-1.14402832254223
AT2G43590,Full_1000Pi,-1.19673173346309
AT3G01420,Full_1000Pi,-1.51108989170151
AT3G04070,Full_1000Pi,-1.00846734133294
AT3G04530,Full_1000Pi,-0.717733126924687
AT3G05690,Full_1000Pi,-0.966535720201382
AT3G07720,Full_1000Pi,1.33334049917741
AT3G08040,Full_1000Pi,-0.011698133482349
AT3G09940,Full_1000Pi,0.238630529596162
AT3G12580,Full_1000Pi,-0.442605083626269
AT3G13100,Full_1000Pi,-0.859824530242853
AT3G13610,Full_1000Pi,1.21132841825098
AT3G14680,Full_1000Pi,-1.0202622513302
AT3G14940,Full_1000Pi,-0.861915904509611
AT3G16150,Full_1000Pi,-0.97594773350963
AT3G19450,Full_1000Pi,0.41921047949741
AT3G19710,Full_1000Pi,0.238889280730906
AT3G21720,Full_1000Pi,-0.90204831632636
AT3G22240,Full_1000Pi,-0.940001899911092
AT3G25250,Full_1000Pi,-0.995933363207066
AT3G25730,Full_1000Pi,-1.01640099955399
AT3G26210,Full_1000Pi,-0.48612617310787
AT3G26570,Full_1000Pi,1.29177952419229
AT3G28510,Full_1000Pi,-0.675035812833047
AT3G44300,Full_1000Pi,-0.994549243229562
AT3G47290,Full_1000Pi,1.03811291463938
AT3G47780,Full_1000Pi,-1.38418223153801
AT3G53150,Full_1000Pi,-1.0777108612751
AT3G53990,Full_1000Pi,-1.19173796774698
AT3G60160,Full_1000Pi,0.659790217268899
AT3G61400,Full_1000Pi,-0.0652923527207619
AT3G63380,Full_1000Pi,-1.01357117842866
AT4G00755,Full_1000Pi,0.616375421133995
AT4G01870,Full_1000Pi,-1.20951565373655
AT4G08780,Full_1000Pi,-0.131227191532174
AT4G11290,Full_1000Pi,0.33402098802269
AT4G12030,Full_1000Pi,0.328898876245594
AT4G12400,Full_1000Pi,0.138955789783149
AT4G13180,Full_1000Pi,-1.35162253172348
AT4G13310,Full_1000Pi,0.907705814438223
AT4G15330,Full_1000Pi,1.10270901818445
AT4G19760,Full_1000Pi,0.612372435695793
AT4G21680,Full_1000Pi,1.3492728598517
AT4G28040,Full_1000Pi,-1.38647693756296
AT4G29690,Full_1000Pi,-0.468884262098585
AT4G33720,Full_1000Pi,-0.178296700124509
AT4G34870,Full_1000Pi,-0.743805991673585
AT4G36870,Full_1000Pi,0.0968471280682258
AT4G36880,Full_1000Pi,-0.506775060146597
AT4G37520,Full_1000Pi,-1.09977048953298
AT5G06740,Full_1000Pi,-0.607222254805795
AT5G06860,Full_1000Pi,-1.33213888466868
AT5G08610,Full_1000Pi,0.454884965355145
AT5G10740,Full_1000Pi,-0.844802098975545
AT5G13210,Full_1000Pi,-0.390514114219235
AT5G14730,Full_1000Pi,-1.22044415152937
AT5G17860,Full_1000Pi,-1.18203212817233
