Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi,CAP1,CAP2,CAP3,CAP4,CAP5,MDS1
Agar,SC,P17Plate1Phosphate,Pi,Rep1,0 micromolar Pi,b4,Plate1PhosphateB4,AgarPlant,Agar_SC_0P,20503,9.92832649588305,0,-1.05175163511584,-0.807167281248473,0.443317712418241,0.199435554943644,-0.273752676210593,0.481515834722895
Agar,SC,P4Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a1,Plate2PhosphateA1,AgarPlant,Agar_SC_0P,4088,8.31581113188354,0,-1.30798703311143,-0.294929607605456,-0.0759103571299348,-0.635444239532132,0.0336589322650484,-0.203255942331955
Agar,SC,P43Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c11,Plate2PhosphateC11,AgarPlant,Agar_SC_0P,5036,8.52436739516424,0,-1.13963996165372,-0.523760751047061,0.815546587320649,-0.361866608965903,0.339190938989464,0.0179802858858148
Agar,SC,P30Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c4,Plate2PhosphateC4,AgarPlant,Agar_SC_0P,5312,8.57772369115627,0,-1.10929711584115,-0.227430036965982,0.953978202341064,-0.551953333842708,0.526397447756931,-0.145934734721256
Agar,SC,P85Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d3,Plate2PhosphateD3,AgarPlant,Agar_SC_0P,5067,8.53050420547591,0,-1.28170517905536,-0.436357584814234,-0.325653493558714,0.0407360580214531,0.592226802247285,0.0718891922844004
Agar,SC,P69Plate3Phosphate,Pi,Rep2,0 micromolar Pi,e2,Plate3PhosphateE2,AgarPlant,Agar_SC_0P,5886,8.68033192879342,0,-1.18827076867488,-0.100525607235561,-0.131518566264641,0.0849482218863532,0.110890054683627,-0.222194635839899
Agar,SC,P60Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a4,Plate1PhosphateA4,AgarPlant,Agar_SC_10P,21044,9.9543707628507,10,-0.368932631465982,-0.0194898351125848,-1.17329034389506,1.16848241997197,-0.288357577377369,0.67238993492584
Agar,SC,P76Plate2Phosphate,Pi,Rep1,10 micromolar Pi,b11,Plate2PhosphateB11,AgarPlant,Agar_SC_10P,8293,9.0231670644512,10,-0.158705870771829,1.26748836583388,-0.725581655191337,-0.0744543416704388,0.102398567013855,-0.676152167211979
Agar,SC,P87Plate3Phosphate,Pi,Rep2,10 micromolar Pi,a3,Plate3PhosphateA3,AgarPlant,Agar_SC_10P,4350,8.37793112408273,10,-0.403928733834009,1.10193513387585,-0.159882290752028,0.15547674065061,-0.960021580910049,-0.377086549661054
Agar,SC,P32Plate3Phosphate,Pi,Rep2,10 micromolar Pi,c3,Plate3PhosphateC3,AgarPlant,Agar_SC_10P,4501,8.41205487329293,10,-0.376290924776306,0.519558214909881,-0.858391173732086,0.902792235365469,-0.888754417624515,0.213714229810677
Agar,SC,P64Plate3Phosphate,Pi,Rep1,10 micromolar Pi,f3,Plate3PhosphateF3,AgarPlant,Agar_SC_10P,5427,8.5991417740634,10,-0.265873216287321,0.839624392632033,-0.37812386310726,0.30227865266189,-0.379191518213081,0.0912998050167776
Agar,SC,P26Plate3Phosphate,Pi,Rep2,10 micromolar Pi,h3,Plate3PhosphateH3,AgarPlant,Agar_SC_10P,5392,8.59267165259214,10,-0.320066287531969,0.648480546956407,-0.606271756593511,1.24601776598662,-0.813150155433758,0.0758347471197375
Agar,SC,P16Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a2,Plate1PhosphateA2,AgarPlant,Agar_SC_30P,15743,9.66415110101463,30,0.173356727008446,0.561326999434722,0.13267120365916,0.217306321621525,1.35826895110053,-0.0248002043503074
Agar,SC,P3Plate1Phosphate,Pi,Rep2,30 micromolar Pi,e1,Plate1PhosphateE1,AgarPlant,Agar_SC_30P,11577,9.35677565020573,30,0.44129451628229,-0.0132082755385486,-0.767850941408855,-0.622749144925517,1.54439471828368,0.151578693705693
Agar,SC,P15Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f12,Plate1PhosphateF12,AgarPlant,Agar_SC_30P,19108,9.85786237450985,30,0.453593397848376,-0.223686574679426,-0.373133310112314,0.0257214480713882,1.58430793076525,0.616393381193388
Agar,SC,P11Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g4,Plate1PhosphateG4,AgarPlant,Agar_SC_30P,18902,9.847023015555,30,0.283635924870673,0.885834176645397,-0.732744270498975,-0.173602169933624,0.93431409211989,-0.376874950848718
Agar,SC,P46Plate2Phosphate,Pi,Rep1,30 micromolar Pi,f7,Plate2PhosphateF7,AgarPlant,Agar_SC_30P,5608,8.63194942871443,30,0.423477211953406,1.155109675957,-0.202058057614957,-0.572925794474123,1.19533935327881,-0.868287433254736
Agar,SC,P85Plate3Phosphate,Pi,Rep1,30 micromolar Pi,d3,Plate3PhosphateD3,AgarPlant,Agar_SC_30P,4296,8.3654396361887,30,0.180849772789974,0.161057595743927,-0.0309830564102521,-0.392972859210647,0.128064940609722,0.501990513554681
Agar,SC,P8Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b3,Plate1PhosphateB3,AgarPlant,Agar_SC_50P,18960,9.85008677580901,50,0.299848271734281,-0.241593137356755,0.377478042414952,-0.937388133908822,-0.784382775165279,0.557170310029522
Agar,SC,P32Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c3,Plate1PhosphateC3,AgarPlant,Agar_SC_50P,20134,9.91016520728937,50,0.309740513466657,0.561761109592889,-0.115292728527894,-0.807190580951606,-0.18498606168221,-0.37053487558692
Agar,SC,P6Plate2Phosphate,Pi,Rep2,50 micromolar Pi,f1,Plate2PhosphateF1,AgarPlant,Agar_SC_50P,3819,8.24774388722552,50,0.463984087536056,-0.977582882988787,-0.00996804254555329,-1.98391001813721,-2.09146920424945,1.4983896022121
Agar,SC,P11Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g4,Plate2PhosphateG4,AgarPlant,Agar_SC_50P,3236,8.08209327817838,50,0.353912048678722,1.17997183737498,0.518774460039947,-0.703381968369764,0.0226491993832144,-1.15179782141721
Agar,SC,P2Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h8,Plate2PhosphateH8,AgarPlant,Agar_SC_50P,5927,8.68727346178784,50,0.301568156566593,0.873281776478853,-0.0036236819580989,-1.41728097998074,-0.0537439412697707,-1.06274715105142
Agar,SC,P35Plate3Phosphate,Pi,Rep1,50 micromolar Pi,h1,Plate3PhosphateH1,AgarPlant,Agar_SC_50P,5074,8.53188474015923,50,0.168988304537562,-0.14981744866075,0.191173783055687,-0.465429927349911,-0.902774343995084,0.529519935813934
Agar,SC,P27Plate1Phosphate,Pi,Rep1,100 micromolar Pi,c7,Plate1PhosphateC7,AgarPlant,Agar_SC_100P,16105,9.6868850617653,100,0.412378466249815,-0.914843213907539,-1.20166693206175,0.412915216612046,0.171127347566707,-0.238390331189909
Agar,SC,P22Plate1Phosphate,Pi,Rep2,100 micromolar Pi,d7,Plate1PhosphateD7,AgarPlant,Agar_SC_100P,11917,9.38572123109081,100,0.600114518832313,-0.875662583886964,-1.02991639064365,0.0522936678668212,-0.0469515452621198,-0.309670119943926
