Plate1PhosphateE4,Plate1PhosphateE5,Plate1PhosphateG8,Plate2PhosphateC6,Plate2PhosphateG5,Plate1PhosphateA1,Plate1PhosphateA5,Plate1PhosphateD2,Plate1PhosphateG2,Plate2PhosphateD8,Plate2PhosphateF10,Plate1PhosphateC10,Plate1PhosphateC4,Plate1PhosphateF6,Plate1PhosphateG1,Plate2PhosphateD10,Plate2PhosphateF2,Plate1PhosphateB12,Plate1PhosphateB5,Plate1PhosphateC1,Plate1PhosphateD11,Plate2PhosphateB12,Plate2PhosphateG11,Plate1PhosphateA11,Plate1PhosphateA7,Plate1PhosphateC5,Plate1PhosphateG12,Plate2PhosphateE4,Plate2PhosphateG10,Plate1PhosphateC6,Plate1PhosphateD3,Plate1PhosphateD9,Plate2PhosphateB2,Plate2PhosphateH9
Plate1PhosphateE4,0,0.13478095023237,0.14883199822746,0.232180307572264,0.124344082985513,0.190059902101245,0.136746015288133,0.132045750682792,0.162672666693464,0.162031519137033,0.160408122850618,0.210382902384996,0.288350318436094,0.259901772632174,0.190802299560892,0.281740180699509,0.232390493154946,0.201607581664065,0.17300925948909,0.184120109542073,0.199587855522061,0.256061757966802,0.238543222498284,0.275091978498888,0.256895276552267,0.212235989243443,0.242442716350595,0.226887720512598,0.303412145140737,0.300713986245358,0.232403608814908,0.304606001891448,0.281041387159632,0.252704251527127
Plate1PhosphateE5,0.13478095023237,0,0.0543478270901768,0.291875854396216,0.144286471100358,0.17669902203378,0.120513522058466,0.143374309445443,0.215078718658802,0.211313290482241,0.213609729848304,0.211419214758503,0.236170570209698,0.26927698049842,0.200371171000131,0.300044294400979,0.232761069116916,0.248382324660746,0.210147609742915,0.218647791154104,0.209687063831558,0.282298550883901,0.262365013749021,0.26796495287438,0.254424409892459,0.241305815616987,0.255761604118115,0.225761562489584,0.300168740493335,0.293428398376967,0.255962611500874,0.30578060930142,0.277683436486443,0.278808279923739
Plate1PhosphateG8,0.14883199822746,0.0543478270901768,0,0.293814694209383,0.14344914446716,0.194183607515278,0.142618811768364,0.173762678126498,0.19697482491303,0.185279431434049,0.194407999193655,0.192644278856522,0.228535256246996,0.248974068831313,0.217986892390214,0.308911710835135,0.213455796883553,0.259399573316319,0.224519580337258,0.231699938029746,0.191639257515354,0.293531938019666,0.270032394469243,0.288502899842421,0.240539919395695,0.252885515233189,0.272603130451774,0.218379878673788,0.313117580263646,0.30637141996831,0.266878849922148,0.314075194654875,0.28818325133474,0.295521308205806
Plate2PhosphateC6,0.232180307572264,0.291875854396216,0.293814694209383,0,0.265630992378814,0.21892905674487,0.220343706554542,0.219772091204858,0.2245219669309,0.231472012183019,0.228610752781509,0.302126879351949,0.337091302977148,0.334092277508805,0.196892155800727,0.164496684945108,0.32889482612609,0.252947131969506,0.21318813121383,0.232320088069884,0.285855851278501,0.286288971167474,0.249766810418652,0.299855990453398,0.362039063105507,0.286114091269327,0.273032930782738,0.337666660498036,0.347324933227243,0.323838593947466,0.32176471354714,0.302944750485358,0.329281602324701,0.302889780921844
Plate2PhosphateG5,0.124344082985513,0.144286471100358,0.14344914446716,0.265630992378814,0,0.209427790372875,0.180938936556601,0.194404651632714,0.212308844918864,0.201175702237634,0.208340459546477,0.191809051862478,0.260195352495477,0.21559556057161,0.204539880012158,0.326654697282276,0.21392743129936,0.233881345437036,0.228478609706259,0.235530793587153,0.21205502604252,0.229835762896036,0.259433781672982,0.243209763836666,0.218164130416116,0.18737214255337,0.241264532955982,0.204920462373145,0.266071737538747,0.258749596830133,0.206483988060851,0.256608940052795,0.236385600884201,0.239559425972614
Plate1PhosphateA1,0.190059902101245,0.17669902203378,0.194183607515278,0.21892905674487,0.209427790372875,0,0.131814863276065,0.100575753820243,0.232355038153953,0.225282586222519,0.214483251010825,0.222901293609579,0.297959592347577,0.274061433126837,0.141368705854627,0.202170981835055,0.252922538385834,0.20440633362097,0.156225042698164,0.175084619648684,0.21705315536619,0.230895519567815,0.146362950504523,0.226148680516304,0.278589994669442,0.225187565858229,0.212537197909465,0.258894048166198,0.259122035995906,0.257342582525462,0.226298096535442,0.227865994684646,0.224597280177177,0.232963478547537
Plate1PhosphateA5,0.136746015288133,0.120513522058466,0.142618811768364,0.220343706554542,0.180938936556601,0.131814863276065,0,0.0932934410847612,0.168466881702176,0.163384718262767,0.153636075005773,0.210566134970584,0.318139826839827,0.256125637976163,0.12036332629885,0.214684080699546,0.225627191295728,0.215800452475081,0.136484051322982,0.149196655430708,0.199807816852847,0.274498162031426,0.203001229591586,0.250122235222963,0.251892295167121,0.239430244207314,0.233976554412029,0.221499233820083,0.268937723798835,0.279441314343811,0.249642855925545,0.268618507444403,0.255934651037683,0.25527608761236
Plate1PhosphateD2,0.132045750682792,0.143374309445443,0.173762678126498,0.219772091204858,0.194404651632714,0.100575753820243,0.0932934410847612,0,0.201141017304042,0.199967182703591,0.192024623850117,0.235157224469298,0.302353182674592,0.282104181688666,0.124535268794781,0.207948753937802,0.25522108500549,0.196201786652832,0.129148660387403,0.149635343472333,0.225877120732028,0.253774422668134,0.180843919135381,0.227112329125443,0.278462416766072,0.212265257400158,0.209735191789739,0.245547852416841,0.25833715914036,0.262064156038103,0.239426072425983,0.246885753080206,0.236130748864773,0.228287017700886
Plate1PhosphateG2,0.162672666693464,0.215078718658802,0.19697482491303,0.2245219669309,0.212308844918864,0.232355038153953,0.168466881702176,0.201141017304042,0,0.0497484337004901,0.0485341055706119,0.189885970669355,0.355847204066812,0.171300412388224,0.220799455333412,0.265010014543129,0.165990614728894,0.214730285696129,0.17440545253209,0.161832133645703,0.133556911600602,0.293607992099668,0.258924777666634,0.320444550274367,0.246992660811703,0.290558712064894,0.290413306647607,0.235494201686844,0.329339143064633,0.340735583691684,0.275767808576292,0.304128978878846,0.311739145541544,0.295013282391042
Plate2PhosphateD8,0.162031519137033,0.211313290482241,0.185279431434049,0.231472012183019,0.201175702237634,0.225282586222519,0.163384718262767,0.199967182703591,0.0497484337004901,0,0.0666306287695385,0.181852319395134,0.340998788458473,0.171756480761215,0.20505332129208,0.272352992384672,0.157820894519783,0.19965971756114,0.167073507395458,0.165407639245434,0.12293399991561,0.27755659969639,0.239173754683252,0.305737917479902,0.23587540287738,0.274228026733076,0.280415253351788,0.231949931553128,0.316542188239343,0.31962235362933,0.266952015099702,0.29833860276205,0.306413150435389,0.290885059354372
