Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi
Shoot,SC,P5Plate1Phosphate,Pi,Rep2,0 micromolar Pi,b6,Plate1PhosphateB6,Shoot,Shoot_SC_0P,25749,10.1561510703863,0
Shoot,SC,P71Plate1Phosphate,Pi,Rep1,0 micromolar Pi,e11,Plate1PhosphateE11,Shoot,Shoot_SC_0P,21405,9.97137981857905,0
Shoot,SC,P64Plate1Phosphate,Pi,Rep1,0 micromolar Pi,f3,Plate1PhosphateF3,Shoot,Shoot_SC_0P,19395,9.87277057987407,0
Shoot,SC,P87Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a3,Plate2PhosphateA3,Shoot,Shoot_SC_0P,5923,8.68659835627697,0
Shoot,SC,P61Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d1,Plate2PhosphateD1,Shoot,Shoot_SC_0P,7031,8.85808422219916,0
Shoot,SC,P4Plate3Phosphate,Pi,Rep1,0 micromolar Pi,a1,Plate3PhosphateA1,Shoot,Shoot_SC_0P,7024,8.85708813531495,0
Shoot,SC,P12Plate1Phosphate,Pi,Rep2,10 micromolar Pi,d4,Plate1PhosphateD4,Shoot,Shoot_SC_10P,8873,9.09076823683534,10
Shoot,SC,P6Plate1Phosphate,Pi,Rep2,10 micromolar Pi,f1,Plate1PhosphateF1,Shoot,Shoot_SC_10P,19822,9.89454771096665,10
Shoot,SC,P19Plate1Phosphate,Pi,Rep1,10 micromolar Pi,f10,Plate1PhosphateF10,Shoot,Shoot_SC_10P,23564,10.0674754026416,10
Shoot,SC,P32Plate2Phosphate,Pi,Rep1,10 micromolar Pi,c3,Plate2PhosphateC3,Shoot,Shoot_SC_10P,6818,8.82732145269785,10
Shoot,SC,P22Plate2Phosphate,Pi,Rep2,10 micromolar Pi,d7,Plate2PhosphateD7,Shoot,Shoot_SC_10P,7013,8.85552084853691,10
