Plate1PhosphateB4,Plate2PhosphateA1,Plate2PhosphateC11,Plate2PhosphateC4,Plate2PhosphateD3,Plate3PhosphateE2,Plate1PhosphateA4,Plate2PhosphateB11,Plate3PhosphateA3,Plate3PhosphateC3,Plate3PhosphateF3,Plate3PhosphateH3,Plate1PhosphateA2,Plate1PhosphateE1,Plate1PhosphateF12,Plate1PhosphateG4,Plate2PhosphateF7,Plate3PhosphateD3,Plate1PhosphateB3,Plate1PhosphateC3,Plate2PhosphateF1,Plate2PhosphateG4,Plate2PhosphateH8,Plate3PhosphateH1,Plate1PhosphateC7,Plate1PhosphateD7,Plate2PhosphateH1,Plate3PhosphateB4,Plate3PhosphateF4,Plate3PhosphateG1,Plate1PhosphateE6,Plate1PhosphateG9,Plate2PhosphateD5,Plate2PhosphateE10,Plate2PhosphateF8,Plate3PhosphateB2
Plate1PhosphateB4,0,0.184229972359541,0.0875154479611403,0.108244646390273,0.222401500621323,0.200797786501959,0.13983877149081,0.228401117654877,0.211354435936204,0.245966432557114,0.171759806015975,0.248170339044254,0.238781332458868,0.279692628552061,0.331172296316409,0.257273952229251,0.299688624600568,0.196047251476393,0.30511000396978,0.209340311199168,0.40479939472515,0.262159545888156,0.266847549113641,0.185786169212074,0.249937681104754,0.398602691196168,0.266916643664416,0.3130719796228,0.267417410700758,0.20609892256676,0.215675519753058,0.28337918665217,0.25338636968151,0.354326226008161,0.358572024854623,0.199495872397369
Plate2PhosphateA1,0.184229972359541,0,0.229704250725501,0.241891489637611,0.134341844721051,0.0763162015675526,0.263801480524823,0.35402664945302,0.170398137526149,0.179845118132044,0.294359722731562,0.20001183169093,0.24456412025697,0.249837533830743,0.267615340876271,0.35319288218706,0.385057619671088,0.300544902280189,0.221216465604796,0.327826944987177,0.325842527500514,0.299502115389732,0.371786406827755,0.296840999778619,0.304775868490234,0.330801764553163,0.250787162597687,0.285414820145148,0.294930175198879,0.27142847509051,0.326191571066686,0.263816394956469,0.349867379700833,0.281470761217005,0.292056917763676,0.315561952700273
Plate2PhosphateC11,0.0875154479611403,0.229704250725501,0,0.0590492430404701,0.257365166969127,0.253718925402073,0.182268318175662,0.222162111322534,0.24477919896287,0.295886943489215,0.178793139003011,0.302021292392106,0.283019642806059,0.320748158392167,0.373952008590275,0.248943171539269,0.287490977940285,0.197725353248048,0.358111010010624,0.206022922826909,0.458288227355343,0.268274848777308,0.262398565657115,0.196601966824281,0.276780345128857,0.440817920988185,0.305402661871057,0.365983496658778,0.324132081641094,0.259510845835159,0.211557246121107,0.319069161485045,0.256429598388101,0.406047481141168,0.410877393439969,0.211142868056004
Plate2PhosphateC4,0.108244646390273,0.241891489637611,0.0590492430404701,0,0.281114095220432,0.264565716996426,0.208292851123177,0.195244433358661,0.254963647694225,0.317836498181127,0.166623375758423,0.314800932215509,0.291875240114367,0.344596919031399,0.402912321780318,0.232773803658184,0.265410966261623,0.173339657512732,0.366031690051345,0.19048141757454,0.46819238856447,0.297684325062922,0.245740120512419,0.18800109286179,0.300641205773108,0.467322076339258,0.329114871129852,0.373718770019218,0.333130238621434,0.270555659625703,0.217467585568745,0.323603335199988,0.220799840630428,0.412199827208983,0.42680766693481,0.232548809824466
Plate2PhosphateD3,0.222401500621323,0.134341844721051,0.257365166969127,0.281114095220432,0,0.129753353986248,0.276271643684943,0.379386044916841,0.238300701632606,0.153362406538432,0.316498227237603,0.215669121311518,0.249225956882093,0.266813606713828,0.240841294788829,0.390670558897609,0.419706602003904,0.34776935985173,0.2682391710572,0.373593862114557,0.347031164950543,0.313536436229189,0.428737355741483,0.342548400895871,0.346706238239322,0.299084869942568,0.255952564699526,0.300481997353338,0.293376047522789,0.317108669655303,0.353188063755506,0.296172705437752,0.403433852274072,0.31657116228442,0.260475635587827,0.325355091170599
Plate3PhosphateE2,0.200797786501959,0.0763162015675526,0.253718925402073,0.264565716996426,0.129753353986248,0,0.24790609103861,0.352020291974625,0.162452575954632,0.160978120692476,0.277383047386242,0.165415016873515,0.208977150802468,0.23218705724037,0.246207191398984,0.352101723383729,0.388449550009379,0.29982303429974,0.210425457102672,0.327652772634696,0.338400278237548,0.278684477675757,0.39329528633027,0.295218131490837,0.305131968753729,0.31177855179147,0.23721246932428,0.271108133328893,0.30637867582116,0.245990803719416,0.306606659412443,0.241696616219962,0.335981950258197,0.269749319298687,0.281809875752603,0.279839467647022
Plate1PhosphateA4,0.13983877149081,0.263801480524823,0.182268318175662,0.208292851123177,0.276271643684943,0.24790609103861,0,0.160525609603398,0.228703297087438,0.248445001197436,0.127813303122605,0.253655157739302,0.238245105221592,0.222904421174606,0.294524273373687,0.150453345219757,0.233115060056221,0.185731934543815,0.305506776238173,0.170151058993888,0.414842237058487,0.230573870886569,0.251036489158294,0.186810532010675,0.145852686593121,0.333401661115563,0.245157715724952,0.294242069421429,0.273248370800752,0.206369581991367,0.171240026378478,0.284107131242011,0.270738843523223,0.350598582668037,0.358901266868936,0.163243494920111
Plate2PhosphateB11,0.228401117654877,0.35402664945302,0.222162111322534,0.195244433358661,0.379386044916841,0.352020291974625,0.160525609603398,0,0.282167317402435,0.327833977057713,0.126922452819796,0.339876038602504,0.316024940244545,0.300988122236944,0.381687364752036,0.112281261642824,0.107106447990012,0.165547984086554,0.389058994902416,0.126903754252034,0.49320363347289,0.26525099652901,0.107477037181199,0.203825799486781,0.216535133429843,0.418437755308657,0.321984254556964,0.388553558866168,0.343493331052811,0.295838646050495,0.17843541023165,0.343436615174943,0.158938442188201,0.430244999601301,0.440722718595331,0.221389304752883
Plate3PhosphateA3,0.211354435936204,0.170398137526149,0.24477919896287,0.254963647694225,0.238300701632606,0.162452575954632,0.228703297087438,0.282167317402435,0,0.146422072234267,0.231871294866663,0.167244790067874,0.145165382753583,0.20099650615221,0.222297767800211,0.248378119690552,0.279626641743322,0.218114685673923,0.182822639313255,0.236697049309854,0.295715794891242,0.158328857820781,0.292457117147517,0.215336604460876,0.253554368422743,0.299165492356616,0.175527540631807,0.229879976731685,0.29282575956316,0.200137312374335,0.196788993874409,0.164586168676541,0.217300024172613,0.238726011443617,0.251898906388991,0.201244019526259
Plate3PhosphateC3,0.245966432557114,0.179845118132044,0.295886943489215,0.317836498181127,0.153362406538432,0.160978120692476,0.248445001197436,0.327833977057713,0.146422072234267,0,0.272510496305982,0.102536973320139,0.151978084214081,0.198723395607172,0.179420308384474,0.2971460791311,0.319172217554444,0.250500561224342,0.183528015808958,0.270810199523667,0.291535575085901,0.21262058506982,0.335832050069896,0.252804417745559,0.26350814724604,0.232860302346357,0.139475162941208,0.23574357666408,0.241694613557277,0.213872612781159,0.260709265473813,0.18564724199724,0.293380975787764,0.218218380361008,0.19132892066811,0.231515068168164
Plate3PhosphateF3,0.171759806015975,0.294359722731562,0.178793139003011,0.166623375758423,0.316498227237603,0.277383047386242,0.127813303122605,0.126922452819796,0.231871294866663,0.272510496305982,0,0.279240064650918,0.264929279509557,0.257519137967892,0.32388016692447,0.128548144428167,0.171583239295676,0.114225067503369,0.339229718729372,0.0908786567623603,0.446548931754483,0.229315526929743,0.172245770503847,0.127544658929908,0.212446775287956,0.377042231431859,0.278633715938295,0.325391838114101,0.301402321226278,0.2168441000095,0.113021701879533,0.294666465486861,0.174861185734888,0.388014650194938,0.395135266174606,0.143457485373062
Plate3PhosphateH3,0.248170339044254,0.20001183169093,0.302021292392106,0.314800932215509,0.215669121311518,0.165415016873515,0.253655157739302,0.339876038602504,0.167244790067874,0.102536973320139,0.279240064650918,0,0.136971525755595,0.20979038813528,0.190707482503017,0.314356757971069,0.333581054195575,0.255138656344457,0.195685747912206,0.28124853540625,0.32074847533378,0.20993767262217,0.358302597528085,0.248511934350836,0.27959834708612,0.234091156961267,0.152303142639829,0.240663440463676,0.284001658008734,0.205444877434535,0.262435407752118,0.161502870620657,0.284587515838426,0.201383714529311,0.216282219560555,0.235790638889078
