Tissue,type,OTU_Header,experiment,Rep,condition,position,ID_Matrix,typebyTissue,TTC,Depth,LDepth,Pi
Agar,SC,P17Plate1Phosphate,Pi,Rep1,0 micromolar Pi,b4,Plate1PhosphateB4,AgarPlant,Agar_SC_0P,20503,9.92832649588305,0
Agar,SC,P4Plate2Phosphate,Pi,Rep2,0 micromolar Pi,a1,Plate2PhosphateA1,AgarPlant,Agar_SC_0P,4088,8.31581113188354,0
Agar,SC,P43Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c11,Plate2PhosphateC11,AgarPlant,Agar_SC_0P,5036,8.52436739516424,0
Agar,SC,P30Plate2Phosphate,Pi,Rep1,0 micromolar Pi,c4,Plate2PhosphateC4,AgarPlant,Agar_SC_0P,5312,8.57772369115627,0
Agar,SC,P85Plate2Phosphate,Pi,Rep2,0 micromolar Pi,d3,Plate2PhosphateD3,AgarPlant,Agar_SC_0P,5067,8.53050420547591,0
Agar,SC,P69Plate3Phosphate,Pi,Rep2,0 micromolar Pi,e2,Plate3PhosphateE2,AgarPlant,Agar_SC_0P,5886,8.68033192879342,0
Agar,SC,P60Plate1Phosphate,Pi,Rep1,10 micromolar Pi,a4,Plate1PhosphateA4,AgarPlant,Agar_SC_10P,21044,9.9543707628507,10
Agar,SC,P76Plate2Phosphate,Pi,Rep1,10 micromolar Pi,b11,Plate2PhosphateB11,AgarPlant,Agar_SC_10P,8293,9.0231670644512,10
Agar,SC,P87Plate3Phosphate,Pi,Rep2,10 micromolar Pi,a3,Plate3PhosphateA3,AgarPlant,Agar_SC_10P,4350,8.37793112408273,10
Agar,SC,P32Plate3Phosphate,Pi,Rep2,10 micromolar Pi,c3,Plate3PhosphateC3,AgarPlant,Agar_SC_10P,4501,8.41205487329293,10
Agar,SC,P64Plate3Phosphate,Pi,Rep1,10 micromolar Pi,f3,Plate3PhosphateF3,AgarPlant,Agar_SC_10P,5427,8.5991417740634,10
Agar,SC,P26Plate3Phosphate,Pi,Rep2,10 micromolar Pi,h3,Plate3PhosphateH3,AgarPlant,Agar_SC_10P,5392,8.59267165259214,10
Agar,SC,P16Plate1Phosphate,Pi,Rep2,30 micromolar Pi,a2,Plate1PhosphateA2,AgarPlant,Agar_SC_30P,15743,9.66415110101463,30
Agar,SC,P3Plate1Phosphate,Pi,Rep2,30 micromolar Pi,e1,Plate1PhosphateE1,AgarPlant,Agar_SC_30P,11577,9.35677565020573,30
Agar,SC,P15Plate1Phosphate,Pi,Rep2,30 micromolar Pi,f12,Plate1PhosphateF12,AgarPlant,Agar_SC_30P,19108,9.85786237450985,30
Agar,SC,P11Plate1Phosphate,Pi,Rep1,30 micromolar Pi,g4,Plate1PhosphateG4,AgarPlant,Agar_SC_30P,18902,9.847023015555,30
Agar,SC,P46Plate2Phosphate,Pi,Rep1,30 micromolar Pi,f7,Plate2PhosphateF7,AgarPlant,Agar_SC_30P,5608,8.63194942871443,30
Agar,SC,P85Plate3Phosphate,Pi,Rep1,30 micromolar Pi,d3,Plate3PhosphateD3,AgarPlant,Agar_SC_30P,4296,8.3654396361887,30
Agar,SC,P8Plate1Phosphate,Pi,Rep2,50 micromolar Pi,b3,Plate1PhosphateB3,AgarPlant,Agar_SC_50P,18960,9.85008677580901,50
Agar,SC,P32Plate1Phosphate,Pi,Rep1,50 micromolar Pi,c3,Plate1PhosphateC3,AgarPlant,Agar_SC_50P,20134,9.91016520728937,50
Agar,SC,P6Plate2Phosphate,Pi,Rep2,50 micromolar Pi,f1,Plate2PhosphateF1,AgarPlant,Agar_SC_50P,3819,8.24774388722552,50
Agar,SC,P11Plate2Phosphate,Pi,Rep2,50 micromolar Pi,g4,Plate2PhosphateG4,AgarPlant,Agar_SC_50P,3236,8.08209327817838,50
Agar,SC,P2Plate2Phosphate,Pi,Rep1,50 micromolar Pi,h8,Plate2PhosphateH8,AgarPlant,Agar_SC_50P,5927,8.68727346178784,50
Agar,SC,P35Plate3Phosphate,Pi,Rep1,50 micromolar Pi,h1,Plate3PhosphateH1,AgarPlant,Agar_SC_50P,5074,8.53188474015923,50
Agar,SC,P27Plate1Phosphate,Pi,Rep1,100 micromolar Pi,c7,Plate1PhosphateC7,AgarPlant,Agar_SC_100P,16105,9.6868850617653,100
Agar,SC,P22Plate1Phosphate,Pi,Rep2,100 micromolar Pi,d7,Plate1PhosphateD7,AgarPlant,Agar_SC_100P,11917,9.38572123109081,100
Agar,SC,P35Plate2Phosphate,Pi,Rep2,100 micromolar Pi,h1,Plate2PhosphateH1,AgarPlant,Agar_SC_100P,3203,8.07184314960916,100
Agar,SC,P17Plate3Phosphate,Pi,Rep2,100 micromolar Pi,b4,Plate3PhosphateB4,AgarPlant,Agar_SC_100P,6244,8.73937628163532,100
Agar,SC,P80Plate3Phosphate,Pi,Rep1,100 micromolar Pi,f4,Plate3PhosphateF4,AgarPlant,Agar_SC_100P,5915,8.68524677641249,100
Agar,SC,P81Plate3Phosphate,Pi,Rep1,100 micromolar Pi,g1,Plate3PhosphateG1,AgarPlant,Agar_SC_100P,3047,8.02191277898571,100
Agar,SC,P63Plate1Phosphate,Pi,Rep1,1000 micromolar Pi,e6,Plate1PhosphateE6,AgarPlant,Agar_SC_1000P,18678,9.83510163966966,1000
Agar,SC,P20Plate1Phosphate,Pi,Rep2,1000 micromolar Pi,g9,Plate1PhosphateG9,AgarPlant,Agar_SC_1000P,13834,9.53488460916053,1000
Agar,SC,P66Plate2Phosphate,Pi,Rep1,1000 micromolar Pi,d5,Plate2PhosphateD5,AgarPlant,Agar_SC_1000P,3281,8.0959035329611,1000
Agar,SC,P34Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,e10,Plate2PhosphateE10,AgarPlant,Agar_SC_1000P,4086,8.31532177537757,1000
Agar,SC,P50Plate2Phosphate,Pi,Rep2,1000 micromolar Pi,f8,Plate2PhosphateF8,AgarPlant,Agar_SC_1000P,1977,7.58933582317062,1000
Agar,SC,P31Plate3Phosphate,Pi,Rep1,1000 micromolar Pi,b2,Plate3PhosphateB2,AgarPlant,Agar_SC_1000P,5677,8.64417820317073,1000
