Label,Id,log2FoldChange,padj,padjtrans,Significance,Representative,Kingdom,Phylum,Class,Order,Family,Genus,PhylaColor,NLabels
USeq1,Sequence_1,0.927092598121537,0.0148620029705784,1.82792265622486,Significant,2643221492,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,#FF8000,USeq1 Variovorax
USeq16,Sequence_16,2.58273805600144,5.79102918485544e-13,12.2372442463618,Significant,2546825542,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,#FF8000,USeq16 Burkholderia
USeq30,Sequence_30,1.45609589091294,0.000109241946677965,3.96161056938945,Significant,2521172625,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,#FF8000,USeq30 Burkholderia
USeq32,Sequence_32,1.20164626195605,0.0114624470727983,1.94072265664753,Significant,2595698215,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,#0000C0,USeq32 Curtobacterium
USeq4,Sequence_4,-1.38062196165097,0.00117676367319568,2.92931074678475,Significant,2643221532,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,#FF8000,USeq4 Sphingomonas
USeq47,Sequence_47,-2.44454676340167,0.00885459111946267,2.05283148852936,Significant,2639762559,Bacteria,Actinobacteria,Actinobacteria,Corynebacterineae,Mycobacteriaceae,Mycobacterium,#0000C0,USeq47 Mycobacterium
USeq52,Sequence_52,-3.41675084578221,1.02104021514609e-05,4.99095715225972,Significant,2593339259,Bacteria,Actinobacteria,Actinobacteria,Corynebacterineae,Mycobacteriaceae,Mycobacterium,#0000C0,USeq52 Mycobacterium
USeq60,Sequence_60,-1.06055706103329,0.0368453820422409,1.43361693600706,Significant,2519899642,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,#FF8000,USeq60 Pseudomonas
USeq66,Sequence_66,-2.66521099989966,0.00390925841535756,2.40790562026757,Significant,2563366511,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,#0000C0,USeq66 Arthrobacter
USeq67,Sequence_67,1.84842740267008,2.33959758465326e-05,4.63085883566412,Significant,2563366719,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,#0000C0,USeq67 Curtobacterium
USeq69,Sequence_69,-2.41563146443061,0.00100792423236089,2.9965721134305,Significant,2643221483,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,#FF8000,USeq69 Rhizobium
USeq71,Sequence_71,-0.916795860188822,0.0826210715488555,1.0829091767676,Significant,2606217775,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,#FF8000,USeq71 Methylobacterium
USeq75,Sequence_75,-3.11932716607721,0.00578472563680487,2.23771723433493,Significant,2517572214,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,#0000C0,USeq75 Arthrobacter
USeq79,Sequence_79,-1.34938469549406,0.0131767229263845,1.88019258609644,Significant,2519899686,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,#0000C0,USeq79 Arthrobacter
USeq82,Sequence_82,-1.07786068396595,0.00734300662684674,2.13412607985406,Significant,2513237142,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,#FF8000,USeq82 Pseudomonas
USeq83,Sequence_83,-4.62431451588555,0.00249693027154551,2.60259358544434,Significant,2590828858,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,#FF8000,USeq83 Caulobacter
USeq86,Sequence_86,-1.09484372516415,0.0232695809557184,1.63321143752366,Significant,2639762526,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia,#0000C0,USeq86 Leifsonia
USeq9,Sequence_9,-2.35903092388529,0.00237885457686515,2.6236321062584,Significant,2517572123,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,#0000C0,USeq9 Arthrobacter
NA,Sequence_23,-1.72260995362148,0.224047968465665,0.649658989658331,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_10,-1.40954719538139,0.294240558259424,0.531297464123,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_11,0.493217750289079,0.645725210083251,0.189952257753497,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_12,-0.262767309536241,0.28400803629265,0.546669370980519,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_13,0.250601847379131,0.413822938529442,0.383185439719942,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Sequence_14,0.112418907847452,1,0,NoSignificant,NA,NA,NA,NA,NA,NA,NA,NA,NA
