Number,position,sample,sample.1,plate,Pi,SynCom,Genotype,Fraction,Well,Plate,OTU_Header,ID_Matrix,Depth,LDepth,CAP1,CAP2,MDS1,MDS2,MDS3,MDS4
P1,P1Plate1,r16,16,6,0uM,Full,Col-0,Root,A1,Plate1,P1Plate1PiDOR1,Plate1PiDOR1A1,13930,9.54180006677385,-1.59759074368745,0.962561428028818,-0.643684420008043,-0.293205760460142,-0.432744333012373,0.84947557294188
P10,P10Plate1,r27,27,9,50uM,Full,phr1/phl1,Root,B2,Plate1,P10Plate1PiDOR1,Plate1PiDOR1B2,9822,9.19238004659919,-0.736787950306578,0.105015088229771,-0.462191742761865,0.388088697545015,-1.27790022608321,-1.32391120980735
P13,P13Plate1,r4,4,2,0uM,Full,Col-0,Root,E2,Plate1,P13Plate1PiDOR1,Plate1PiDOR1E2,68819,11.1392351485862,-0.578442467063531,0.946431668949691,-0.0382310426721875,-0.19447188709216,-0.165202901018667,-0.0708702682564129
P14,P14Plate1,r33,33,11,50uM,Full,phr1/phl1,Root,F2,Plate1,P14Plate1PiDOR1,Plate1PiDOR1F2,37111,10.5216687006062,-0.990630421179979,-0.134820731566357,-0.406890074343619,-0.891386144079703,0.312036054136034,0.698360750470435
P15,P15Plate1,r53,53,18,1000uM,Full,phf1,Root,G2,Plate1,P15Plate1PiDOR1,Plate1PiDOR1G2,16182,9.69165479236779,0.721866031305842,0.461758682916913,-0.322075745839121,0.286552626941138,0.968995732463755,-0.457119195092022
P18,P18Plate1,r51,51,17,1000uM,Full,phr1/phl1,Root,B3,Plate1,P18Plate1PiDOR1,Plate1PiDOR1B3,229503,12.3436713802927,-1.47809200593113,-0.277545933672625,-0.772812489283406,0.857805015209146,-1.41523216927504,-0.435330498423545
P19,P19Plate1,r40,40,14,1000uM,Full,Col-0,Root,C3,Plate1,P19Plate1PiDOR1,Plate1PiDOR1C3,41564,10.6349896869725,-0.835151598282183,0.315893928963962,-0.211498401956258,0.216525820769444,0.504041919064984,0.0371660564872121
P23,P23Plate1,r10,10,4,0uM,Full,Col-0,Root,G3,Plate1,P23Plate1PiDOR1,Plate1PiDOR1G3,19877,9.8973185633906,-0.752139647731688,0.295859335237825,0.0304946015964041,0.251028450974023,0.0138399415011771,0.204158577957748
P24,P24Plate1,r44,44,15,1000uM,Full,phf1,Root,H3,Plate1,P24Plate1PiDOR1,Plate1PiDOR1H3,80004,11.2898319124061,1.61161612197313,-1.13330425193069,0.835697295861588,-0.333647648999533,-0.964864898212985,1.24593789559546
P26,P26Plate1,r8,8,3,0uM,Full,phf1,Root,B4,Plate1,P26Plate1PiDOR1,Plate1PiDOR1B4,73926,11.2108198718527,0.947775145811685,-0.991422023788961,0.143927536453752,0.193994965158397,-0.222711562755899,0.348307885456366
P27,P27Plate1,r20,20,7,50uM,Full,phf1,Root,C4,Plate1,P27Plate1PiDOR1,Plate1PiDOR1C4,81798,11.3120080724142,2.59445064977702,-1.3848594583126,1.52650762656601,-0.0855921164452788,-0.937138576750902,0.586997092775444
P29,P29Plate1,r39,39,13,1000uM,Full,phr1/phl1,Root,E4,Plate1,P29Plate1PiDOR1,Plate1PiDOR1E4,315322,12.6613496179166,1.90888722662796,-1.21943186807926,1.5741439257258,-0.58108734525637,-0.657066809432374,0.189384290760357
P3,P3Plate1,r35,35,12,50uM,Full,phf1,Root,C1,Plate1,P3Plate1PiDOR1,Plate1PiDOR1C1,4663,8.44741429680832,1.88854276213012,-0.481260580963687,0.734490112784839,-0.381615908972805,0.0167219004814168,0.0676203054838166
P30,P30Plate1,r25,25,9,50uM,Full,Col-0,Root,F4,Plate1,P30Plate1PiDOR1,Plate1PiDOR1F4,122571,11.7164457329052,-0.573293175122156,0.108821023567688,0.193417287406008,-0.761464635089981,0.738133842222247,0.976959112605949
P32,P32Plate1,r45,45,15,1000uM,Full,phr1/phl1,Root,H4,Plate1,P32Plate1PiDOR1,Plate1PiDOR1H4,125084,11.7367407905935,1.83472152512825,-1.36436513803167,1.51491942124136,-0.369036082429312,-0.0265197205984861,-0.432605127985127
P33,P33Plate1,r50,50,17,1000uM,Full,phf1,Root,A5,Plate1,P33Plate1PiDOR1,Plate1PiDOR1A5,2748,7.91862865334224,-0.626721007836929,0.737493647668461,-1.17736665902491,-0.233109491528731,0.250823326271588,0.651585083070389
P38,P38Plate1,r12,12,4,0uM,Full,phr1/phl1,Root,F5,Plate1,P38Plate1PiDOR1,Plate1PiDOR1F5,18498,9.8254178971142,0.106394118208473,-1.83654366830544,0.353782366852613,0.222341197219183,-0.00103634769928693,-0.0496357974832357
P41,P41Plate1,r42,42,14,1000uM,Full,phr1/phl1,Root,A6,Plate1,P41Plate1PiDOR1,Plate1PiDOR1A6,41905,10.643160430533,-1.93776844631311,-0.704325512491592,-0.898988101148424,-0.643368810130748,0.190271727406555,1.71020509078961
P43,P43Plate1,r13,13,5,0uM,Full,Col-0,Root,C6,Plate1,P43Plate1PiDOR1,Plate1PiDOR1C6,58884,10.9833246858779,-0.265063575600436,1.38957454211178,0.0528871962781174,-0.0585946474337599,0.36295410946665,-0.251627118302656
P44,P44Plate1,r15,15,5,0uM,Full,phr1/phl1,Root,D6,Plate1,P44Plate1PiDOR1,Plate1PiDOR1D6,7887,8.97297111339799,-1.74399149212474,-0.554694846572384,-0.845726988257936,-0.543820621215328,-0.432076396060464,1.04693124300744
P45,P45Plate1,r11,11,4,0uM,Full,phf1,Root,E6,Plate1,P45Plate1PiDOR1,Plate1PiDOR1E6,6121,8.71948076085107,0.815612039260087,0.181595683844481,-0.155228120143312,0.354727632914907,0.247434491773956,-0.242766605384809
