Plot	Fert	Level	Strip	Class	Parameter	Value
1	A0	P1	1	Sl4	Humus	5
1	A0	P1	1	Sl4	Clay	11
1	A0	P1	1	Sl4	Silt	31
1	A0	P1	1	Sl4	pH	5.9
1	A0	P1	1	Sl4	Na.a	14.9
1	A0	P1	1	Sl4	P.a	0.8
1	A0	P1	1	Sl4	K.a	33.7
1	A0	P1	1	Sl4	Ca.a	40.4
1	A0	P1	1	Sl4	Mg.a	5.1
1	A0	P1	1	Sl4	P.t	16.7
1	A0	P1	1	Sl4	K.t	187
1	A0	P1	1	Sl4	Ca.t	1221
1	A0	P1	1	Sl4	Mg.t	39.4
1	A0	P1	1	Sl4	B	0.4
1	A0	P1	1	Sl4	Mn	118
1	A0	P1	1	Sl4	Cu	7.2
1	A0	P1	1	Sl4	Fe	159
2	A15	P2	1	Sl4	Humus	5
2	A15	P2	1	Sl4	Clay	11
2	A15	P2	1	Sl4	Silt	31
2	A15	P2	1	Sl4	pH	5.9
2	A15	P2	1	Sl4	Na.a	5.3
2	A15	P2	1	Sl4	P.a	5.5
2	A15	P2	1	Sl4	K.a	33.5
2	A15	P2	1	Sl4	Ca.a	33.7
2	A15	P2	1	Sl4	Mg.a	5.1
2	A15	P2	1	Sl4	P.t	25.1
2	A15	P2	1	Sl4	K.t	162.6
2	A15	P2	1	Sl4	Ca.t	1314
2	A15	P2	1	Sl4	Mg.t	39
2	A15	P2	1	Sl4	B	0.4
2	A15	P2	1	Sl4	Mn	134
2	A15	P2	1	Sl4	Cu	7.4
2	A15	P2	1	Sl4	Fe	185
3	A45	P3	1	Sl4	Humus	4.5
3	A45	P3	1	Sl4	Clay	11
3	A45	P3	1	Sl4	Silt	31
3	A45	P3	1	Sl4	pH	5.9
3	A45	P3	1	Sl4	Na.a	7.5
3	A45	P3	1	Sl4	P.a	7.5
3	A45	P3	1	Sl4	K.a	33.4
3	A45	P3	1	Sl4	Ca.a	44.9
3	A45	P3	1	Sl4	Mg.a	5
3	A45	P3	1	Sl4	P.t	47.2
3	A45	P3	1	Sl4	K.t	173.1
3	A45	P3	1	Sl4	Ca.t	1439
3	A45	P3	1	Sl4	Mg.t	38.6
3	A45	P3	1	Sl4	B	0.3
3	A45	P3	1	Sl4	Mn	164
3	A45	P3	1	Sl4	Cu	9.8
3	A45	P3	1	Sl4	Fe	259
4	T0	P1	1	Ls4	Humus	4.5
4	T0	P1	1	Ls4	Clay	16
4	T0	P1	1	Ls4	Silt	31
4	T0	P1	1	Ls4	pH	5.9
