Kingdom	Phylum	Class	Order	Family	Genus	Id
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Cantharellales	 f__Ceratobasidiaceae	 g__Thanatephorus	OTU_36
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Psathyrellaceae	 g__Coprinellus	OTU_38
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Clavicipitaceae	 g__Beauveria	OTU_3561
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Rhizophlyctidales	 f__Rhizophlyctidaceae	 g__Rhizophlyctis	OTU_417
 k__Fungi	 p__Ascomycota	 c__Eurotiomycetes	 o__Pyrenulales	 f__Massariaceae	 g__Massaria	OTU_4453
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Hypocreales	 f__Clavicipitaceae	 g__Elaphocordyceps	OTU_129
 k__Fungi	 p__Basidiomycota	 c__Tremellomycetes	 o__Tremellales	 f__Tremellales_Incertae sedis	 g__Dioszegia	OTU_348
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Mucoraceae	 g__Pirella	OTU_326
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Backusellaceae	 g__Backusella	OTU_149
 k__Fungi	 p__Zygomycota	 c__Mucoromycotina_Incertae sedis	 o__Mucorales	 f__Syncephalastraceae	 g__Circinella	OTU_171
 k__Fungi	 p__Basidiomycota	 c__Exobasidiomycetes	 o__Microstromatales	 f__Microstromataceae	 g__Microstroma	OTU_355
 k__Fungi	 p__Basidiomycota	 c__Ustilaginomycetes	 o__Urocystidales	 f__Floromycetaceae	 g__Antherospora	OTU_145
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Agaricales	 f__Inocybaceae	 g__Inocybe	OTU_97
 k__Fungi	 p__Chytridiomycota	 c__Chytridiomycetes	 o__Spizellomycetales	 f__Spizellomycetaceae	 g__Spizellomyces	OTU_506
 k__Fungi	 p__Basidiomycota	 c__Agaricomycetes	 o__Cantharellales	 f__Ceratobasidiaceae	 g__Thanatephorus	OTU_42
 k__Fungi	 p__Basidiomycota	 c__Pucciniomycetes	 o__Pucciniales	 f__Pucciniastraceae	 g__Pucciniastrum	OTU_278
 k__Fungi	 p__Ascomycota	 c__Sordariomycetes	 o__Microascales	 f__Ceratocystidaceae	 g__Ceratocystis	OTU_378
