sample	TotalLength_cm	TotalProjArea_cm2	TotSurfArea_cm2	Exp	Treatment	Syncom
NoBurk50	0.2738	0.7281	0.6265	Exp5	50uM	-Burk
NoBurk50	0.2936	0.7281	0.5588	Exp5	50uM	-Burk
NoBurk50	0.3459	0.762	0.5419	Exp5	50uM	-Burk
NoBurk50	0.7001	0.9313	1.1176	Exp5	50uM	-Burk
NoBurk50	0.5871	0.8467	0.9991	Exp5	50uM	-Burk
NoBurk50	0.8464	1.6425	0.7112	Exp5	50uM	-Burk
NoBurk50	0.6994	1.1853	0.8297	Exp5	50uM	-Burk
NoBurk50	0.8161	0.8805	1.2869	Exp5	50uM	-Burk
NoBurk50	0.7071	1.0499	0.9821	Exp5	50uM	-Burk
NoBurk50	0.7503	0.9144	1.2023	Exp5	50uM	-Burk
NoBurk50	0.2697	0.8128	0.6773	Exp5	50uM	-Burk
NoBurk50	0.7971	1.1007	0.8805	Exp5	50uM	-Burk
NoBurk50	0.4806	0.8297	0.8297	Exp5	50uM	-Burk
NoBurk50	1.1395	1.2192	1.1515	Exp5	50uM	-Burk
NoBurk50	0.5697	0.8636	0.9483	Exp5	50uM	-Burk
NoBurk50	0.7098	1.0837	0.9652	Exp5	50uM	-Burk
NoBurk50	0.4454	0.7281	0.7789	Exp5	50uM	-Burk
NoBurk50	0.5558	1.016	0.9313	Exp5	50uM	-Burk
NoBurk50	0.824	1.0837	1.3208	Exp5	50uM	-Burk
NoBurk50	0.8156	1.1684	0.9483	Exp5	50uM	-Burk
NoBurk50	0.7151	1.0329	1.1007	Exp5	50uM	-Burk
NoBurk50	0.7771	1.0668	0.9652	Exp5	50uM	-Burk
NoBurk50	0.6672	1.2023	0.8805	Exp5	50uM	-Burk
NoBurk50	0.3998	0.9144	0.5249	Exp5	50uM	-Burk
NoBurk50	0.6753	0.9483	0.9652	Exp5	50uM	-Burk
NoBurk50	0.6914	0.9991	0.9991	Exp5	50uM	-Burk
NoBurk50	0.8084	1.5409	0.9483	Exp5	50uM	-Burk
NoBurk50	0.3475	0.6943	0.6265	Exp5	50uM	-Burk
NoBurk50	0.6634	0.8636	1.1176	Exp5	50uM	-Burk
NoBurk50	0.9192	1.3377	0.9144	Exp5	50uM	-Burk
NoBurk50	1.1922	1.0499	1.4055	Exp5	50uM	-Burk
NoBurk50	0.4746	0.8297	0.7959	Exp5	50uM	-Burk
NoBurk50	0.6981	0.9144	0.9483	Exp5	50uM	-Burk
NoBurk50	0.3103	0.8467	0.6096	Exp5	50uM	-Burk
NoBurk50	0.5021	0.9652	0.6604	Exp5	50uM	-Burk
NoBurk50	0.6758	0.9313	1.016	Exp5	50uM	-Burk
NoBurk50	0.3847	0.9821	0.5757	Exp5	50uM	-Burk
NoBurk50	0.8279	1.2023	0.9483	Exp5	50uM	-Burk
NoBurk50	0.4962	0.8128	0.7959	Exp5	50uM	-Burk
NoBurk50	0.9919	1.3716	0.9483	Exp5	50uM	-Burk
NoBurk50	0.7432	1.0499	0.9313	Exp5	50uM	-Burk
NoBurk50	0.432	0.9313	0.6096	Exp5	50uM	-Burk
NoBurk50	1.0591	1.3547	0.9652	Exp5	50uM	-Burk
NoBurk50	0.5676	0.9991	0.7281	Exp5	50uM	-Burk
NoRalst50	0.3338	0.8975	0.5588	Exp5	50uM	-Ralst
NoRalst50	0.3713	0.8297	0.5927	Exp5	50uM	-Ralst
NoRalst50	0.6409	0.9821	0.7789	Exp5	50uM	-Ralst
NoRalst50	0.7844	1.1515	1.016	Exp5	50uM	-Ralst
