Useq	Freezer_Id	Mothur_Classification	taxon_oid	Genome_Name	Genome_Classification
Sequence_1	MF160_2	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;	2643221485	Variovorax sp. 160MFSha2.1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
Sequence_1	MF278	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;	2643221492	Variovorax sp. 278MFTsu5.1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
Sequence_1	MF375	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;	2643221501	Variovorax sp. 375MFSha3.1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax
Sequence_10	MF323	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora;	NA	NA	NA
Sequence_10	MF323_27f	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora;	NA	NA	NA
Sequence_10	MF327	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora;	2522572130	Promicromonospora sukumoe 327MFSha3.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Promicromonospora
Sequence_11	MF455_27f	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;	2639762525	Mycobacterium sp. 455MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_12	MF174	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;	2590828856	Methylobacterium sp. 174MFSha1.1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium
Sequence_13	MF314	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;	2521172612	Curtobacterium sp. 314Chir4.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium
Sequence_14	MF332_27f	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	NA	NA	NA
Sequence_15	CL71	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;	2558860101	Acinetobacter sp. UNC436CL71CviS28	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
Sequence_16	MF6	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825542	Burkholderia cenocepacia6	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF6_2	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825542	Burkholderia cenocepacia6	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF6_3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825542	Burkholderia cenocepacia6	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF7	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825540	Burkholderia cenocepacia7	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF7_2	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825540	Burkholderia cenocepacia7	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF7_3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825540	Burkholderia cenocepacia7	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF7_4	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825540	Burkholderia cenocepacia7	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF7_5	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825540	Burkholderia cenocepacia7	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_16	MF7_6	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;	2546825540	Burkholderia cenocepacia7	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
Sequence_17	MF105	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2517572206	Bacillus sp. 105MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_17	MF107_27f	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2522125078	Bacillus sp. 278922_107	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_17	MF140_27f	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2563366508	Streptomyces sp. 140Col2.1E	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
Sequence_17	MF196	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2639762634	Bacillus sp. 196MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_17	MF259_27F	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2643221491	Rhodococcus maanshanensis 259MFSha1.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus
Sequence_17	MF28_27f	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2643221483	Rhizobium sp. 28MFCol1.1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
Sequence_17	MF331_27f	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2593339239	Luteibacter sp. UNCMF331Sha3.1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Luteibacter
Sequence_17	MF5	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2636416171	Bacillus sp. 5MFCol3.1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_17	MF72_27f	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2510065092	Rhizobium sp. IBUN	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium
Sequence_18	CL10	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;	2579779165	Microbacterium sp. UNCCL10	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
Sequence_18	MF380	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;	2639762635	Hymenobacter sp. UNC380MFSha3.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
Sequence_19	MF231	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;	2523533508	Arthrobacter nicotinovorans 231Sha2.1M6	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
Sequence_2	MF496	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillaceae_unclassified;	2593339199	Paenibacillus sp. UNC496MF	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
Sequence_20	MF92	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;	2639762581	Stenotrophomonas sp. 92MFCol6.1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
Sequence_21	MF322	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;	2574179748	Bacillus sp. UNC322MFChir4.1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
Sequence_22	MF136	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;	2636416059	Streptomyces sp. 136MFCol5.1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
Sequence_23	MF445	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2643221531	Paenibacillus sp. 445MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_23	MF455	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2639762525	Mycobacterium sp. 455MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_23	MF455_2	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2639762525	Mycobacterium sp. 455MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_23	MF455_3	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2639762525	Mycobacterium sp. 455MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_23	MF455_4	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2639762525	Mycobacterium sp. 455MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_23	MF88	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2642422555	Mycobacterium sp. 88MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
Sequence_23	MF88_2	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;	2642422555	Mycobacterium sp. 88MF	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacterineae;f__Mycobacteriaceae;g__Mycobacterium
