Pot,Soil,Genotype,plot,PiperG,Weight,Pot,plantnum,normWeight
1,a-low,col-0,1,25.28268489,0.2041,1,2,0.10205
2,a-low,col-0,4,54.84368189,0.4351,2,3,0.145033333
3,a-low,col-0,7,62.75218005,0.2923,3,3,0.097433333
4,a-low,col-0,10,64.33940165,0.2666,4,3,0.088866667
5,a-low,col-0,13,36.06899609,0.2725,5,2,0.13625
6,a-low,col-0,16,49.1212606,0.5523,6,3,0.1841
19,b-medium,col-0,2,47.08535312,0.2384,19,3,0.079466667
20,b-medium,col-0,5,39.06543504,0.1524,20,3,0.0508
21,b-medium,col-0,8,57.46885596,0.4019,21,2,0.20095
22,b-medium,col-0,11,70.05043203,0.5338,22,3,0.177933333
23,b-medium,col-0,14,57.03659259,0.3516,23,3,0.1172
24,b-medium,col-0,17,56.31825849,0.7657,24,3,0.255233333
37,c-high,col-0,3,72.02881543,0.3382,37,3,0.112733333
38,c-high,col-0,6,34.17603777,0.0589,38,2,0.02945
39,c-high,col-0,9,60.41029014,0.3653,39,3,0.121766667
40,c-high,col-0,12,50.17936725,0.2249,40,2,0.11245
41,c-high,col-0,15,71.63769429,0.5176,41,3,0.172533333
42,c-high,col-0,18,61.75060975,0.6227,42,3,0.207566667
55,a-low+Pi,col-0,1,59.12501922,0.3066,55,3,0.1022
56,a-low+Pi,col-0,4,63.6677449,0.4628,56,3,0.154266667
57,a-low+Pi,col-0,7,72.12846024,0.5658,57,3,0.1886
58,a-low+Pi,col-0,10,60.83878834,0.1621,58,2,0.08105
59,a-low+Pi,col-0,13,53.74751936,0.4347,59,3,0.1449
60,a-low+Pi,col-0,16,68.2007923,0.4879,60,3,0.162633333
13,a-low,phf,1,24.61646638,0.0965,13,3,0.032166667
14,a-low,phf,4,48.32177588,0.27,14,3,0.09
15,a-low,phf,7,37.29144719,0.2136,15,3,0.0712
16,a-low,phf,10,53.19173633,0.2379,16,2,0.11895
17,a-low,phf,13,37.37337429,0.3065,17,3,0.102166667
18,a-low,phf,16,41.92963232,0.3073,18,3,0.102433333
31,b-medium,phf,2,46.49782589,0.3966,31,3,0.1322
32,b-medium,phf,5,46.49782589,0.2066,32,2,0.1033
33,b-medium,phf,8,34.54845698,0.2646,33,3,0.0882
34,b-medium,phf,11,52.80904323,0.3176,34,3,0.105866667
35,b-medium,phf,14,25.54488499,0.0951,35,3,0.0317
36,b-medium,phf,17,25.08444098,0.423,36,3,0.141
49,c-high,phf,3,54.07414747,0.4439,49,3,0.147966667
50,c-high,phf,6,43.87800878,0.2583,50,3,0.0861
51,c-high,phf,9,63.86274577,0.3319,51,3,0.110633333
52,c-high,phf,12,49.1212606,0.1349,52,3,0.044966667
53,c-high,phf,15,52.94936289,0.4034,53,3,0.134466667
54,c-high,phf,18,54.69005955,0.3607,54,3,0.120233333
67,a-low+Pi,phf,1,38.48984559,0.2882,67,3,0.096066667
68,a-low+Pi,phf,4,49.60482249,0.284,68,3,0.094666667
69,a-low+Pi,phf,7,44.61146788,0.2901,69,3,0.0967
70,a-low+Pi,phf,10,62.46928385,0.4361,70,3,0.145366667
71,a-low+Pi,phf,13,45.09443457,0.1122,71,3,0.0374
72,a-low+Pi,phf,16,65.35155588,0.6282,72,3,0.2094
7,a-low,phr/phl,1,0,0.0129,7,2,0.00645
8,a-low,phr/phl,4,1.876804924,0.0146,8,1,0.0146
9,a-low,phr/phl,7,1.613947541,0.0094,9,3,0.003133333
10,a-low,phr/phl,10,20.18956229,0.0557,10,3,0.018566667
11,a-low,phr/phl,13,4.291108821,0.0234,11,3,0.0078
12,a-low,phr/phl,16,14.00316932,0.0849,12,3,0.0283
25,b-medium,phr/phl,2,0.680258246,0.0126,25,2,0.0063
26,b-medium,phr/phl,5,17.32869293,0.0108,26,1,0.0108
27,b-medium,phr/phl,8,8.48950639,0.0235,27,3,0.007833333
28,b-medium,phr/phl,11,7.369294753,0.0316,28,3,0.010533333
29,b-medium,phr/phl,14,20.65489577,0.0547,29,3,0.018233333
30,b-medium,phr/phl,17,13.33534817,0.0698,30,3,0.023266667
43,c-high,phr/phl,3,6.564706178,0.0104,43,3,0.003466667
44,c-high,phr/phl,6,5.623756319,0.0086,44,2,0.0043
45,c-high,phr/phl,9,0.680258246,0.0321,45,3,0.0107
46,c-high,phr/phl,12,8.045466277,0.0315,46,3,0.0105
47,c-high,phr/phl,15,12.358357,0.0709,47,3,0.023633333
48,c-high,phr/phl,18,28.33667702,0.102,48,2,0.051
62,a-low+Pi,phr/phl,4,0.949223338,0.0099,62,3,0.0033
63,a-low+Pi,phr/phl,7,0,0,63,1,0
64,a-low+Pi,phr/phl,10,3.919587039,0.0183,64,2,0.00915
65,a-low+Pi,phr/phl,13,5.742644898,0.0895,65,3,0.029833333
66,a-low+Pi,phr/phl,16,24.34559401,0.1057,66,3,0.035233333
