Tube,Syncom,Treatment,PiConcentration,Rep
5,-Burk,50,0.00366039,b
3,-Burk,50,0.00408934,b
4,-Burk,50,0.00434553,b
6,-Burk,50,0.00539624,b
2,-Burk,50,0.00539992,b
1,-Burk,50,0.00594813,b
11,-Ralst,50,0.000607,b
8,-Ralst,50,0.00100423,b
9,-Ralst,50,0.0011651,b
7,-Ralst,50,0.00162222,b
10,-Ralst,50,0.00166965,b
12,-Ralst,50,0.00179827,b
13,full,50,0.000496,b
15,full,50,0.00110663,b
17,full,50,0.00132181,b
18,full,50,0.00137746,b
16,full,50,0.00153302,b
14,full,50,0.00161449,b
21,NB,50,0.00343061,b
22,NB,50,0.00398745,b
20,NB,50,0.00512552,b
19,NB,50,0.00529834,b
24,NB,50,0.00618765,b
23,NB,50,0.0062886,b
28,-Burk,1000,0.00664627,b
30,-Burk,1000,0.00771874,b
29,-Burk,1000,0.0110252,b
25,-Burk,1000,0.01133512,b
26,-Burk,1000,0.01156581,b
27,-Burk,1000,0.01192294,b
31,-Ralst,1000,0.00780456,b
35,-Ralst,1000,0.00879474,b
34,-Ralst,1000,0.00920817,b
33,-Ralst,1000,0.01111831,b
32,-Ralst,1000,0.01508632,b
36,-Ralst,1000,0.022072,b
39,full,1000,0.01189626,b
37,full,1000,0.01211821,b
41,full,1000,0.01317418,b
42,full,1000,0.01336872,b
38,full,1000,0.01396613,b
40,full,1000,0.01507083,b
45,NB,1000,0.0103361,b
47,NB,1000,0.01163951,b
48,NB,1000,0.01175598,b
43,NB,1000,0.01442902,b
44,NB,1000,0.04077174,b
46,NB,1000,0.06448767,b
52,-Burk,50_1000,0.01582281,b
49,-Burk,50_1000,0.01941138,b
54,-Burk,50_1000,0.02066684,b
51,-Burk,50_1000,0.02702805,b
50,-Burk,50_1000,0.02949188,b
53,-Burk,50_1000,0.0330572,b
58,-Ralst,50_1000,0.01512793,b
59,-Ralst,50_1000,0.01620182,b
56,-Ralst,50_1000,0.01729473,b
55,-Ralst,50_1000,0.01914312,b
60,-Ralst,50_1000,0.02288326,b
57,-Ralst,50_1000,0.03801453,b
63,full,50_1000,0.00836849,b
62,full,50_1000,0.01845326,b
61,full,50_1000,0.02530547,b
66,full,50_1000,0.02762353,b
64,full,50_1000,0.02898363,b
65,full,50_1000,0.02908185,b
69,NB,50_1000,0.00588526,b
70,NB,50_1000,0.01078386,b
68,NB,50_1000,0.01235685,b
67,NB,50_1000,0.0133833,b
71,NB,50_1000,0.01503901,b
72,NB,50_1000,0.01591442,b
1,-Burk,50,0.00393211,c
2,-Burk,50,0.00342829,c
3,-Burk,50,0.00176225,c
4,-Burk,50,0.00174827,c
5,-Burk,50,0.00420292,c
6,-Burk,50,0.00367755,c
7,-Ralst,50,0.00173599,c
8,-Ralst,50,0.00174997,c
9,-Ralst,50,0.00180863,c
10,-Ralst,50,0.0026233,c
11,-Ralst,50,0.00208235,c
12,-Ralst,50,0.00128225,c
13,full,50,0.00157609,c
14,full,50,0.00138696,c
15,full,50,0.00166954,c
16,full,50,0.00174496,c
17,full,50,0.00254858,c
18,full,50,0.001622,c
19,NB,50,0.01460662,c
20,NB,50,0.00450116,c
21,NB,50,0.04902357,c
22,NB,50,0.00726374,c
23,NB,50,0.00529843,c
24,NB,50,0.01003837,c
25,-Burk,1000,0.01341912,c
26,-Burk,1000,0.0087693,c
27,-Burk,1000,0.01234927,c
28,-Burk,1000,0.02370445,c
29,-Burk,1000,0.01525058,c
30,-Burk,1000,0.01491076,c
31,-Ralst,1000,0.01432813,c
32,-Ralst,1000,0.0110347,c
33,-Ralst,1000,0.01452117,c
34,-Ralst,1000,0.01287702,c
35,-Ralst,1000,0.01287612,c
36,-Ralst,1000,0.01256214,c
37,full,1000,0.01430846,c
38,full,1000,0.01633991,c
39,full,1000,0.01636683,c
40,full,1000,0.01633266,c
41,full,1000,0.01124898,c
42,full,1000,0.01569339,c
43,NB,1000,0.01610768,c
45,NB,1000,0.01335885,c
46,NB,1000,0.01413289,c
47,NB,1000,0.0150951,c
48,NB,1000,0.01681997,c
49,-Burk,50_1000,0.02895012,c
51,-Burk,50_1000,0.01848715,c
52,-Burk,50_1000,0.03084826,c
53,-Burk,50_1000,0.01728539,c
54,-Burk,50_1000,0.02506063,c
55,-Ralst,50_1000,0.02640433,c
56,-Ralst,50_1000,0.0321656,c
57,-Ralst,50_1000,0.03427107,c
58,-Ralst,50_1000,0.01833924,c
59,-Ralst,50_1000,0.02010311,c
60,-Ralst,50_1000,0.0119772,c
61,full,50_1000,0.08507588,c
62,full,50_1000,0.0386576,c
63,full,50_1000,0.03375865,c
64,full,50_1000,0.0227348,c
65,full,50_1000,0.02683917,c
67,NB,50_1000,0.01347552,c
68,NB,50_1000,0.0167392,c
69,NB,50_1000,0.01166146,c
70,NB,50_1000,0.01612606,c
71,NB,50_1000,0.0128946,c
72,NB,50_1000,0.01362559,c
